fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-12-31,USD,60712200000,33332100000,20451600000,20451600000,1400000,1630900000,27380100000,487200000,None,548200000,548200000,422500000,None,None,11249600000,None,None,56768300000,51568800000,43820200000,None,None,7748600000,5199500000,None,5497300000,None,None,13754900000,43820200000,None,3943900000,-449400000,4131200000,379800000,221784000
2007-12-31,USD,67611200000,34674900000,25203100000,25203100000,-1168400000,1731500000,32936300000,491900000,None,528900000,528900000,425800000,None,None,7740300000,29566600000,None,63102100000,56551000000,51213100000,None,None,5337900000,6551100000,None,5366500000,None,None,11059300000,51213100000,None,4509100000,-405700000,4556200000,379800000,223079000
2008-12-31,USD,82053600000,45040500000,28773000000,28773000000,3500000,1853100000,37013100000,506600000,None,462600000,462600000,389400000,None,None,14414400000,52265300000,None,75664200000,66455700000,62406400000,None,None,4049300000,9208500000,None,4979400000,None,None,9408700000,62406400000,None,6389400000,-266500000,5091200000,379800000,224053000
2009-12-31,USD,82141500000,49631300000,30370000000,30370000000,29600000,1799200000,32510200000,543500000,None,462300000,462300000,401600000,None,None,17462100000,50658700000,None,75829400000,68046900000,58281300000,None,None,9765600000,7782500000,None,6579700000,None,None,16510300000,58281300000,None,6312100000,-199200000,5576000000,408600000,236416000
2010-12-31,USD,83843900000,24099900000,29254000000,29254000000,45500000,701300000,59744000000,504500000,None,454100000,454100000,400900000,None,None,9491200000,-5695300000,None,77013600000,73692000000,64195700000,None,None,4993800000,3322000000,None,4973100000,None,None,9966900000,68698200000,4153100000,6830300000,-165100000,5972100000,408600000,242502531
2011-12-31,USD,100223700000,45886500000,34460300000,34460300000,21200000,1757100000,54337200000,494500000,None,655400000,655400000,532000000,None,None,9669100000,76400000,None,93106400000,85623100000,82677500000,None,None,2945600000,7483300000,None,3460000000,None,None,8414000000,82677500000,None,7117300000,-225500000,6302300000,408600000,241811000
2012-12-31,USD,97463800000,34786200000,3778100000,3778100000,55041300000,2049100000,62677600000,469900000,None,104000000,104000000,537800000,None,None,9480700000,-26082300000,None,89936800000,85833000000,81407800000,None,None,1847400000,4104000000,None,4194800000,None,None,6042200000,83985600000,3554000000,7527000000,-314000000,6702700000,408600000,240881244
2013-12-31,USD,102947300000,33882700000,3192000000,3192000000,60672100000,1355200000,69064600000,458800000,None,83000000,83000000,540700000,None,None,10575600000,-31336600000,None,95035300000,91052000000,84098100000,None,None,3441000000,3983000000,None,5264400000,None,None,8705400000,87611000000,4707700000,7912000000,-422800000,7134800000,408600000,240554840
2014-12-31,USD,109946500000,36784600000,3113300000,3113300000,61810400000,1568800000,73161900000,444300000,None,60000000,60000000,533200000,None,33013900000,8991400000,-29707900000,None,101497600000,98140000000,90757000000,None,None,3503200000,3358000000,None,4797300000,233700000,None,8300500000,94636800000,5010400000,8448900000,-704800000,7625400000,8060400000,237720255
2015-12-31,USD,116749600000,44012000000,6432700000,6432700000,62871400000,2157000000,72737600000,446900000,None,46500000,46500000,526400000,None,37073400000,11241400000,-27449100000,None,108043700000,104927400000,96868900000,None,None,4953200000,3116300000,None,6923800000,9043100000,None,11877000000,99974200000,3899500000,8705900000,-1033600000,8242800000,8317400000,234221729
2016-12-31,USD,123926900000,49833200000,5338800000,5338800000,67047800000,1043700000,74093700000,466600000,None,41800000,41800000,519400000,None,44501200000,11508200000,-23597100000,None,114156500000,111074600000,101651700000,None,None,5788000000,3081900000,None,8214400000,5788000000,None,13725000000,105286600000,4363000000,9770400000,-1094400000,8908400000,8888400000,229151406
2017-12-31,USD,138590500000,51309700000,4539100000,4539100000,79812100000,1647000000,87280800000,464600000,None,161400000,161400000,605600000,None,46791600000,11918900000,-34688500000,None,128374300000,125164400000,112390800000,None,None,9171200000,3209900000,14400000,9275400000,9171200000,None,18169100000,115993200000,4699500000,10216200000,-1392400000,9685100000,9334200000,229654401
2018-12-31,USD,132212500000,55824700000,4715600000,4715600000,71099200000,1646100000,76387800000,428200000,None,138600000,138600000,669300000,None,51243100000,35880000000,-21636200000,None,121704200000,118302900000,104496800000,None,None,10664200000,3401300000,None,11303000000,10664200000,None,21689600000,107638700000,3587800000,10508300000,-2173900000,10776800000,9626300000,224488326
2019-12-31,USD,136828400000,57524500000,4464200000,4464200000,6530500000,845700000,53435300000,483300000,None,120600000,120600000,696800000,None,51161100000,13436400000,45684100000,None,125737400000,7787400000,109120600000,None,None,7787400000,3998800000,None,10465900000,7787400000,None,18253300000,-7787400000,5598000000,11091000000,-3066100000,11656700000,9817600000,215601149
2020-12-31,USD,170003900000,84628200000,4389500000,4389500000,11119800000,1160200000,62299600000,514900000,None,1705500000,1705500000,707200000,None,61077500000,19192300000,67958700000,None,8601000000,48021100000,143878000000,None,None,4910400000,8601000000,700600000,8323200000,None,None,13233600000,43110700000,5854200000,161402900000,-3204500000,12207700000,10803400000,209007986
2021-12-31,USD,183889800000,85185100000,3056800000,3056800000,6693700000,1941200000,63930500000,488700000,None,1774200000,1774200000,706200000,None,62735600000,13626400000,73493400000,None,7235000000,499800000,159928400000,None,None,499800000,7235000000,663100000,7235000000,499800000,None,7734800000,-499800000,4709400000,176654800000,-3297700000,13117300000,11131900000,208899230
2022-12-31,USD,155036700000,76221400000,46625700000,46625700000,68639400000,1698300000,78815300000,985300000,None,2039500000,2039500000,691300000,None,53600600000,27897400000,-66730300000,None,143777200000,126396200000,123932100000,None,None,2464100000,17381000000,None,12382700000,0,None,14846800000,123932100000,None,11259500000,None,13798500000,408600000,208867000
2023-12-31,USD,150783100000,65143800000,41056700000,41056700000,-1746900000,212600000,85639300000,None,None,2099100000,2099100000,702300000,None,49311500000,23874500000,42054000000,None,138885200000,119994100000,None,None,None,3830100000,18891100000,None,13406000000,None,None,17236100000,116164000000,None,11897900000,None,14233800000,408600000,207564000
2024-12-31,USD,155508400000,56582400000,45397300000,45397300000,None,41100000,98926000000,None,None,2213200000,2213200000,694900000,None,51298200000,11144000000,-41100000,None,142720000000,125104200000,None,None,None,2621500000,17615800000,None,13372000000,None,None,15993500000,122482700000,None,12788400000,None,15614700000,408600000,201870000
2025-12-31,USD,177132700000,63781600000,61127500000,61127500000,None,None,113351100000,None,None,None,None,712900000,None,57466100000,2654100000,None,None,164174800000,155740800000,None,None,None,12943100000,8434000000,None,13994200000,None,None,16427500000,142797700000,None,12957900000,None,12663500000,12073000000,188582000
