fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2005-12-31,USD,871700000,None,None,None,None,-151500000,66600000,None,None,None,-599100000,252100000,None,None,None,None,8300000,8300000,None,None,None,None,-84000000,None,900000,None,None,244100000
2006-03-31,USD,425400000,None,None,None,None,23400000,25600000,None,None,None,-987600000,529100000,None,None,None,None,8200000,8200000,None,None,None,None,-163500000,None,12300000,None,None,293900000
2006-06-30,USD,679400000,None,None,None,None,162800000,16300000,None,None,None,-1080400000,9700000,None,None,None,None,8300000,8300000,None,None,None,None,-587700000,None,None,None,None,218800000
2006-09-30,USD,946300000,None,None,None,None,80600000,14800000,None,None,None,-726900000,-39700000,None,None,None,None,317500000,317500000,None,None,None,None,-4500000,None,None,None,None,259200000
2006-12-31,USD,227400000,None,None,None,None,77700000,22900000,None,None,None,-1118000000,1086800000,None,None,None,None,8200000,8200000,None,None,None,None,-100000,None,2100000,None,None,261800000
2007-03-31,USD,1225500000,None,None,None,None,113100000,30500000,None,None,None,-699000000,-640800000,None,None,None,None,16500000,16500000,None,None,None,None,-106100000,None,None,None,None,265300000
2007-06-30,USD,696400000,None,None,None,None,104300000,77500000,None,None,None,-339600000,24700000,None,None,None,None,4100000,4100000,None,None,None,None,-117900000,None,None,None,None,312100000
2007-09-30,USD,1123400000,None,None,None,None,163100000,45300000,None,None,None,-1794600000,1371900000,None,None,None,None,8200000,8200000,None,None,None,None,-212200000,None,-3700000,None,None,240500000
2007-12-31,USD,-85300000,None,None,None,None,107000000,60300000,None,None,None,-1666000000,536300000,None,None,None,None,16500000,16500000,None,None,None,None,-320100000,None,1200000,None,None,22200000
2008-03-31,USD,997800000,None,None,None,None,103100000,32300000,None,None,None,-968800000,-252700000,None,None,None,None,8200000,8200000,None,None,None,None,-6100000,None,None,None,None,182400000
2008-06-30,USD,75300000,None,None,None,None,93100000,17200000,None,None,None,-1357900000,1686400000,None,None,None,None,8300000,8300000,None,None,None,None,2100000,None,263900000,None,None,176600000
2008-09-30,USD,794100000,None,None,None,None,121800000,33800000,None,None,None,-1691600000,1642000000,None,None,None,None,8200000,8200000,None,None,None,None,-300000,None,6400000,None,None,98300000
2008-12-31,USD,357600000,None,None,None,None,-173000000,21700000,None,None,None,1101100000,-1119700000,None,None,None,None,125000000,125000000,None,None,None,None,6400000,None,-1300000,None,None,800000
2009-03-31,USD,949900000,None,None,None,None,118400000,16900000,None,None,None,13400000,-871700000,None,None,None,None,8200000,8200000,None,None,None,None,-3000000,None,5300000,None,None,122600000
2009-06-30,USD,465000000,None,None,None,None,-13400000,41700000,None,0,None,1219400000,-55500000,None,None,None,None,8300000,8300000,None,None,None,None,-700000,None,11200000,None,None,164000000
2009-09-30,USD,379500000,None,None,None,None,69800000,12200000,None,0,None,-76600000,-1390200000,None,None,None,None,8200000,8200000,None,None,None,None,-400000,None,10400000,None,None,204200000
2009-12-31,USD,448600000,None,None,None,None,-36300000,70700000,None,0,None,-129400000,-1320000000,None,None,None,None,167800000,167800000,None,None,None,None,4100000,None,10300000,None,None,154900000
