fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-12-31,USD,101820000000,33352000000,3523000000,3523000000,2376000000,3508000000,68468000000,1702000000,None,641000000,641000000,3402000000,None,None,26321000000,-33347000000,None,90147000000,75033000000,66301000000,None,None,4762000000,15114000000,None,10266000000,None,None,15028000000,70271000000,None,10788000000,-3377000000,10985000000,1764000000,297000000
2007-12-31,USD,138920000000,36843000000,3913000000,3913000000,3943000000,2478000000,102077000000,2001000000,None,1146000000,1146000000,8405000000,None,None,30452000000,-29147000000,None,122412000000,96800000000,82696000000,None,None,9774000000,25612000000,None,21157000000,None,None,30931000000,87026000000,None,14854000000,-878000000,11497000000,1764000000,335000000
2008-12-31,USD,291081000000,65754000000,19330000000,19330000000,4824000000,6282000000,225327000000,3229000000,None,2820000000,2820000000,8868000000,None,None,40142000000,-60258000000,None,263433000000,201967000000,192865000000,None,None,5153000000,61466000000,None,47087000000,None,None,52240000000,196814000000,None,25422000000,-597000000,11461000000,2261000000,347000000
2009-12-31,USD,269863000000,65605000000,8776000000,8776000000,3184000000,6031000000,204258000000,4197000000,None,3404000000,3404000000,9505000000,None,None,50798000000,-5290000000,None,237296000000,205139000000,186922000000,None,None,16360000000,32157000000,None,35263000000,None,None,51623000000,188779000000,None,29942000000,-513000000,13144000000,2354000000,455000000
2010-12-31,USD,264284000000,68516000000,4907000000,4907000000,4327000000,6299000000,195768000000,4059000000,None,2604000000,2604000000,8149000000,None,151026000000,57310000000,-957000000,None,231446000000,189664000000,3188000000,None,None,4144000000,41782000000,None,16397000000,None,None,39488000000,185520000000,28471000000,30242000000,-572000000,15859000000,2682000000,520000000
2011-12-31,USD,271205000000,60196000000,5274000000,5274000000,3532000000,6354000000,211009000000,4644000000,None,1859000000,1859000000,8285000000,None,None,48568000000,4543000000,None,233959000000,198685000000,187966000000,None,None,7255000000,35274000000,None,33720000000,None,None,36704000000,191430000000,None,34053000000,-487000000,18253000000,2683000000,526000000
2012-12-31,USD,305107000000,67449000000,9204000000,9204000000,4233000000,7193000000,237658000000,5428000000,None,1797000000,1797000000,9072000000,None,187609000000,51052000000,-823000000,None,263342000000,228782000000,4449000000,None,None,11780000000,34560000000,None,9261000000,None,None,40907000000,217002000000,28037000000,39003000000,-569000000,20265000000,2690000000,529000000
2013-12-31,USD,320192000000,72314000000,16178000000,16178000000,2624000000,7529000000,247878000000,5618000000,None,2216000000,2216000000,9074000000,None,197332000000,48607000000,-7977000000,None,276155000000,234003000000,4734000000,None,None,9286000000,42152000000,None,36819000000,None,None,46105000000,224717000000,4429000000,42334000000,-408000000,23251000000,2698000000,532000000
2014-12-31,USD,345072000000,88016000000,36139000000,36139000000,2632000000,7642000000,257056000000,5643000000,None,1844000000,1844000000,9103000000,None,206101000000,44235000000,-27833000000,None,298998000000,244543000000,5187000000,None,None,8505000000,54455000000,None,48263000000,58151000000,None,56768000000,236038000000,4809000000,44551000000,-1430000000,26200000000,2705000000,537000000
2015-12-31,USD,358493000000,97801000000,34611000000,34611000000,299000000,7430000000,260692000000,5908000000,None,1589000000,1589000000,9103000000,None,207235000000,55760000000,-23208000000,None,312513000000,259118000000,4975000000,None,None,2038000000,53395000000,None,32633000000,55172000000,None,56570000000,257080000000,4004000000,44710000000,-3368000000,29043000000,2708000000,521000000
2016-12-31,USD,366380000000,98240000000,30590000000,30590000000,-66855000000,7546000000,268140000000,5522000000,None,1758000000,1758000000,9103000000,None,86675000000,60104000000,-33257000000,None,319526000000,265925000000,9355000000,None,None,301000000,53601000000,None,52706000000,301000000,None,53007000000,265624000000,301000000,45699000000,-5066000000,31670000000,2709000000,500000000
2017-12-31,USD,380768000000,99360000000,33844000000,33844000000,-73679000000,7898000000,281408000000,5436000000,None,1832000000,1832000000,9173000000,None,87523000000,57618000000,-36493000000,None,333183000000,274095000000,8745000000,None,None,297000000,59088000000,None,59088000000,297000000,None,59385000000,273798000000,297000000,47513000000,-6904000000,35481000000,2710000000,486000000
2018-12-31,USD,382315000000,87156000000,16501000000,16501000000,-20573000000,7266000000,295159000000,5727000000,None,1983000000,1983000000,9218000000,None,95595000000,63389000000,-62042000000,None,334545000000,277126000000,9002000000,None,None,285000000,57419000000,None,57419000000,285000000,None,57704000000,276841000000,285000000,47728000000,-9454000000,38919000000,2711000000,470000000
2019-12-31,USD,410295000000,104747000000,28474000000,28474000000,-31811000000,7110000000,305548000000,2000000000,None,1644000000,1644000000,9233000000,None,325008000000,69163000000,45000000,None,360952000000,300689000000,11831000000,None,None,318000000,60263000000,None,60263000000,318000000,None,60581000000,300371000000,318000000,49314000000,-12781000000,42215000000,2712000000,448000000
2020-12-31,USD,466679000000,185962000000,92190000000,92190000000,-94722000000,6414000000,105326000000,1876000000,None,1242000000,1242000000,9233000000,None,90396000000,87358000000,94722000000,None,412638000000,181996000000,9514000000,None,None,9622000000,37195000000,2097000000,37195000000,None,None,43317000000,172374000000,584000000,54041000000,-14205000000,46848000000,2713000000,427000000
2021-12-31,USD,557191000000,219830000000,82254000000,82254000000,-85153000000,6040000000,155795000000,1919000000,None,1818000000,1818000000,10916000000,None,141142000000,131536000000,85153000000,None,501465000000,356715000000,457278000000,None,None,8998000000,30784000000,2220000000,30784000000,None,None,39782000000,347717000000,662000000,55726000000,-15112000000,50228000000,2713000000,426000000
2022-12-31,USD,557263000000,84926000000,34363000000,34363000000,-44393000000,6404000000,472337000000,10611000000,None,3423000000,3423000000,10987000000,None,147771000000,44159000000,61451000000,None,511451000000,452044000000,15762000000,None,None,6079000000,59407000000,None,26638000000,None,None,58713000000,452044000000,694000000,45774000000,-18716000000,53572000000,2714000000,412000000
