fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-12-31,USD,4375000000,None,None,None,None,350000000,0,None,-1145000000,None,-10147000000,6522000000,None,None,None,None,440000000,440000000,None,None,None,None,-2512000000,None,None,None,None,3428000000
2007-12-31,USD,5966000000,None,None,None,None,272000000,0,None,-1019000000,None,-5004000000,1539000000,None,None,None,None,533000000,533000000,None,None,None,None,-3000000000,None,None,None,None,3704000000
2008-12-31,USD,10838000000,None,None,None,None,656000000,2529000000,None,None,None,-10780000000,3813000000,None,None,None,None,317000000,317000000,None,None,None,None,-2161000000,None,None,None,None,-1073000000
2009-12-31,USD,5840000000,None,None,None,None,175000000,2660000000,None,0,None,2429000000,-10421000000,None,None,None,None,347000000,347000000,None,None,None,None,5378000000,None,None,None,None,3090000000
2010-12-31,USD,6542000000,None,None,None,None,-104000000,0,None,0,None,-8522000000,1613000000,None,None,None,None,575000000,575000000,None,None,None,None,5343000000,None,None,-249000000,118000000,3206000000
2011-12-31,USD,12377000000,None,None,None,None,290000000,1795000000,None,0,None,-13295000000,2099000000,None,None,None,None,704000000,704000000,None,None,None,None,-999000000,None,None,None,None,3738000000
2012-12-31,USD,20909000000,None,None,None,None,302000000,0,None,0,None,-15420000000,-1305000000,None,None,None,None,768000000,768000000,None,None,None,None,-650000000,None,155000000,3849000000,-335000000,547000000
2013-12-31,USD,8445000000,None,None,None,None,411000000,3415000000,None,0,None,-16334000000,2242000000,None,None,None,None,847000000,847000000,None,None,None,None,-738000000,None,217000000,-6661000000,-1014000000,-560000000
2014-12-31,USD,19396000000,None,None,None,None,631000000,5041000000,None,0,None,-17088000000,1629000000,None,None,None,None,1027000000,1027000000,None,None,None,None,-1000000000,None,166000000,3479000000,-458000000,1438000000
2015-12-31,USD,13895000000,None,None,None,None,113000000,0,None,0,None,-7746000000,-3524000000,None,None,None,None,1117000000,1117000000,None,None,None,None,-1664000000,None,164000000,2694000000,69000000,5712000000
2016-12-31,USD,14778000000,None,None,None,None,318000000,1811000000,None,0,None,-21551000000,3201000000,None,None,None,None,1300000000,1300000000,None,None,None,None,-2119000000,None,202000000,-3485000000,50000000,4419000000
2017-12-31,USD,13445000000,None,None,None,None,222000000,2307000000,None,0,None,-11934000000,-1258000000,None,None,None,None,1296000000,1296000000,None,None,None,None,-1250000000,None,263000000,363000000,110000000,7974000000
2018-12-31,USD,21664000000,None,None,None,None,161000000,0,None,None,None,-21628000000,781000000,None,None,None,None,1521000000,1521000000,None,None,None,None,-1500000000,None,155000000,959000000,142000000,4088000000
2019-12-31,USD,19625000000,None,None,None,None,460000000,3804000000,None,None,None,-17028000000,-1634000000,None,None,None,None,1641000000,1641000000,None,None,None,None,-2500000000,None,231000000,979000000,16000000,4238000000
2020-12-31,USD,8368000000,None,None,None,None,457000000,88000000,None,None,None,-16210000000,4883000000,None,None,None,None,1766000000,1766000000,None,None,None,None,-500000000,None,242000000,-19355000000,340000000,-146000000
2021-12-31,USD,9812000000,None,None,None,None,204000000,736000000,None,None,None,-5342000000,-3011000000,None,None,None,None,1814000000,1814000000,None,None,None,None,-2500000000,None,284000000,1150000000,-309000000,7794000000
2022-12-31,USD,5158000000,None,None,None,None,124000000,0,None,None,None,-7638000000,4933000000,None,None,None,None,1817000000,1817000000,None,None,None,None,-1488000000,None,220000000,2453000000,None,-1462000000
2023-12-31,USD,6510000000,None,None,None,None,-70000000,0,None,None,None,-12122000000,7739000000,None,None,None,None,1846000000,1846000000,None,None,None,None,-1012000000,None,257000000,None,None,2508000000
2024-12-31,USD,8502000000,None,None,None,None,383000000,0,None,None,None,-28585000000,19394000000,None,None,None,None,1891000000,1891000000,None,None,None,None,-1000000000,None,None,None,None,2846000000
2025-12-31,USD,6271000000,None,None,None,None,128000000,0,None,None,None,-25892000000,20773000000,None,None,None,None,1926000000,1926000000,None,None,None,None,-1000000000,None,None,None,None,3576000000
