fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-12-31,USD,6042890000,2257938000,353498000,353498000,322172000,1237321000,3784952000,542219000,None,1161290000,1161290000,1671479000,None,None,None,344947000,None,3363272000,2468016000,372471000,None,None,2367000,895256000,None,314000,None,None,2681000,1109968000,None,2679618000,-2552593000,4821118000,411709000,366878000
2007-12-31,USD,6357336000,2333035000,396096000,396096000,350668000,1189205000,4024301000,660766000,None,1211670000,1211670000,1697621000,None,None,None,397066000,None,4750686000,2656860000,388008000,None,None,22000,2093826000,None,1197425000,None,None,1197447000,1183390000,None,1606650000,-4513380000,5551757000,411709000,344785000
2008-12-31,USD,6080142000,2302723000,471671000,471671000,369679000,1060858000,3777419000,621062000,None,591130000,591130000,1703240000,None,None,None,400515000,None,4797806000,2530703000,337459000,None,None,70022000,2267103000,None,1197611000,None,None,1267633000,1006846000,None,1282336000,-4811294000,6070793000,411709000,318687000
2009-12-31,USD,6475250000,2936396000,1209927000,1209927000,301229000,969662000,3538854000,579796000,-990654000,538735000,538735000,1690507000,None,None,24602000,430976000,None,4546073000,2451954000,301828000,None,None,22000,2094119000,None,1197791000,None,None,1197813000,1017661000,738525000,1847287000,-4749143000,6522613000,411709000,313296000
2010-12-31,USD,7046561000,3294611000,1525596000,1525596000,275102000,990573000,3751950000,548767000,-1064786000,663882000,663882000,1886963000,None,None,22156000,481184000,None,4755170000,2680874000,396480000,None,None,641170000,2074296000,None,1197965000,None,None,1839135000,437480000,876331000,2291391000,-4957680000,7056628000,411709000,312200000
2011-12-31,USD,6427000000,2679000000,835000000,835000000,263000000,702000000,3748000000,500000000,-1066000000,608000000,608000000,2048000000,None,None,29000000,2483000000,None,4843000000,3130000000,223000000,None,None,400000000,1713000000,None,798000000,None,None,1198000000,1530000000,915000000,1584000000,-6240000000,7667000000,412000000,303600000
2012-12-31,USD,7052000000,3899000000,760000000,760000000,986000000,954000000,3153000000,368000000,-772000000,1081000000,1081000000,1438000000,None,None,1000000,2311000000,None,5402000000,3667000000,249000000,None,None,457000000,1735000000,None,799000000,None,None,1256000000,1574000000,936000000,840000000,-6145000000,6525000000,412000000,284600000
2013-12-31,USD,6061000000,2936000000,1542000000,1542000000,-918000000,979000000,3125000000,249000000,-617000000,1033000000,1033000000,1412000000,None,None,18000000,1315000000,None,3907000000,2372000000,219000000,None,None,219000000,1535000000,None,799000000,None,None,1018000000,1063000000,531000000,2154000000,-6746000000,7384000000,412000000,279800000
2014-12-31,USD,6771000000,3966000000,2497000000,2497000000,-932000000,932000000,2805000000,206000000,-563000000,1004000000,1004000000,1387000000,None,None,3000000,1469000000,None,5422000000,3967000000,191000000,None,None,191000000,1455000000,None,799000000,795000000,None,990000000,2644000000,600000000,1349000000,-6849000000,6946000000,412000000,271500000
2015-12-31,USD,8183000000,3296000000,1481000000,1481000000,-488000000,991000000,4887000000,270000000,-585000000,1522000000,1522000000,2882000000,None,None,6000000,818000000,None,7020000000,2908000000,206000000,None,None,143000000,4112000000,None,3468000000,3611000000,None,3611000000,1082000000,206000000,243000000,-7729000000,7636000000,412000000,274600000
2016-12-31,USD,8669000000,3671000000,2392000000,2392000000,-1115000000,1122000000,4998000000,271000000,-537000000,1506000000,1506000000,2949000000,None,None,8000000,1272000000,None,6888000000,2611000000,183000000,None,None,183000000,4277000000,None,3564000000,3564000000,None,3747000000,1102000000,45000000,1781000000,-8701000000,9210000000,412000000,265200000
2017-12-31,USD,9425000000,4324000000,2777000000,2777000000,-1319000000,1319000000,5101000000,275000000,-554000000,1388000000,1388000000,2989000000,None,54000000,12000000,216000000,None,7307000000,3214000000,195000000,None,None,399000000,4093000000,None,3170000000,399000000,None,3569000000,930000000,244000000,768000000,-9602000000,10025000000,412000000,258900000
2018-12-31,USD,9458000000,3604000000,1958000000,1958000000,-1449000000,1449000000,5854000000,270000000,-596000000,1524000000,1524000000,3535000000,None,None,18000000,1646000000,None,7154000000,2629000000,211000000,None,None,211000000,4525000000,None,3662000000,None,None,3873000000,988000000,229000000,2304000000,-11041000000,11284000000,294000000,253200000
2019-12-31,USD,11348000000,4712000000,2866000000,2866000000,-1577000000,1577000000,6636000000,320000000,-622000000,1424000000,1424000000,3575000000,None,None,28000000,241000000,None,8544000000,3093000000,190000000,None,None,112000000,5451000000,732000000,3948000000,None,None,4680000000,795000000,259000000,479000000,-12299000000,12205000000,294000000,246900000
2020-12-31,USD,12537000000,5988000000,4108000000,4108000000,-1593000000,1593000000,6549000000,284000000,-587000000,1352000000,1352000000,3735000000,None,None,9000000,278000000,None,9185000000,3587000000,233000000,None,None,100000000,5598000000,644000000,4110000000,None,None,4754000000,1002000000,1488000000,509000000,-13461000000,13367000000,294000000,242100000
2021-12-31,USD,15026000000,8810000000,6497000000,6497000000,-1650000000,1650000000,6216000000,241000000,-620000000,1285000000,1285000000,3506000000,None,165000000,11000000,652000000,None,9490000000,3815000000,205000000,None,None,96000000,5675000000,492000000,4114000000,None,None,4702000000,1207000000,1561000000,2032000000,-13469000000,15017000000,294000000,241800000
2022-12-31,USD,61784000000,5667000000,1286000000,1286000000,-1196000000,2494000000,56117000000,297000000,None,18306000000,18306000000,34545000000,None,1752000000,14000000,1873000000,None,22040000000,5999000000,450000000,None,None,344000000,16041000000,577000000,10730000000,226000000,None,11651000000,1963000000,1246000000,36477000000,None,17784000000,415000000,318500000
2023-12-31,USD,60589000000,5143000000,1290000000,1290000000,-922000000,2826000000,55446000000,None,None,17398000000,17398000000,34850000000,None,1787000000,26000000,1001000000,None,22489000000,6125000000,557000000,None,None,47000000,16364000000,541000000,11412000000,47000000,None,12000000000,1939000000,522000000,34200000000,None,18728000000,415000000,318900000
2024-12-31,USD,60221000000,5459000000,1666000000,1666000000,None,2867000000,54762000000,None,None,16556000000,16556000000,34917000000,None,1774000000,20000000,906000000,None,22713000000,6392000000,553000000,None,None,4000000,16321000000,535000000,11394000000,4000000,None,11933000000,1942000000,815000000,33159000000,None,20977000000,415000000,311900000
2025-12-31,USD,61200000000,6296000000,1745000000,1745000000,None,3441000000,54904000000,None,None,16271000000,16271000000,36475000000,None,603000000,56000000,1054000000,None,25048000000,7637000000,610000000,None,None,842000000,17411000000,494000000,12370000000,718000000,None,14200000000,2097000000,1107000000,31235000000,None,23666000000,415000000,305100000
