fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2005-12-31,USD,6395808000,2590939000,748787000,748787000,335278000,1114291000,3804869000,526750000,None,2351971000,2351971000,1654628000,None,None,None,392583000,None,3282660000,2224826000,336285000,None,None,2947000,1057834000,None,339000,None,None,3286000,1032341000,None,3113148000,-1401973000,4199210000,411709000,367456000
2006-03-31,USD,5653489000,1848966000,179738000,179738000,370533000,879837000,3804523000,506834000,None,2337227000,2337227000,1649397000,None,None,None,418858000,None,3324143000,2343682000,279961000,None,None,2881000,980461000,None,333000,None,None,3214000,1133460000,None,2329346000,-2280515000,4207104000,411709000,377333000
2006-06-30,USD,5935430000,2137188000,211053000,211053000,389425000,1117453000,3798242000,501736000,None,675827000,675827000,1654645000,None,None,None,419257000,None,3776344000,2789439000,294274000,None,None,681257000,986905000,None,327000,None,None,681584000,921400000,None,2159086000,-2594600000,4362531000,411709000,365507000
2006-09-30,USD,6131883000,2379909000,309711000,309711000,346456000,1314502000,3751974000,500297000,None,668907000,668907000,1660808000,None,None,None,409240000,None,3526057000,2543345000,303027000,None,None,235080000,982712000,None,318000,None,None,235398000,1053130000,None,2605826000,-2501289000,4680639000,411709000,360935000
2006-12-31,USD,6042890000,2257938000,353498000,353498000,322172000,1237321000,3784952000,542219000,None,1161290000,1161290000,1671479000,None,None,None,344947000,None,3363272000,2468016000,372471000,None,None,2367000,895256000,None,314000,None,None,2681000,1109968000,None,2679618000,-2552593000,4821118000,411709000,351215000
2007-03-31,USD,5877804000,2141679000,429631000,429631000,385158000,966828000,3736125000,535045000,None,638939000,638939000,1629850000,None,None,None,360062000,None,3902226000,3024613000,326451000,None,None,607151000,877613000,None,307000,None,None,607458000,1021605000,None,1975578000,-3339152000,4887023000,411709000,361497000
2007-06-30,USD,6239445000,2446314000,358082000,358082000,430194000,1296150000,3793131000,569708000,None,637487000,637487000,1669192000,None,None,None,361888000,None,4347753000,3502092000,362373000,None,None,994193000,845661000,None,300000,None,None,994493000,996727000,None,1891692000,-3625098000,5093409000,411709000,350298000
2007-09-30,USD,6524696000,2691847000,452531000,452531000,379520000,1505783000,3832849000,609398000,None,652290000,652290000,1698206000,None,None,None,354013000,None,4794791000,3935871000,360780000,None,None,1330992000,858920000,None,292000,None,None,1331284000,1044177000,None,1729905000,-4215031000,5478248000,411709000,337733000
2007-12-31,USD,6357336000,2333035000,396096000,396096000,350668000,1189205000,4024301000,660766000,None,1211670000,1211670000,1697621000,None,None,None,397066000,None,4750686000,2656860000,388008000,None,None,22000,2093826000,None,1197425000,None,None,1197447000,1183390000,None,1606650000,-4513380000,5551757000,411709000,319945000
2008-03-31,USD,6266851000,2204083000,396709000,396709000,440807000,965993000,4062768000,656234000,None,625164000,625164000,1709277000,None,None,None,400574000,None,4746265000,2666424000,360856000,None,None,396222000,2079841000,None,1197472000,None,None,1593694000,818491000,None,1520586000,-4602945000,5561852000,411709000,323400000
2008-06-30,USD,6558887000,2509664000,355304000,355304000,496594000,1266221000,4049223000,648153000,None,620166000,620166000,1724192000,None,None,None,391545000,None,5048713000,2969065000,361467000,None,None,526222000,2079648000,None,1197519000,None,None,1723741000,904619000,None,1510174000,-4683569000,5703049000,411709000,321087000
2008-09-30,USD,6533178000,2584855000,485226000,485226000,423779000,1309550000,3948323000,630247000,None,606161000,606161000,1718610000,None,None,None,366300000,None,4899818000,2817971000,318974000,None,None,307122000,2081847000,None,1197565000,None,None,1504687000,965735000,None,1633360000,-4809801000,6024171000,411709000,317203000
2008-12-31,USD,6080142000,2302723000,471671000,471671000,369679000,1060858000,3777419000,621062000,None,591130000,591130000,1703240000,None,None,None,400515000,None,4797806000,2530703000,337459000,None,None,70022000,2267103000,None,1197611000,None,None,1267633000,1006846000,None,1282336000,-4811294000,6070793000,411709000,312017000
2009-03-31,USD,5849418000,2127925000,496799000,496799000,386400000,832339000,3721493000,596654000,None,576820000,576820000,1702152000,None,None,None,412387000,None,4543434000,2354018000,275457000,None,None,159922000,2189416000,None,1197656000,None,None,1357578000,801285000,None,1235206000,-4792898000,6062946000,411709000,312017000
2009-06-30,USD,6058016000,2397222000,556131000,556131000,389885000,1049447000,3660794000,584043000,-984012000,565608000,565608000,1688748000,None,None,0,401759000,None,4591998000,2417593000,285509000,None,None,89622000,2174405000,None,1197701000,None,None,1287323000,857427000,820008000,1466018000,-4780114000,6156140000,411709000,313033000
2009-09-30,USD,6415467000,2856939000,957265000,957265000,338997000,1174567000,3558528000,575121000,-1005493000,554754000,554754000,1691837000,None,None,0,386110000,None,4662227000,2516070000,314571000,None,None,22000,2146157000,None,1197747000,None,None,1197769000,951447000,794346000,1677006000,-4770451000,6421323000,411709000,313642000
2009-12-31,USD,6475250000,2936396000,1209927000,1209927000,301229000,969662000,3538854000,579796000,-990654000,538735000,538735000,1690507000,None,None,24602000,430976000,None,4546073000,2451954000,301828000,None,None,22000,2094119000,None,1197791000,None,None,1197813000,1017661000,738525000,1847287000,-4749143000,6522613000,411709000,313372000
2010-03-31,USD,6289236000,2774993000,1209370000,1209370000,319126000,766467000,3514243000,558807000,-1007092000,528804000,528804000,1689627000,None,None,25140000,454890000,None,4304251000,2206367000,293373000,None,None,22000,2097884000,None,1197835000,None,None,1197857000,778974000,745685000,1900796000,-4746810000,6551841000,411709000,316300000
2010-06-30,USD,6364026000,2907953000,1117827000,1117827000,339654000,994039000,3456073000,545800000,-1023449000,520736000,520736000,1688646000,None,None,26796000,429637000,None,4444100000,2359777000,325029000,None,None,22000,2084323000,None,1197879000,None,None,1197901000,835391000,735472000,1842946000,-4926074000,6668804000,411709000,313200000
2010-09-30,USD,6884000000,3259000000,1323000000,1323000000,295000000,1107000000,3625000000,542202000,None,961000000,961000000,1866000000,None,None,33000000,501000000,None,4754000000,2588000000,333000000,None,None,None,2166000000,None,1197922000,None,None,1198000000,1802374000,884183000,2130000000,-4991922000,6976000000,412000000,309300000
2010-12-31,USD,7046561000,3294611000,1525596000,1525596000,275102000,990573000,3751950000,548767000,-1064786000,663882000,663882000,1886963000,None,None,22156000,481184000,None,4755170000,2680874000,396480000,None,None,641170000,2074296000,None,1197965000,None,None,1839135000,437480000,876331000,2210296000,-4957680000,7056628000,411709000,305200000
2011-03-31,USD,6789700000,2924000000,1269600000,1269600000,317600000,825300000,3865700000,536600000,None,681500000,681500000,1985000000,None,None,28500000,1654400000,None,4474000000,2380000000,340600000,None,None,340600000,2094000000,None,1198000000,None,None,1538600000,1156100000,896000000,2315700000,-5067000000,7098800000,411700000,309600000
2011-06-30,USD,6944000000,3126400000,1300200000,1300200000,340300000,1021300000,3817600000,526500000,None,1017700000,1017700000,1984800000,None,None,24800000,439800000,None,4608200000,2523200000,339800000,None,None,513100000,2085000000,None,1198000000,None,None,1711100000,424300000,887000000,2255000000,-5197400000,7233000000,411700000,309200000
2011-09-30,USD,7153700000,3389500000,1437600000,1437600000,285300000,1133300000,3764200000,488300000,None,621300000,621300000,2037800000,None,None,36200000,1951900000,None,4865600000,2760200000,333500000,None,None,333500000,2105400000,None,1198000000,None,None,1531500000,1515600000,907400000,2288100000,-5503600000,7525100000,411700000,303600000
2011-12-31,USD,6427000000,2679000000,835000000,835000000,263000000,702000000,3748000000,500000000,-1066000000,608000000,608000000,2048000000,None,None,29000000,2483000000,None,4843000000,3130000000,223000000,None,None,400000000,1713000000,None,798000000,None,None,1198000000,1530000000,915000000,1508000000,-6240000000,7667000000,412000000,278000000
2012-03-31,USD,6352000000,2578000000,908000000,908000000,293000000,932000000,3774000000,485000000,None,943000000,943000000,2062000000,None,None,24000000,421000000,None,4566000000,2858000000,337000000,None,None,400000000,1708000000,None,798000000,None,None,1198000000,761000000,910000000,1786000000,-6090000000,7719000000,412000000,283800000
2012-06-30,USD,7310000000,2640000000,836000000,836000000,296000000,1102000000,4670000000,482000000,None,1609000000,1609000000,2296000000,None,None,3000000,403000000,None,4788000000,2879000000,232000000,None,None,400000000,1909000000,None,799000000,None,None,1199000000,813000000,1110000000,1730000000,-6059000000,7292000000,412000000,285300000
2012-09-30,USD,7943000000,3259000000,1243000000,1243000000,258000000,1338000000,4684000000,482000000,None,1247000000,1247000000,2357000000,None,None,2000000,418000000,None,5271000000,3358000000,409000000,None,None,400000000,1913000000,None,799000000,None,None,1199000000,1037000000,1114000000,1786000000,-6201000000,7518000000,412000000,284600000
2012-12-31,USD,7052000000,3899000000,760000000,760000000,986000000,954000000,3153000000,368000000,-772000000,1081000000,1081000000,1438000000,None,None,1000000,2184000000,None,5402000000,3667000000,249000000,None,None,457000000,1735000000,None,799000000,None,None,1256000000,1574000000,936000000,840000000,-6145000000,6525000000,412000000,284700000
2013-03-31,USD,6270000000,3181000000,1905000000,1905000000,133000000,999000000,3089000000,345000000,None,1054000000,1054000000,1429000000,None,None,0,144000000,None,4378000000,2688000000,250000000,None,None,596000000,1690000000,None,799000000,None,None,1395000000,563000000,891000000,1030000000,-6332000000,7168000000,412000000,284300000
2013-06-30,USD,6160000000,3107000000,1900000000,1900000000,131000000,957000000,3053000000,340000000,None,1037000000,1037000000,1432000000,None,None,0,119000000,None,4079000000,2395000000,227000000,None,None,487000000,1684000000,None,799000000,None,None,1286000000,397000000,885000000,1223000000,-6378000000,7348000000,412000000,278300000
2013-09-30,USD,5848000000,2828000000,1577000000,1577000000,-957000000,957000000,3020000000,336000000,None,1023000000,1023000000,1406000000,None,None,0,1251000000,None,4023000000,2359000000,227000000,None,None,227000000,1664000000,None,799000000,None,None,1026000000,1119000000,865000000,1015000000,-6686000000,7289000000,412000000,278800000
2013-12-31,USD,6061000000,2936000000,1542000000,1542000000,-918000000,979000000,3125000000,249000000,-617000000,1033000000,1033000000,1412000000,None,None,18000000,1315000000,None,3907000000,2372000000,219000000,None,None,219000000,1535000000,None,799000000,None,None,1018000000,1063000000,531000000,1344000000,-6746000000,7384000000,412000000,278000000
2014-03-31,USD,6011000000,2864000000,1531000000,1531000000,-988000000,988000000,3147000000,242000000,None,1036000000,1036000000,1413000000,None,None,0,1333000000,None,3794000000,2254000000,206000000,None,None,206000000,1540000000,None,799000000,None,None,1005000000,944000000,741000000,1407000000,-6772000000,7565000000,412000000,277200000
2014-06-30,USD,6057000000,2993000000,1617000000,1617000000,109000000,990000000,3064000000,209000000,None,1022000000,1022000000,1418000000,None,None,0,277000000,None,3758000000,2252000000,198000000,None,None,388000000,1506000000,None,799000000,None,None,1187000000,344000000,707000000,1442000000,-6904000000,7766000000,412000000,276100000
2014-09-30,USD,6270000000,3188000000,1918000000,1918000000,135000000,928000000,3082000000,199000000,None,1012000000,1012000000,1435000000,None,None,0,207000000,None,3870000000,2384000000,192000000,None,None,407000000,1486000000,None,799000000,None,None,1206000000,519000000,687000000,1541000000,-6878000000,7877000000,412000000,275400000
2014-12-31,USD,6771000000,3966000000,2497000000,2497000000,-932000000,932000000,2805000000,206000000,-563000000,1004000000,1004000000,1387000000,None,None,3000000,1469000000,None,5422000000,3967000000,191000000,None,None,191000000,1455000000,None,799000000,795000000,None,990000000,2644000000,600000000,539000000,-6849000000,6946000000,412000000,271700000
