fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-12-31,USD,9507000000,25090000000,15583000000,15583000000,5725000000,3458000000,None,3782000000,None,None,None,324000000,None,None,None,808000000,5725000000,1517000000,None,None,None,6049000000,6857000000,4208000000
2007-12-31,USD,9914000000,26017000000,16103000000,16103000000,6216000000,3352000000,None,3698000000,None,None,None,346000000,None,None,None,811000000,6216000000,1615000000,None,None,None,6562000000,7373000000,4601000000
2008-12-31,USD,7604000000,24477000000,16873000000,16873000000,3716000000,3518000000,None,3888000000,None,None,None,370000000,None,None,None,821000000,3716000000,792000000,None,None,None,4086000000,4907000000,2924000000
2009-12-31,USD,8459000000,24680000000,16221000000,16221000000,4711000000,3366000000,0,3748000000,None,None,None,382000000,None,None,None,797000000,4711000000,1089000000,None,3622000000,None,5093000000,5890000000,3622000000
2010-12-31,USD,8100000000,25112000000,17012000000,17012000000,4306000000,3406000000,0,3794000000,None,None,None,388000000,None,None,None,812000000,4306000000,1090000000,None,3216000000,None,4694000000,5506000000,3216000000
2011-12-31,USD,5294000000,25446000000,20152000000,20152000000,1352000000,3556000000,0,3942000000,None,None,None,386000000,None,None,None,802000000,1352000000,-74000000,None,1426000000,None,1738000000,2540000000,1426000000
2012-12-31,USD,7154000000,25740000000,18586000000,18586000000,3166000000,3610000000,0,3988000000,None,None,None,378000000,None,None,None,827000000,3166000000,693000000,None,2473000000,None,3544000000,4371000000,2473000000
2013-12-31,USD,9063000000,26191000000,17128000000,17128000000,4945000000,3757000000,0,4118000000,None,None,None,361000000,None,None,None,867000000,4945000000,1272000000,None,6217000000,None,5306000000,6173000000,3673000000
2014-12-31,USD,9422000000,27174000000,17752000000,17752000000,5089000000,3964000000,0,4333000000,None,None,None,369000000,None,None,None,864000000,5089000000,1397000000,None,6486000000,None,5458000000,6322000000,3692000000
2015-12-31,USD,9207000000,26815000000,17608000000,17608000000,4740000000,4094000000,0,4467000000,None,None,373000000,373000000,None,None,None,818000000,4740000000,1301000000,None,6041000000,None,5113000000,5931000000,3439000000
2016-12-31,USD,8570000000,27625000000,19055000000,19055000000,4053000000,4154000000,0,4517000000,None,-363000000,363000000,363000000,None,None,None,826000000,4053000000,1039000000,None,5092000000,None,4416000000,5242000000,3014000000
2017-12-31,USD,7269000000,28902000000,21633000000,21633000000,2730000000,4170000000,0,4539000000,None,-369000000,369000000,369000000,None,None,None,813000000,2730000000,674000000,None,2056000000,None,3099000000,3912000000,2056000000
2018-12-31,USD,7610000000,30282000000,22672000000,22672000000,2961000000,4297000000,0,4649000000,None,-352000000,352000000,352000000,None,None,None,803000000,2961000000,438000000,None,2523000000,None,3313000000,4116000000,2523000000
2019-12-31,USD,7847000000,31581000000,23734000000,23734000000,3138000000,4365000000,None,4709000000,None,-344000000,344000000,344000000,None,None,None,763000000,3138000000,516000000,None,3654000000,None,3482000000,4245000000,2622000000
2020-12-31,USD,8085000000,31981000000,23896000000,23896000000,3237000000,4509000000,None,4848000000,None,-339000000,339000000,339000000,None,None,None,789000000,3237000000,540000000,None,3777000000,None,3576000000,4365000000,2697000000
2021-12-31,USD,9475000000,34816000000,25341000000,25341000000,4458000000,4677000000,None,5017000000,None,-340000000,340000000,340000000,None,None,None,870000000,4458000000,796000000,None,3662000000,None,4798000000,5668000000,3662000000
2022-12-31,USD,8527000000,36896000000,28369000000,28369000000,3354000000,4810000000,None,5173000000,None,-351000000,351000000,351000000,None,None,None,826000000,3354000000,512000000,None,3866000000,None,3705000000,4531000000,2842000000
2023-12-31,USD,8932000000,41373000000,32441000000,32441000000,3371000000,5176000000,None,5561000000,None,-376000000,376000000,376000000,None,None,None,722000000,3371000000,380000000,None,2991000000,None,3747000000,4469000000,2991000000
2024-12-31,USD,12396000000,46428000000,34032000000,34032000000,6180000000,5819000000,None,6216000000,None,-392000000,392000000,392000000,None,None,None,715000000,6180000000,1181000000,None,4999000000,None,6572000000,7287000000,4999000000
2025-12-31,USD,21607000000,48828000000,27221000000,27221000000,7796000000,6120000000,None,13811000000,None,-425000000,425000000,425000000,None,None,None,680000000,7796000000,1508000000,None,6288000000,None,8221000000,8901000000,6288000000
