fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
1996-03-31,1996-04-24,0.5,0.48,0.02,4.1667,pre-market
1996-06-30,1996-07-24,0.52,0.52,0,0,pre-market
1996-09-30,1996-10-23,0.53,0.55,-0.02,-3.6364,pre-market
1996-12-31,1997-02-05,0.55,0.55,0,0,pre-market
1997-03-31,1997-04-23,0.56,0.56,0,0,pre-market
1997-06-30,1997-07-23,0.6,0.61,-0.01,-1.6393,pre-market
1997-09-30,1997-10-22,0.64,0.64,0,0,pre-market
1997-12-31,1998-02-04,0.54,0.66,-0.12,-18.1818,pre-market
1998-03-31,1998-04-22,0.65,0.65,0,0,pre-market
1998-06-30,1998-07-22,0.7,0.69,0.01,1.4493,pre-market
1998-09-30,1998-10-21,0.71,0.71,0,0,pre-market
1998-12-31,1999-02-09,0.71,0.73,-0.02,-2.7397,pre-market
1999-03-31,1999-04-27,0.72,0.73,-0.01,-1.3699,pre-market
1999-06-30,1999-08-02,0.66,0.76,-0.1,-13.1579,pre-market
1999-09-30,1999-11-01,0.7,0.71,-0.01,-1.4085,pre-market
1999-12-31,2000-02-09,0.57,0.72,-0.15,-20.8333,pre-market
2000-03-31,2000-05-03,0.56,0.56,0,0,pre-market
2000-06-30,2000-08-09,0.59,0.59,0,0,pre-market
2000-09-30,2000-11-13,0.6,0.61,-0.01,-1.6393,post-market
2000-12-31,2001-02-12,0.61,0.61,0,0,post-market
2001-03-31,2001-05-07,0.61,0.62,-0.01,-1.6129,post-market
2001-06-30,2001-07-25,0.6,0.63,-0.03,-4.7619,post-market
2001-09-30,2001-11-06,0.61,0.59,0.02,3.3898,post-market
2001-12-31,2002-02-06,0.62,0.62,0,0,post-market
2002-03-31,2002-05-07,0.62,0.63,-0.01,-1.5873,post-market
2002-06-30,2002-08-06,0.63,0.63,0,0,post-market
2002-09-30,2002-11-06,0.64,0.64,0,0,post-market
2002-12-31,2003-02-05,0.64,0.64,0,0,post-market
2003-03-31,2003-04-25,0.44,0.58,-0.14,-24.1379,pre-market
2003-06-30,2003-08-05,0.42,0.41,0.01,2.439,post-market
2003-09-30,2003-11-05,0.42,0.42,0,0,post-market
2003-12-31,2004-02-04,0.37,0.42,-0.05,-11.9048,post-market
2004-03-31,2004-05-05,0.38,0.38,0,0,post-market
2004-06-30,2004-08-04,0.43,0.39,0.04,10.2564,post-market
2004-09-30,2004-11-03,0.41,0.41,0,0,post-market
2004-12-31,2005-02-02,0.43,0.34,0.09,26.4706,post-market
2005-03-31,2005-05-03,0.5,0.42,0.08,19.0476,post-market
2005-06-30,2005-08-02,0.42,0.41,0.01,2.439,post-market
2005-09-30,2005-11-01,0.43,0.4,0.03,7.5,post-market
2005-12-31,2006-01-30,0.43,0.45,-0.02,-4.4444,post-market
2006-03-31,2006-05-03,0.41,0.43,-0.02,-4.6512,post-market
2006-06-30,2006-08-02,0.43,0.41,0.02,4.878,post-market
2006-09-30,2006-11-01,0.46,0.41,0.05,12.1951,post-market
2006-12-31,2007-01-29,0.52,0.44,0.08,18.1818,post-market
2007-03-31,2007-05-02,0.5,0.45,0.05,11.1111,post-market
2007-06-30,2007-08-01,0.51,0.47,0.04,8.5106,post-market
2007-09-30,2007-10-31,0.6,0.51,0.09,17.6471,post-market
2007-12-31,2008-01-28,0.59,0.54,0.05,9.2593,post-market
2008-03-31,2008-04-30,0.59,0.57,0.02,3.5088,post-market
2008-06-30,2008-07-30,0.65,0.6,0.05,8.3333,post-market
2008-09-30,2008-10-30,0.64,0.63,0.01,1.5873,post-market
2008-12-31,2009-02-03,0.63,0.62,0.01,1.6129,post-market
2009-03-31,2009-04-29,0.62,0.6,0.02,3.3333,post-market
2009-06-30,2009-08-04,0.65,0.61,0.04,6.5574,post-market
2009-09-30,2009-11-03,0.64,0.64,0,0,post-market
2009-12-31,2010-02-02,0.66,0.64,0.02,3.125,post-market
2010-03-31,2010-05-04,0.67,0.65,0.02,3.0769,post-market
2010-06-30,2010-08-03,0.69,0.68,0.01,1.4706,post-market
2010-09-30,2010-11-02,0.68,0.68,0,0,post-market
2010-12-31,2011-02-02,0.66,0.69,-0.03,-4.3478,post-market
2011-03-31,2011-05-03,0.69,0.7,-0.01,-1.4286,post-market
2011-06-30,2011-08-02,0.75,0.72,0.03,4.1667,post-market
2011-09-30,2011-11-01,0.74,0.75,-0.01,-1.3333,post-market
2011-12-31,2012-02-06,0.78,0.75,0.03,4,post-market
2012-03-31,2012-05-01,0.73,0.76,-0.03,-3.9474,post-market
2012-06-30,2012-08-01,0.79,0.76,0.03,3.9474,post-market
2012-09-30,2012-10-31,0.8,0.76,0.04,5.2632,post-market
2012-12-31,2013-02-05,0.82,0.77,0.05,6.4935,post-market
2013-03-31,2013-05-01,0.8,0.78,0.02,2.5641,post-market
2013-06-30,2013-08-05,0.82,0.8,0.02,2.5,post-market
2013-09-30,2013-11-04,0.85,0.82,0.03,3.6585,post-market
2013-12-31,2014-02-04,0.85,0.84,0.01,1.1905,post-market
2014-03-31,2014-05-07,0.87,0.85,0.02,2.3529,post-market
2014-06-30,2014-07-30,0.91,0.87,0.04,4.5977,post-market
2014-09-30,2014-10-29,0.87,0.9,-0.03,-3.3333,post-market
2014-12-31,2015-02-03,0.9,0.88,0.02,2.2727,post-market
