fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-12-31,USD,219232000000,61179000000,8639000000,8639000000,3351000000,12510000000,158053000000,1835000000,None,3227000000,3227000000,7538000000,None,None,40030000000,105336000000,None,198035000000,151815000000,124882000000,None,None,26933000000,46220000000,None,29265000000,None,None,64535000000,124882000000,None,21197000000,-6091000000,21242000000,20000000,1804000000
2007-12-31,USD,237615000000,64137000000,8884000000,8884000000,4930000000,12211000000,173478000000,1779000000,None,3043000000,3043000000,7647000000,None,None,43042000000,117893000000,None,216569000000,163815000000,131445000000,None,None,32370000000,52754000000,None,32954000000,None,None,75810000000,131445000000,None,21046000000,-7480000000,22693000000,20000000,1758000000
2008-12-31,USD,265912000000,58312000000,6859000000,6859000000,3400000000,11985000000,207600000000,1790000000,None,2834000000,2834000000,8571000000,None,None,39468000000,154884000000,None,238879000000,193333000000,159350000000,None,None,33983000000,45546000000,None,27904000000,None,None,72342000000,159350000000,None,26300000000,-6659000000,22541000000,20000000,1757000000
2009-12-31,USD,281176000000,62032000000,6206000000,6206000000,5209000000,11105000000,219144000000,2263000000,None,3406000000,3406000000,9011000000,None,None,44721000000,159696000000,None,254515000000,214554000000,183242000000,None,None,31312000000,39961000000,None,26107000000,None,None,63892000000,183242000000,None,25963000000,-6509000000,24116000000,21000000,1859000000
2010-12-31,USD,307786000000,76691000000,14487000000,14487000000,9335000000,10695000000,231095000000,2487000000,None,3213000000,3213000000,8954000000,None,193220000000,51509000000,163463000000,None,277464000000,236809000000,204252000000,None,None,32557000000,40655000000,None,31537000000,None,None,64094000000,204252000000,9118000000,29519000000,-6262000000,27005000000,21000000,1921000000
2011-12-31,USD,340122000000,70100000000,13962000000,13962000000,7834000000,11032000000,270022000000,2657000000,None,2736000000,2736000000,8927000000,None,None,45106000000,178057000000,None,305151000000,261353000000,230885000000,None,None,30468000000,43798000000,None,24907000000,None,None,62421000000,230885000000,None,33978000000,-6472000000,30785000000,21000000,1923000000
2012-12-31,USD,353855000000,57249000000,8252000000,8252000000,8554000000,10900000000,296606000000,2670000000,None,2706000000,2706000000,9143000000,None,261270000000,38097000000,210811000000,None,313588000000,275485000000,249183000000,None,None,26302000000,38103000000,None,25516000000,None,None,51818000000,249183000000,12587000000,38998000000,-7790000000,34720000000,21000000,1896000000
2013-12-31,USD,364021000000,59506000000,8477000000,8477000000,3692000000,11200000000,304515000000,2606000000,None,3529000000,3529000000,9205000000,None,42188000000,39829000000,211420000000,None,322214000000,289731000000,262123000000,None,None,27608000000,32483000000,None,20049000000,None,None,47657000000,262123000000,12434000000,41113000000,-9476000000,38667000000,21000000,1849000000
2014-12-31,USD,402529000000,77645000000,10654000000,10654000000,5117000000,11252000000,324884000000,2618000000,None,3162000000,3162000000,9389000000,None,49766000000,55739000000,209528000000,None,358361000000,312626000000,282733000000,None,None,29893000000,45735000000,None,32260000000,500000000,None,62153000000,282733000000,13475000000,43479000000,-11245000000,42530000000,21000000,1813000000
2015-12-31,USD,421853000000,82644000000,11147000000,11147000000,331000000,10518000000,339209000000,2513000000,None,3350000000,3350000000,9361000000,None,46774000000,60979000000,219942000000,None,375036000000,328277000000,300400000000,None,None,27877000000,46759000000,None,32078000000,500000000,None,60914000000,300400000000,14681000000,46131000000,-13125000000,46377000000,21000000,1772000000
2016-12-31,USD,445964000000,93008000000,15705000000,15705000000,-16231000000,11774000000,352956000000,2443000000,None,3303000000,3303000000,9344000000,None,47817000000,65529000000,16231000000,None,398031000000,348553000000,334590000000,None,None,13963000000,49478000000,None,33323000000,12715000000,None,47286000000,334590000000,16155000000,47298000000,-15280000000,50151000000,21000000,1724000000
