fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-03-31,USD,3013755000,5183459000,2169704000,2169704000,1064198000,1464415000,485142000,1949557000,None,None,None,34519000,None,None,None,372592000,1135017000,270134000,None,0,None,1042761000,1415353000,864883000
2006-06-30,USD,3112511000,5501124000,2388613000,2388613000,542777000,1520397000,1049337000,2569734000,None,None,None,81683000000,None,None,None,393611000,657136000,44892000,None,0,None,542777000,936388000,612244000
2006-09-30,USD,3182552000,5573770000,2391218000,2391218000,689166000,1661761000,617625000,2493386000,None,None,None,86884000000,None,None,None,381441000,726317000,10475000,None,0,None,903166000,1284607000,715842000
2006-12-31,USD,3352357000,6217969000,2865612000,2865612000,-253922000,1703112000,596167000,3606279000,None,None,None,292347000,None,None,None,411106000,-242100000,234114000,None,0,None,1053078000,1464184000,-476214000
2007-03-31,USD,3113589000,5290284000,2176695000,2176695000,947625000,1657030000,578374000,2405925000,None,None,None,147385000,None,None,None,432424000,770991000,129542000,None,0,None,947625000,1380049000,697537000
2007-06-30,USD,3566294000,6370620000,2804326000,2804326000,1186364000,1796456000,583474000,2379930000,None,None,None,153349000,None,None,None,435501000,1252638000,263894000,None,0,None,1186364000,1621865000,988744000
2007-09-30,USD,3512676000,6376706000,2864030000,2864030000,926554000,1945404000,640718000,2586122000,None,None,None,146657000,None,None,None,503769000,893419000,176414000,None,0,None,926554000,1430323000,717005000
2007-12-31,USD,4059671000,7221351000,3161680000,3161680000,1518001000,1879269000,662401000,2541670000,None,None,None,593142000,None,None,None,483192000,1482925000,279898000,None,0,None,1518001000,2001193000,1203027000
2008-03-31,USD,3804531000,6765603000,2961072000,2961072000,1147841000,2018033000,619957000,2637990000,None,None,None,142534000,None,None,None,451854000,1160726000,222859000,None,0,None,1303260000,1755114000,937867000
2008-06-30,USD,4194321000,7314021000,3119700000,3119700000,1406585000,2052317000,656863000,2787736000,None,None,None,137769000,None,None,None,465860000,1636318000,314304000,None,0,None,1774087000,2239947000,1322014000
2008-09-30,USD,4144791000,7497660000,3352869000,3352869000,1396517000,2067914000,680360000,2748274000,None,None,None,125014000,None,None,None,498560000,1373036000,288424000,None,0,None,1396517000,1895077000,1084612000
2008-12-31,USD,4771887000,7950268000,3178381000,3178381000,1742896000,2297360000,731631000,3028991000,None,None,None,528474000,None,None,None,422555000,1686206000,296483000,None,0,None,2336561000,2759116000,1536226000
2009-03-31,USD,3782447000,6718368000,2935921000,2935921000,1060759000,2070945000,650743000,2721688000,None,None,None,124190000,None,None,None,464045000,1932479000,493842000,None,0,None,2056669000,2520714000,1438637000
2009-06-30,USD,4366000000,7495000000,3129000000,3129000000,1671000000,2024252000,670000000,2695000000,None,None,None,136969000,None,32587000,None,537398000,1567000000,279000000,None,1288105000,None,1704007000,2241405000,1288105000
2009-09-30,USD,4401000000,7761000000,3360000000,3360000000,1640000000,2085660000,676000000,2761000000,None,None,None,134612000,None,366234000,None,540714000,1871000000,391000000,None,1480367000,None,2005987000,2546701000,1480367000
2009-12-31,USD,5005904000,8790127000,3784223000,3784223000,1863809000,2225047000,747048000,3142095000,None,None,None,123885000,None,None,None,547353000,1822882000,284153000,None,0,None,1946767000,2494120000,1538729000
2010-03-31,USD,4363000000,7698000000,3335000000,3335000000,1471000000,2162400000,730000000,2892000000,None,None,None,118201000,None,-30075000,None,562501000,1322000000,319000000,None,1003015000,None,1440408000,2002909000,1003015000
2010-06-30,USD,5282000000,8826000000,3544000000,3544000000,1606000000,2743418000,858000000,3676116000,None,None,None,134488000,None,87209000,None,675202000,1559000000,267000000,None,1291650000,None,1693175000,2368377000,1291650000
2010-09-30,USD,4933000000,8675000000,3742000000,3742000000,1181000000,2673277000,1079000000,3752000000,None,None,None,149102000,None,32027000,None,677024000,1064000000,173000000,None,890660000,None,1213212000,1890236000,890660000
2010-12-31,USD,5922808000,9967848000,4045040000,4045040000,1829947000,2797229000,1295632000,4092861000,None,None,None,151344000,None,89227000,None,709578000,1767830000,326983000,None,1440847000,None,1919174000,2628752000,1440847000
2011-03-31,USD,5182000000,9041000000,3859000000,3859000000,1301000000,2850318000,930000000,3781000000,None,None,None,145587000,None,-86776000,None,745667000,1069000000,205000000,None,863818000,None,1214373000,1960040000,863818000
2011-06-30,USD,5746000000,9616000000,3870000000,3870000000,1773000000,2762086000,1038000000,3800000000,None,None,None,134129000,None,35232000,None,811412000,1675000000,-268000000,None,1942782000,None,1808685000,2620097000,1942782000
2011-09-30,USD,5844000000,9817000000,3973000000,3973000000,595000000,4238910000,1010000000,5249000000,None,None,None,124339000,None,31056000,None,838386000,501000000,198000000,None,303181000,None,625934000,1464320000,303181000
