fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-12-31,USD,14686000000,6970000000,2485000000,2485000000,2066000000,1838000000,7716000000,4229000000,None,480000000,480000000,1618000000,None,None,None,581000000,None,8414000000,3610000000,878000000,None,None,234000000,4804000000,None,2567000000,None,None,2801000000,2498000000,None,6272000000,-1433000000,3271000000,683000000,656000000
2007-12-31,USD,15294000000,7555000000,2539000000,2539000000,2334000000,2026000000,7739000000,4487000000,None,455000000,455000000,1690000000,None,None,None,656000000,None,8378000000,3812000000,920000000,None,None,425000000,4566000000,None,2664000000,None,None,3089000000,2467000000,None,6916000000,-2503000000,4379000000,683000000,654000000
2008-12-31,USD,15405000000,7148000000,2131000000,2131000000,2361000000,1980000000,8257000000,4609000000,None,390000000,390000000,1654000000,None,None,None,676000000,None,9176000000,3635000000,829000000,None,None,394000000,5541000000,None,3362000000,None,None,3756000000,2157000000,None,6229000000,-3897000000,5795000000,683000000,637000000
2009-12-31,USD,17354000000,8271000000,2786000000,2786000000,2557000000,2302000000,9083000000,5159000000,None,513000000,513000000,1825000000,None,None,0,626000000,None,9934000000,4464000000,807000000,None,None,711000000,5470000000,None,3440000000,None,None,4151000000,2571000000,None,7191000000,-4741000000,7343000000,683000000,614000000
2010-12-31,USD,17489000000,7989000000,2685000000,2685000000,2371000000,2265000000,9500000000,5260000000,None,500000000,500000000,2015000000,None,None,0,668000000,None,10693000000,4041000000,745000000,None,None,24000000,6652000000,None,4363000000,None,None,4387000000,2291000000,2289000000,6567000000,-5655000000,7925000000,683000000,594000000
2011-12-31,USD,19073000000,8650000000,2905000000,2905000000,2628000000,2420000000,10423000000,5525000000,None,826000000,826000000,2317000000,None,None,0,697000000,None,12245000000,4857000000,795000000,None,None,446000000,7388000000,None,4749000000,None,None,5195000000,2375000000,None,6585000000,-6719000000,9429000000,683000000,573000000
2012-12-31,USD,20390000000,9260000000,3270000000,3270000000,2803000000,2425000000,11130000000,6098000000,None,814000000,814000000,2502000000,None,None,0,762000000,None,13412000000,4759000000,766000000,None,None,350000000,8653000000,None,5580000000,None,None,5930000000,2162000000,3073000000,6938000000,-7592000000,10888000000,683000000,556000000
2013-12-31,USD,25224000000,10195000000,2733000000,2733000000,3499000000,2911000000,15029000000,7832000000,None,2294000000,2294000000,4205000000,None,None,0,1052000000,None,16738000000,5248000000,1103000000,None,None,1040000000,11490000000,None,8126000000,None,None,9166000000,1806000000,3351000000,8463000000,-7914000000,11852000000,683000000,549000000
2014-12-31,USD,26138000000,10162000000,2925000000,2925000000,1577000000,1884000000,15976000000,8698000000,None,1620000000,1620000000,2927000000,None,89000000,0,3776000000,None,17982000000,6037000000,677000000,None,None,1698000000,11945000000,None,7606000000,785000000,None,9029000000,3056000000,4113000000,8120000000,-7993000000,13227000000,683000000,547000000
2015-12-31,USD,20962000000,11796000000,2213000000,2213000000,1604000000,1731000000,9166000000,4386000000,None,1349000000,1349000000,2687000000,None,46000000,5148000000,1100000000,None,12097000000,5750000000,716000000,None,None,2585000000,6347000000,None,3922000000,810000000,None,6507000000,1830000000,2425000000,8846000000,-7646000000,9683000000,683000000,549000000
2016-12-31,USD,15546000000,6574000000,2801000000,2801000000,1430000000,1691000000,8972000000,4289000000,None,1111000000,1111000000,2595000000,None,7000000,0,652000000,None,7266000000,2744000000,791000000,None,None,3000000,4522000000,None,2779000000,3000000,None,2782000000,1681000000,1743000000,8290000000,-7995000000,14200000000,683000000,551000000
2017-12-31,USD,17111000000,7263000000,3394000000,3394000000,1475000000,1793000000,9848000000,4588000000,None,1374000000,1374000000,3099000000,None,47000000,0,601000000,None,7995000000,2821000000,920000000,None,None,3000000,5174000000,None,3509000000,3000000,None,3512000000,1670000000,1665000000,9124000000,-7981000000,14483000000,683000000,555000000
2018-12-31,USD,15720000000,5959000000,1838000000,1838000000,1667000000,1840000000,9761000000,4542000000,None,1410000000,1410000000,3002000000,None,44000000,None,614000000,None,7854000000,2814000000,998000000,None,None,4000000,5040000000,None,3473000000,4000000,None,3485000000,1578000000,1516000000,7844000000,-9989000000,15075000000,683000000,546000000
2019-12-31,USD,18193000000,7503000000,3335000000,3335000000,1653000000,1896000000,10690000000,4512000000,None,1471000000,1471000000,3030000000,None,76000000,None,619000000,None,10281000000,3230000000,892000000,None,None,642000000,7051000000,611000000,4809000000,541000000,None,5961000000,1498000000,7051000000,7882000000,-10764000000,15718000000,683000000,519000000
2020-12-31,USD,20019000000,8411000000,3730000000,3730000000,1916000000,2077000000,11608000000,4722000000,None,1671000000,1671000000,3217000000,None,135000000,None,688000000,None,11293000000,3333000000,1043000000,None,None,517000000,7960000000,612000000,5786000000,406000000,None,6804000000,1458000000,7960000000,8689000000,-11051000000,16328000000,683000000,517000000
2021-12-31,USD,33521000000,8872000000,2951000000,2951000000,2453000000,2713000000,24649000000,5808000000,None,7792000000,7792000000,9836000000,None,154000000,None,755000000,None,24400000000,4236000000,1246000000,None,None,639000000,20164000000,650000000,17081000000,511000000,None,18310000000,1925000000,20164000000,9077000000,-11488000000,17065000000,683000000,508000000
2022-12-31,USD,28287000000,8011000000,1718000000,1718000000,2679000000,2623000000,20276000000,5529000000,None,6793000000,6793000000,6452000000,None,247000000,None,991000000,None,22392000000,4745000000,1110000000,None,None,1524000000,17647000000,577000000,15232000000,1404000000,None,17203000000,1703000000,17647000000,5833000000,-11389000000,14050000000,683000000,504000000
