fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2005-12-31,USD,6230756000,3146465000,1168973000,1168973000,811404000,853934000,3084291000,1927472000,None,572413000,572413000,471121000,None,None,88375000,223779000,None,2825356000,1552236000,1146584000,None,None,405652000,1273120000,None,958885000,None,None,1364537000,None,None,3405400000,-2384559000,4969430000,332662000,256305882
2006-03-31,USD,6122778000,2806611000,776534000,776534000,842712000,864697000,3316167000,1955592000,None,553121000,553121000,551228000,None,None,89751000,232917000,None,2613903000,1287299000,981301000,None,None,305998000,1326604000,None,956539000,None,None,1262537000,981301000,None,3508875000,-2491046000,5071393000,332662000,256780000
2006-06-30,USD,6211193000,2824253000,720995000,720995000,876386000,889229000,3386940000,2015427000,None,543087000,543087000,561600000,None,None,96918000,240725000,None,2654720000,1366893000,1057926000,None,None,308967000,1287827000,None,953973000,None,None,1262940000,None,None,3556473000,-2691472000,5224571000,332662000,254781481
2006-09-30,USD,6824525000,3185253000,1000289000,1000289000,875738000,885748000,3639272000,2133548000,None,525667000,525667000,565146000,None,None,106386000,317092000,None,2988321000,1576329000,243602000,None,None,427218000,1411992000,None,956971000,None,None,1384189000,905509000,None,3836204000,-2698016000,5345697000,332662000,255141071
2006-12-31,USD,6810541000,2825122000,533425000,533425000,926598000,928725000,3985419000,2206130000,None,642640000,642640000,614590000,None,None,109928000,326446000,None,2879541000,1472270000,1266404000,None,None,205866000,1407271000,None,956114000,None,None,1161980000,1266404000,None,3931000000,-2803261000,5427451000,332662000,255141071
2007-03-31,USD,6951822000,2850600000,409655000,409655000,975582000,974074000,4101222000,2266227000,None,616596000,616596000,615898000,None,None,170357000,320932000,None,2822334000,1346874000,1138420000,None,None,208454000,1475460000,None,956135000,None,None,1164589000,1138420000,None,4129488000,-2898381000,5610948000,332662000,255297895
2007-06-30,USD,7122845000,2961234000,444164000,444164000,1023348000,1034047000,4161611000,2334848000,None,606852000,606852000,618761000,None,None,132314000,327361000,None,2894950000,1414780000,1209008000,None,None,205772000,1480170000,None,953112000,None,None,1158884000,None,None,4227895000,-3078117000,5795744000,332662000,255009375
2007-09-30,USD,7329365000,3130566000,511482000,511482000,1051959000,1083152000,4198799000,2497338000,None,613455000,613455000,621414000,None,None,158040000,325933000,None,2967408000,1478809000,266993000,None,None,207634000,1488599000,None,955713000,None,None,1163347000,1004182000,None,4361957000,-3105893000,5995787000,332662000,253783178
2007-12-31,USD,7566534000,3345067000,750762000,750762000,1079995000,1020751000,4221467000,2543999000,None,589030000,589030000,621587000,None,None,168875000,324684000,None,3042258000,1496806000,1288600000,None,None,208206000,1545452000,None,957627000,None,None,1165833000,1288600000,None,4524276000,-3237074000,6191051000,332662000,253783178
2008-03-31,USD,7801256000,3422601000,560999000,560999000,1146901000,1168119000,4378655000,2670435000,None,595031000,595031000,632940000,None,None,200356000,346226000,None,2942080000,1378907000,1170659000,None,None,208248000,1563173000,None,959949000,None,None,1168197000,1170659000,None,4859176000,-3368660000,6398401000,332662000,253380734
2008-06-30,USD,8129206000,3648472000,735908000,735908000,1144412000,1175256000,4480734000,2741225000,None,597121000,597121000,652054000,None,None,232494000,360402000,None,3055093000,1465949000,1261600000,None,None,204349000,1589144000,None,954855000,None,None,1159204000,None,None,5074113000,-3442510000,6625931000,332662000,251648000
2008-09-30,USD,7912943000,3614675000,830477000,830477000,1080426000,1079051000,4298268000,2744474000,None,571692000,571692000,625768000,None,None,199942000,424779000,None,2977375000,1416579000,260882000,None,None,201312000,1560796000,None,953226000,None,None,1154538000,954385000,None,4935568000,-3532398000,6838589000,332662000,247684127
2008-12-31,USD,7660693000,3465138000,597619000,597619000,1170100000,1072010000,4195555000,2694811000,None,554778000,554778000,608285000,None,None,179164000,446245000,None,2893722000,1638196000,1229296000,None,None,408900000,1255526000,None,747760000,None,None,1156660000,1229296000,None,4766971000,-3818333000,7068177000,332662000,248311000
