fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-03-31,USD,-42071000,None,None,None,None,12971000,11318000,None,-10780000,None,8237000,2696000,None,None,None,None,None,None,None,None,None,None,None,None,-328000000,None,None,31198000
2006-06-30,USD,53563000,None,None,None,None,13465000,13533000,None,-13136000,None,-79993000,3839000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,32266000
2006-09-30,USD,51874000,None,None,None,None,13864000,13228000,None,-1730000,None,-62287000,3027000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23150000
2006-12-31,USD,54863000,None,None,None,None,15100000,14908000,None,2846000,None,-73705000,600000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,16686000
2007-03-31,USD,-12641000,None,None,None,None,14375000,11311000,None,-5486000,None,11858000,7265000,None,None,None,None,None,None,None,None,None,None,None,None,-1778000,None,None,26997000
2007-06-30,USD,46072000,None,None,None,None,14465000,18034000,None,-3471000,None,-47840000,2090000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,25671000
2007-09-30,USD,54998000,None,None,None,None,14566000,18668000,None,-1862000,None,176040000,3235000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,27971000
2007-12-31,USD,103151000,None,None,None,None,23894000,14657000,None,15219000,None,-394487000,-20040000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12355000
2008-03-31,USD,-2177000,None,None,None,None,23740000,19720000,None,-16715000,None,-34964000,2789000,None,None,None,None,None,None,None,None,None,None,None,None,1586000,None,None,28559000
2008-06-30,USD,69088000,None,None,None,None,25583000,20539000,None,-22002000,None,-17189000,887000,None,None,None,None,None,None,None,None,None,None,None,None,1533000,None,None,45324000
2008-09-30,USD,46119000,None,None,None,None,24999000,25870000,None,-21753000,None,-29715000,733000,None,None,None,None,None,None,None,None,None,None,None,None,2157000,None,None,30889000
2008-12-31,USD,78341000,None,None,None,None,22778000,22680000,None,8570000,None,-64239000,1922000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-8216000
2009-03-31,USD,6371000,None,None,None,None,22327000,18667000,None,-4597000,None,-12716000,-2043000,None,None,None,None,None,None,None,None,None,None,None,None,2047000,None,None,32043000
2009-06-30,USD,105492000,None,None,None,None,25438000,20088000,None,5762000,None,-58054000,293148000,None,None,None,None,None,None,None,None,None,None,None,None,2070000,None,None,39300000
2009-09-30,USD,97489000,None,None,None,None,26238000,17606000,None,4012000,None,-82591000,1158000,None,None,None,None,None,None,None,None,None,None,None,None,2553000,None,None,39300000
2009-12-31,USD,115722000,None,None,None,None,-74003000,20000000,None,-5177000,None,-22591000,1670000,None,None,None,None,None,None,None,None,None,None,None,None,-670670000,None,None,-106758000
2010-03-31,USD,22269000,None,None,None,None,27548000,18090000,None,-7592000,None,-77014000,1033000,None,None,None,None,None,None,None,None,None,None,None,None,2286000,None,None,35392000
2010-06-30,USD,36386000,None,None,None,None,26085000,19815000,None,-5378000,None,-26135000,3158000,None,None,None,None,0,0,None,None,None,None,0,None,2538000,None,None,38521000
2010-09-30,USD,66866000,None,None,None,None,26331000,21076000,None,-8675000,None,-61261000,3032000,None,None,None,None,0,0,None,None,None,None,0,None,2533000,None,None,45085000
2010-12-31,USD,100388000,None,None,None,None,28936000,32872000,None,5745000,None,-52102000,221522000,None,None,None,None,0,0,None,None,None,None,0,None,2843000,None,None,67937000
2011-03-31,USD,19782000,None,None,None,None,28115000,17912000,1264000,-20685000,None,-77293000,-214743000,None,None,None,None,0,0,None,None,None,None,7638000,None,2783000,-278643000,-6389000,32938000
2011-06-30,USD,110299000,None,None,None,None,29628000,24788000,5141000,-9100000,None,-80783000,860000,None,None,None,None,0,0,None,None,None,None,2820000,None,2521000,42393000,12017000,40022000
