fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-12-31,USD,433187000,294744000,52147000,52147000,134504000,88632000,138443000,90349000,None,5579000,5579000,39777000,None,None,None,19461000,None,241482000,195128000,23102000,None,None,-22165000,46354000,None,22863000,None,None,44720000,100708000,None,191466000,None,17467000,1020000,102561000
2007-12-31,USD,553213000,395630000,72876000,72876000,171332000,122141000,157583000,103100000,None,4128000,4128000,40780000,None,None,None,36484000,None,294016000,252953000,32584000,None,None,13826000,41063000,None,6394000,None,None,38110000,164237000,None,258659000,None,48245000,1050000,164300000
2008-12-31,USD,1116300000,820700000,166200000,166200000,425100000,171900000,295600000,221300000,None,6000000,6000000,46400000,None,None,1500000,56000000,None,803600000,519700000,43300000,None,None,41000000,283900000,None,182800000,None,None,223800000,390700000,None,311900000,-100000,172600000,1600000,165600000
2009-12-31,USD,1172000000,873500000,207100000,207100000,422800000,184100000,298500000,223400000,None,4900000,4900000,47500000,None,None,2000000,59500000,None,753200000,539100000,49800000,None,None,22000000,214100000,None,115700000,None,None,137700000,249200000,None,418800000,-100000,253800000,1600000,164900000
2010-12-31,USD,1549800000,1051100000,230400000,230400000,511000000,232900000,498700000,233700000,None,136100000,136100000,98300000,None,None,2900000,76800000,None,1022400000,831500000,64000000,None,None,214400000,190900000,None,86600000,None,None,301000000,240600000,None,527400000,-200000,349200000,1600000,165700000
2011-12-31,USD,1710500000,1194100000,246000000,246000000,576200000,282800000,516400000,249000000,None,136400000,136400000,100200000,None,None,2200000,89100000,None,1085600000,755800000,72300000,None,None,83700000,329800000,None,219400000,None,None,303100000,192400000,53900000,624900000,-200000,441500000,1700000,166900000
2012-12-31,USD,1856400000,1309700000,310600000,310600000,611500000,289300000,546700000,283600000,None,117000000,117000000,115900000,None,None,3700000,98300000,None,1146800000,681900000,69600000,None,None,1300000,464900000,None,335900000,None,None,337200000,467500000,82000000,706600000,-200000,519000000,1700000,167400000
2013-12-31,USD,1988300000,1431900000,438700000,438700000,589800000,307600000,556400000,299500000,None,105600000,105600000,127400000,None,None,2700000,95800000,None,1138100000,648600000,74800000,None,None,700000,489500000,None,354300000,None,None,355000000,563600000,78900000,850200000,-600000,599100000,1700000,168500000
2014-12-31,USD,1864800000,1366300000,319500000,319500000,477400000,293200000,498500000,249900000,None,83800000,83800000,127800000,None,None,178000000,98200000,None,1093100000,582700000,76000000,None,None,800000,510400000,None,354200000,800000,None,355000000,469100000,101300000,771700000,-900000,655800000,1700000,169500000
2015-12-31,USD,1730900000,1231600000,267100000,267100000,422000000,234700000,499300000,231100000,None,268200000,268200000,130600000,None,None,201200000,106600000,None,998000000,554600000,72100000,None,None,700000,443400000,None,265200000,600000,None,266700000,303500000,123500000,732900000,-90900000,757400000,1700000,169100000
