fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2015-12-31,USD,25995000,25032000,24687000,24687000,None,334000,963000,None,None,None,None,None,None,None,None,11000,None,1738000,1036000,304000,None,None,None,702000,None,None,None,None,None,550000,None,24257000,None,-16482000,1000,10640000
2016-12-31,USD,16623000,5465000,5026000,5026000,798000,157000,11158000,4300000,None,None,None,None,None,None,535000,282000,None,3504000,2865000,357000,None,None,None,639000,None,521000,None,None,None,2407000,None,13119000,None,-28568000,1000,10640000
2017-12-31,USD,72167000,57457000,56664000,56664000,1256000,167000,14710000,4103000,None,None,None,None,None,None,402000,485000,None,14691000,4254000,1023000,None,None,1350000,10437000,None,190000,None,None,10148000,1877000,None,57476000,None,-54548000,3000,9261460
2018-12-31,USD,118791000,95522000,93794000,93794000,1315000,46000,23269000,None,None,None,None,None,None,None,None,1000000,None,25394000,7004000,818000,None,None,258000,18390000,None,None,None,None,18485000,5680000,None,93397000,None,-82445000,3000,12273360
2019-12-31,USD,88098000,63522000,58610000,58610000,2594000,1122000,24576000,23212000,None,None,None,None,None,None,0,1196000,None,25590000,7196000,1077000,None,None,356000,18394000,18600000,None,None,None,18600000,5763000,150000,62508000,None,-122057000,3000,13122260
2020-12-31,USD,63327000,39590000,17299000,17299000,1383000,4887000,23737000,22860000,None,None,None,None,None,None,11698000,4323000,None,26452000,6945000,929000,None,None,364000,19507000,18240000,1518000,None,None,19758000,5652000,113000,36875000,None,-166893000,4000,13552960
2021-12-31,USD,37194000,15181000,13823000,13823000,0,0,22013000,21731000,None,None,None,None,None,None,0,1358000,None,23062000,4854000,1260000,None,None,370000,18208000,17876000,None,None,None,17876000,3224000,702000,14132000,None,-196092000,4000,11569398.34
2022-12-31,USD,22421000,4132000,3427000,3427000,None,0,18289000,18131000,None,158000,158000,0,None,None,None,606000,None,15188000,1662000,340000,None,None,464000,13526000,13544000,None,None,None,13544000,751000,79000,7233000,None,-212151000,5000,11569398.34
2023-12-31,USD,544411000,35220000,32699000,32699000,None,530000,509191000,None,None,35411000,35411000,434898000,None,None,None,1991000,None,206117000,21323000,6127000,None,None,6947000,184794000,23252000,536000,833000,None,24621000,7039000,1868000,338294000,None,-479778000,8000,10314554
2024-12-31,USD,350069000,16946000,14433000,14433000,None,1041000,333123000,None,None,33578000,33578000,253466000,None,None,None,1472000,None,252238000,19878000,5964000,None,None,436000,232360000,35624000,226000,436000,None,36286000,8146000,1468000,97831000,None,-731166000,9000,23222256
2025-12-31,USD,305047000,12069000,9923000,9923000,None,703000,292978000,None,None,31679000,31679000,232516000,None,None,None,1443000,None,283218000,16858000,8070000,None,None,3166000,266360000,32514000,93000,435000,None,267964999,5086000,1561000,21829000,None,-858251000,79000,457573760
