fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2002-03-31,2002-04-25,0.03,0.03,0,0,pre-market
2002-06-30,2002-07-24,0.04,0.03,0.01,33.3333,pre-market
2002-09-30,2002-10-28,0.04,0.04,0,0,pre-market
2002-12-31,2003-02-10,0.05,0.05,0,0,pre-market
2003-03-31,2003-04-30,0.05,0.05,0,0,pre-market
2003-06-30,2003-07-28,0.05,0.05,0,0,pre-market
2003-09-30,2003-10-27,0.06,0.05,0.01,20,pre-market
2003-12-31,2004-02-09,0.06,0.05,0.01,20,pre-market
2004-03-31,2004-04-26,0.06,0.06,0,0,pre-market
2004-06-30,2004-07-26,0.06,0.06,0,0,pre-market
2004-09-30,2004-10-25,0.07,0.06,0.01,16.6667,pre-market
2004-12-31,2005-02-07,0.07,0.07,0,0,pre-market
2005-03-31,2005-04-25,0.08,0.08,0,0,pre-market
2005-06-30,2005-07-25,0.09,0.08,0.01,12.5,pre-market
2005-09-30,2005-10-25,0.08,0.08,0,0,pre-market
2005-12-31,2006-02-07,0.08,0.08,0,0,pre-market
2006-03-31,2006-04-25,0.05,0.05,0,0,pre-market
2006-06-30,2006-07-25,0.03,0.03,0,0,pre-market
2006-09-30,2006-10-24,0.08,0.07,0.01,14.2857,pre-market
2006-12-31,2007-02-06,0.1,0.1,0,0,pre-market
2007-03-31,2007-04-24,0.07,0.06,0.01,16.6667,pre-market
2007-06-30,2007-07-24,0.07,0.07,0,0,pre-market
2007-09-30,2007-10-23,0.09,0.09,0,0,pre-market
2007-12-31,2008-02-08,0.05,0.12,-0.07,-58.3333,pre-market
2008-03-31,2008-04-22,0.14,0.13,0.01,7.6923,pre-market
2008-06-30,2008-07-22,0.1,0.1,0,0,pre-market
2008-09-30,2008-10-28,0.12,0.11,0.01,9.0909,pre-market
2008-12-31,2009-02-10,0.13,0.13,0,0,pre-market
2009-03-31,2009-04-28,0.11,0.1,0.01,10,pre-market
2009-06-30,2009-07-28,0.12,0.11,0.01,9.0909,pre-market
2009-09-30,2009-10-27,0.13,0.13,0,0,pre-market
2009-12-31,2010-02-09,0.13,0.13,0,0,pre-market
2010-03-31,2010-04-27,0.1,0.09,0.01,11.1111,pre-market
2010-06-30,2010-07-27,0.11,0.1,0.01,10,pre-market
2010-09-30,2010-10-26,0.12,0.12,0,0,pre-market
2010-12-31,2011-02-08,0.13,0.12,0.01,8.3333,pre-market
2011-03-31,2011-04-26,0.12,0.1,0.02,20,pre-market
2011-06-30,2011-07-26,0.16,0.14,0.02,14.2857,pre-market
2011-09-30,2011-10-25,0.14,0.13,0.01,7.6923,pre-market
2011-12-31,2012-02-07,0.14,0.14,0,0,pre-market
2012-03-31,2012-04-24,0.11,0.12,-0.01,-8.3333,pre-market
2012-06-30,2012-07-24,-0.04,-0.03,-0.01,-33.3333,pre-market
2012-09-30,2012-10-23,0.12,0.12,0,0,pre-market
2012-12-31,2013-02-05,0.04,0.08,-0.04,-50,pre-market
2013-03-31,2013-04-23,0.11,0.09,0.02,22.2222,pre-market
2013-06-30,2013-07-23,0.18,0.16,0.02,12.5,pre-market
2013-09-30,2013-10-22,0.22,0.21,0.01,4.7619,pre-market
2013-12-31,2014-02-04,0.21,0.21,0,0,pre-market
2014-03-31,2014-04-22,0.14,0.11,0.03,27.2727,pre-market
2014-06-30,2014-07-22,0.2,0.18,0.02,11.1111,pre-market
2014-09-30,2014-10-28,0.25,0.24,0.01,4.1667,pre-market
2014-12-31,2015-02-03,0.44,0.42,0.02,4.7619,pre-market
2015-03-31,2015-04-28,0.26,0.24,0.02,8.3333,pre-market
2015-06-30,2015-07-28,0.37,0.35,0.02,5.7143,pre-market
2015-09-30,2015-10-27,0.42,0.39,0.03,7.6923,pre-market
2015-12-31,2016-02-09,0.48,0.43,0.05,11.6279,pre-market
2016-03-31,2016-04-26,0.37,0.37,0,0,pre-market
2016-06-30,2016-07-26,0.65,0.54,0.11,20.3704,pre-market
2016-09-30,2016-10-25,0.56,0.57,-0.01,-1.7544,pre-market
2016-12-31,2017-02-07,0.6,0.55,0.05,9.0909,pre-market
2017-03-31,2017-04-25,0.56,0.52,0.04,7.6923,pre-market
2017-06-30,2017-07-25,0.8,0.66,0.14,21.2121,pre-market
2017-09-30,2017-10-24,0.68,0.62,0.06,9.6774,pre-market
2017-12-31,2018-02-06,0.49,0.46,0.03,6.5217,pre-market
2018-03-31,2018-04-24,1.09,0.96,0.13,13.5417,pre-market
2018-06-30,2018-07-24,0.9,0.88,0.02,2.2727,pre-market
2018-09-30,2018-10-23,0.9,0.88,0.02,2.2727,pre-market
2018-12-31,2019-02-05,0.69,0.66,0.03,4.5455,pre-market
2019-03-31,2019-04-23,1.34,1.34,0,0,pre-market
2019-06-30,2019-07-23,1.34,1.24,0.1,8.0645,pre-market
2019-09-30,2019-10-22,0.96,0.95,0.01,1.0526,pre-market
2019-12-31,2020-02-04,0.73,0.73,0,0,pre-market
2020-03-31,2020-04-28,0.86,0.99,-0.13,-13.1313,pre-market
2020-06-30,2020-07-28,2.4,2.38,0.02,0.8403,pre-market
2020-09-30,2020-10-27,1.26,0.97,0.29,29.8969,pre-market
2020-12-31,2021-02-09,0.46,0.47,-0.01,-2.1277,pre-market
2021-03-31,2021-04-27,1.63,1.59,0.04,2.5157,pre-market
2021-06-30,2021-07-27,1.25,1.39,-0.14,-10.0719,pre-market
2021-09-30,2021-10-26,1.26,1.25,0.01,0.8,pre-market
2021-12-31,2022-02-08,1.01,0.99,0.02,2.0202,pre-market
2022-03-31,2022-04-26,1.83,1.68,0.15,8.9286,pre-market
2022-06-30,2022-07-26,1.77,1.59,0.18,11.3208,pre-market
2022-09-30,2022-10-25,1.3,1.24,0.06,4.8387,pre-market
2022-12-31,2023-02-07,0.86,0.85,0.01,1.1765,pre-market
2023-03-31,2023-04-25,2.11,2.09,0.02,0.9569,pre-market
2023-06-30,2023-07-28,2.1,2.03,0.07,3.4483,pre-market
2023-09-30,2023-10-24,2,1.57,0.43,27.3885,pre-market
2023-12-31,2024-02-06,0.45,0.44,0.01,2.2727,pre-market
