fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-01-31,USD,33054000,None,None,None,None,14176000,45960000,None,None,None,-100690000,61407000,None,None,None,None,1335000,1335000,None,None,None,None,None,None,None,None,None,17954000
2006-04-30,USD,45398000,None,None,None,None,15097000,39607000,None,None,None,-46112000,-7535000,None,None,None,None,1335000,1335000,None,None,None,None,None,None,None,None,None,13701000
2006-07-31,USD,40657000,None,None,None,None,15747000,43217000,None,None,None,-45033000,529000,None,None,None,None,1336000,1336000,None,None,None,None,None,None,None,None,None,20977000
2006-10-31,USD,43607000,None,None,None,None,16627000,26080000,None,None,None,-30982000,-17083000,None,None,None,None,2671000,2671000,None,None,None,None,None,None,None,None,None,13602000
2007-01-31,USD,761000,None,None,None,None,16066000,50043000,None,None,None,-83983000,98560000,None,None,None,None,1337000,1337000,None,None,None,None,None,None,None,None,None,5348000
2007-04-30,USD,47673000,None,None,None,None,16873000,40047000,None,None,None,-74900000,15323000,None,None,None,None,1337000,1337000,None,None,None,None,None,None,None,None,None,-527000
2007-07-31,USD,47428000,None,None,None,None,22712000,38598000,None,None,None,-47441000,-3958000,None,None,None,None,1344000,1344000,None,None,None,None,None,None,None,None,None,8180000
2007-10-31,USD,38122000,None,None,None,None,28860000,54937000,None,None,None,-58270000,15223000,None,None,None,None,2681000,2681000,None,None,None,None,None,None,None,None,None,-24193000
2008-01-31,USD,-5592000,None,None,None,None,20112000,42728000,None,None,None,-44442000,49417000,None,None,None,None,1349000,1349000,None,None,None,None,None,None,None,None,None,6877000
2008-04-30,USD,17084000,None,None,None,None,21016000,34146000,None,None,None,-35494000,17704000,None,None,None,None,1349000,1349000,None,None,None,None,None,None,None,None,None,11241000
2008-07-31,USD,44029000,None,None,None,None,21263000,25408000,None,None,None,-26057000,-16493000,None,None,None,None,1350000,1350000,None,None,None,None,None,None,None,None,None,17879000
2008-10-31,USD,41007000,None,None,None,None,19794000,22603000,None,None,None,-22764000,-19424000,None,None,None,None,2699000,2699000,None,None,None,None,None,None,None,None,None,29479000
2009-01-31,USD,24904000,None,None,None,None,25000000,34095000,None,None,None,-35349000,10538000,None,None,None,None,None,None,None,None,None,None,None,None,136000,None,None,23873000
2009-04-30,USD,43835000,None,None,None,None,21006000,19966000,None,None,None,-22417000,-18947000,None,None,None,None,1355000,1355000,None,None,None,None,None,None,None,None,None,24649000
2009-07-31,USD,75913000,None,None,None,None,21987000,19881000,None,None,None,-20232000,-56621000,None,None,None,None,1355000,1355000,None,None,None,None,-1000,None,None,None,None,21908000
2009-10-31,USD,78476000,None,None,None,None,24609000,19964000,None,22601000,None,-20639000,-57709000,None,None,None,None,1357000,1357000,None,None,None,None,None,None,None,None,None,30118000
2010-01-31,USD,56142000,None,None,None,None,22905000,12911000,None,None,None,-21418000,-36830000,None,None,None,None,None,None,None,None,None,None,None,None,407000,None,None,20423000
2010-04-30,USD,71618000,None,None,None,None,23992000,11208000,None,None,None,-33672000,-29944000,None,None,None,None,1362000,1362000,None,None,None,None,None,None,None,None,None,4455000
2010-07-31,USD,75293000,None,None,None,None,23888000,16869000,None,0,None,-18340000,-63545000,None,None,None,None,1362000,1362000,None,None,None,None,0,None,None,None,None,39727000
2010-10-31,USD,64610000,None,None,None,None,23216000,32769000,None,34978000,None,-33174000,-31248000,None,None,None,None,1370000,1370000,None,None,None,None,206715000,None,None,None,None,48198000
2011-01-31,USD,72931000,None,None,None,None,22894000,28785000,None,0,None,-61234000,-11945000,None,None,None,None,0,0,None,None,None,None,6188000,None,None,-253000,-5000,45295000
2011-04-30,USD,64891000,None,None,None,None,23511000,23231000,None,200,None,-27381000,-32801000,None,None,None,None,1385000,1385000,None,None,None,None,29977000,None,3800,5110000,401000,35360000
2011-07-31,USD,87469000,None,None,None,None,25405000,19140000,None,0,None,-23507000,-64447000,None,None,None,None,1385000,1385000,None,None,None,None,40709000,None,None,-558000,-73000,38137000
2011-10-31,USD,110990000,None,None,None,None,26339000,32509000,-2684000,-17205000,None,-49553000,-63680000,None,None,None,None,1431000,1431000,None,None,None,None,260837000,None,None,-2697000,-454000,56638000
2012-01-31,USD,41550000,None,None,None,None,25816000,19953000,None,0,None,-18785000,-20197000,None,None,None,None,0,0,None,None,None,None,-46143000,None,None,2506000,-62000,54623000
2012-04-30,USD,80641000,None,None,None,None,26754000,23104000,None,0,None,-20179000,-60372000,None,None,None,None,1421000,1421000,None,None,None,None,26470000,None,None,64000,-26000,281000
