fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2005-12-31,USD,230507000,None,None,None,None,23694000,27913000,None,-930037000,None,-79021000,38919000,None,None,None,None,5210000,5210000,None,None,None,None,-88922000,None,1418000,None,None,97267000
2006-03-31,USD,472131000,None,None,None,None,23229000,32236000,None,624870000,None,-616446000,39082000,None,None,None,None,5254000,5254000,None,None,None,None,-44341000,None,None,None,None,129001000
2006-06-30,USD,182037000,None,None,None,None,24956000,29025000,None,-117770000,None,788229000,-363651000,None,None,None,None,5106000,5106000,None,None,None,None,-373738000,None,None,None,None,119468000
2006-09-30,USD,-77410000,None,None,None,None,25054000,23958000,None,73394000,None,-135464000,-184198000,None,None,None,None,5025000,5025000,None,None,None,None,-212245000,None,4567000,None,None,121978000
2006-12-31,USD,287871000,None,None,None,None,26775000,28135000,None,-205735000,None,-547511000,-203239000,None,None,None,None,9659000,9659000,None,None,None,None,-325632000,None,-212000,None,None,122187000
2007-03-31,USD,422936000,None,None,None,None,24991000,29262000,None,30198000,None,-413047000,-29896000,None,None,None,None,9534000,9534000,None,None,None,None,-71482000,None,-2520000,None,None,129496000
2007-06-30,USD,369520000,None,None,None,None,27359000,26303000,None,475457000,None,-167682000,-493211000,None,None,None,None,9322000,9322000,None,None,None,None,-492197000,None,3946000,None,None,129908000
2007-09-30,USD,127577000,None,None,None,None,25219000,34351000,None,-14177000,None,453803000,-428185000,None,None,None,None,8734000,8734000,None,None,None,None,-546696000,None,25610000,None,None,87576000
2007-12-31,USD,-101030000,None,None,None,None,25557000,26931000,None,-609876000,None,278002000,-293037000,None,None,None,None,12498000,12498000,None,None,None,None,-311442000,None,7417000,None,None,109820000
2008-03-31,USD,193313000,None,None,None,None,26348000,28174000,None,294082000,None,-27667000,-98425000,None,None,None,None,12161000,12161000,None,None,None,None,-84201000,None,-771000,None,None,133852000
