fiscalDateEnding,reportedEPS
1996-12-31,0.3
1997-12-31,0.51
1998-12-31,0.64
1999-12-31,0.79
2000-12-31,0.91
2001-12-31,0.78
2002-12-31,0.89
2003-12-31,1.04
2004-12-31,1.08
2005-12-31,1.39
2006-12-31,1.57
2007-12-31,1.9
2008-12-31,2.45
2009-12-31,2.64
2010-12-31,2.7
2011-12-31,2.81
2012-12-31,3.45
2013-12-31,3.97
2014-12-31,4.51
2015-12-31,5.17
2016-12-31,5.8
2017-12-31,5.92
2018-12-31,7.04
2019-12-31,7.08
2020-12-31,7.51
2021-12-31,8.41
2022-12-31,8.7
2023-12-31,8.74
2024-12-31,5.42
2025-12-31,6.75
2026-03-31,0
