fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2005-12-31,USD,6279762000,1654408000,431811000,431811000,69130000,970180000,4625354000,750078000,None,3830327000,3830327000,3594383000,None,None,None,38463000,None,5340514000,989733000,212049000,None,None,71767000,4350781000,None,4085435000,None,None,4157202000,561093000,None,939248000,-574013000,839930000,135000,205162910
2006-03-31,USD,6189454000,1537439000,279146000,279146000,88255000,995112000,4652015000,759853000,None,230981000,230981000,3605401000,None,None,None,22622000,None,5133320000,829125000,178298000,None,None,5237000,4304195000,None,4039333000,None,None,4044570000,409324000,None,1056134000,-550291000,897399000,135000,210776838
2006-06-30,USD,6341411000,1629623000,339319000,339319000,93362000,994896000,4711788000,787378000,None,224769000,224769000,3640143000,None,None,None,24620000,None,5190575000,981047000,190096000,None,None,5008000,4209528000,None,3939047000,None,None,3944055000,494803000,None,1150836000,-545313000,960636000,135000,211290416
2006-09-30,USD,6344130000,1612758000,260278000,260278000,99336000,1032540000,4731372000,813055000,None,214494000,214494000,3657355000,None,None,None,22232000,None,5085596000,1010357000,227650000,None,None,6640000,4075239000,None,3818111000,None,None,3824751000,474056000,None,1258534000,-538845000,1055492000,135000,211847952
2006-12-31,USD,6491816000,1709496000,310202000,310202000,89119000,1081227000,4782320000,849966000,None,203721000,203721000,3667853000,None,None,4734000,29858000,None,5123533000,1112172000,251686000,None,None,20871000,4011361000,None,3730380000,None,None,3751251000,640525000,None,1368283000,-526920000,1129621000,135000,210026280
2007-03-31,USD,6537997000,1748032000,356384000,356384000,69452000,1052690000,4789965000,854797000,None,194741000,194741000,3663091000,None,None,5815000,28500000,None,5056358000,1043046000,205299000,None,None,34133000,4013312000,None,3721373000,None,None,3755506000,500925000,None,1481639000,-517093000,1210094000,135000,213478432
2007-06-30,USD,6671382000,1887480000,396902000,396902000,69860000,1132111000,4783902000,866370000,None,186968000,186968000,3666914000,None,None,21947000,33326000,None,5037025000,1073469000,220540000,None,None,9564000,3963556000,None,3698403000,None,None,3707967000,506426000,None,1634357000,-509313000,1335118000,135000,214022496
2007-09-30,USD,6781435000,1920520000,391300000,391300000,75611000,1162567000,4860915000,894164000,None,185761000,185761000,3728822000,None,None,22177000,27653000,None,5006151000,1041580000,245976000,None,None,9711000,3964571000,None,3695586000,None,None,3705297000,463604000,None,1775284000,-496042000,1429573000,135000,215122278
2007-12-31,USD,6943960000,1976250000,447046000,447046000,80173000,1126693000,4967710000,939326000,None,183042000,183042000,3767933000,None,None,40278000,34482000,None,5061193000,1086496000,225461000,None,None,23431000,3974697000,None,3683887000,None,None,3707318000,590026000,None,1882767000,-487744000,1515290000,135000,214734712
2008-03-31,USD,6990432000,2018477000,479316000,479316000,76807000,1145075000,4971955000,954858000,None,175161000,175161000,3774906000,None,None,45859000,29604000,None,5042830000,1070734000,211600000,None,None,35626000,3972096000,None,3669809000,None,None,3705435000,534949000,None,1947602000,-513958000,1602224000,135000,216478720
