fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2012-06-30,USD,None,None,None,None,-4895,None,None,4858,None,None,None,37,None,None,None,None,-4895,None,None,None,None,None,-4858,-4895
2012-09-30,USD,None,None,None,None,-1252,1175,None,1200,None,None,None,52,None,None,None,52,-1252,None,None,None,None,-1252,-1200,-1252
2012-12-31,USD,300669,871817,571148,571148,-1777,1500,2953281,1550,None,None,None,227,None,None,None,227,-1777,-424741,None,None,None,-2004,-1777,-1777
2013-03-31,USD,0,696000,468000,468000,-3833,3420,922000,3833,None,None,None,639000,None,None,None,None,-4368,0,None,0,None,-4368,-3833,-4368
2013-06-30,USD,303004,983992,680988,680988,-23194,23126,789966,23163,None,None,None,31,None,None,None,31,-23194,-688856,None,0,None,-23225,-23194,-23194
2013-09-30,USD,300721,833764,533043,533043,-1493,1433,453168,1433,None,None,None,60,None,None,None,60,-1493,-221946,None,0,None,-1553,-1493,-1493
2013-12-31,USD,-133197,787995,921192,921192,-6075,1845,1766160,6015,None,None,None,60,None,None,None,60,-6075,60,None,-6075,None,-6135,-6075,-6075
2014-03-31,USD,479483,1061711,582228,582228,-3891884,2071443,768542,4371367,None,None,None,426603,None,-77873475,None,156890,-81765359,415031,None,-81765359,None,-81338756,-81181866,-81765359
2014-06-30,USD,45585,1197053,1151468,1151468,-4310918,1808613,698884,4356503,None,None,None,3777,None,None,None,176463,56126982,-13722,None,0,None,-4326941,-4150478,56126982
2014-09-30,USD,479789,1588183,1108394,1108394,-3731822,1473951,1096380,4211611,None,None,None,2399,None,15756183,None,202047,12024361,-215187,None,12024361,None,-3948387,-3746340,12024361
2014-12-31,USD,554000,1480000,926000,926000,-4859000,2046000,1304000,5413000,None,None,None,2000,None,None,None,209600,-20155000,-224600,None,-33769000,None,-5604376,-5394776,-20155000
2015-03-31,USD,403000,1689000,1286000,1286000,-4093000,1662000,983000,4496000,None,None,None,3000,None,None,None,200000,-4115000,-20000,None,0,None,-4093000,-3893000,-4115000
2015-06-30,USD,502000,2114000,1612000,1612000,-5635000,1872000,1742000,6137000,None,None,None,3000,None,None,None,219000,-5645000,-7000,None,0,None,-5635000,-5416000,-5645000
2015-09-30,USD,468000,2915000,2447000,2447000,-5181000,1556000,1713000,5649000,None,None,None,4000,None,-4000,None,234000,-5185000,-232000,None,-5185000,None,-5181000,-4947000,-5185000
2015-12-31,USD,-194000,1943000,2137000,2137000,-6652000,1912000,2042000,6458000,None,None,None,3000,None,None,None,280000,-4645000,-287000,None,-19590000,None,-4642000,-4362000,-4645000
2016-03-31,USD,1498000,8486000,6988000,6988000,-6642000,3488000,2149000,8140000,None,None,None,6000,None,2991000,None,440000,-3651000,-2991000,None,-3651000,None,-6642000,-6202000,-3651000
2016-06-30,USD,203000,1552000,1349000,1349000,-7396000,2465000,2221000,7599000,None,None,None,34000,None,1631000,None,468000,-5765000,-434000,None,-5765000,None,-5731000,-5263000,-5765000
2016-09-30,USD,403000,1596000,1193000,1193000,-6866000,2318000,2216000,7269000,None,None,None,8000,None,-1612000,None,473000,-8478000,1612000,None,-8478000,None,-6866000,-6393000,-8478000
2016-12-31,USD,843000,2587000,1744000,1744000,-6682000,2582000,2293000,7721000,None,None,None,150000,None,None,None,474000,-5576000,-1776000,None,-23470000,None,-5426000,-4952000,-5576000
2017-03-31,USD,352000,1436000,1084000,1084000,-8141000,2553000,2873000,8493000,None,None,None,119000,None,-161000,None,475000,-8302000,92000,None,-8302000,None,-8210000,-7735000,-8302000
2017-06-30,USD,396000,1867000,1471000,1471000,-8459000,2475000,2632000,8377000,None,None,None,198000,None,2952000,None,406000,-5507000,154000,None,-5507000,None,-5353000,-4947000,-5507000
