fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-12-31,USD,653700000,1037000000,383300000,383300000,163500000,376000000,114200000,490200000,None,None,None,10500000,None,None,None,56800000,172300000,41800000,None,None,None,182800000,239600000,130500000
2007-12-31,USD,709800000,1091100000,381300000,381300000,169500000,418000000,122300000,540300000,None,None,None,9100000,None,None,None,54800000,149800000,36800000,None,None,None,158900000,213700000,113000000
2008-12-31,USD,828800000,1237700000,408900000,408900000,209000000,480600000,139200000,619800000,None,None,None,7200000,None,None,None,55600000,164400000,35500000,None,None,None,171600000,227200000,128900000
2009-12-31,USD,922300000,1321400000,399100000,399100000,238000000,508800000,175500000,684300000,None,None,None,1100000,None,None,None,58700000,304400000,75300000,None,None,None,238000000,296700000,229100000
2010-12-31,USD,1036900000,1447000000,410100000,410100000,282500000,550000000,204400000,754400000,None,None,None,2400000,None,9000000,None,56500000,268200000,50200000,None,218000000,None,270600000,327100000,218000000
2011-12-31,USD,1217800000,1678600000,460800000,460800000,329100000,642400000,246300000,888700000,None,None,None,3100000,None,8200000,None,58000000,283600000,46900000,None,236700000,None,286700000,344700000,236700000
2012-12-31,USD,1392800000,1899600000,506800000,506800000,396700000,705300000,291300000,996100000,None,None,None,4400000,None,3100000,None,57300000,391100000,97900000,None,293200000,None,395500000,452800000,293200000
2013-12-31,USD,1501600000,2045500000,543900000,543900000,433000000,745600000,323000000,1068599999,None,None,None,5800000,None,3300000,None,68700000,515299999,123600000,None,391700000,None,521100000,589800000,391700000
2014-12-31,USD,1691700000,2322900000,631200000,631200000,487200000,858000000,346500000,1204500000,None,None,None,21600000,None,-1300000,None,68600000,1144000000,332900000,None,811100000,None,1165600000,1234200000,811100000
2015-12-31,USD,1809400000,2493700000,684300000,684300000,575900000,850700000,383100000,1233500000,None,None,None,18400000,None,3900000,None,65800000,622400000,127500000,None,494900000,None,640800000,706600000,494900000
2016-12-31,USD,2157900000,2963700000,805800000,805800000,815500000,904700000,442200000,1342400000,None,-8400000,10800000,18000000,None,5900000,None,71200000,737900000,168400000,None,569500000,None,755900000,827100000,569500000
2017-12-31,USD,2552400000,3435300000,882900000,882900000,1010100000,984700000,552600000,1542300000,None,-2900000,20300000,23200000,None,12100000,None,81900000,1034900000,451300000,None,583600000,None,1058100000,1140000000,622100000
2018-12-31,USD,2800700000,3722800000,922100000,922100000,1092300000,1088500000,622200000,1708400000,None,2100000,32000000,33400000,None,36000000,None,77400000,761400000,39200000,None,722200000,None,794800000,872200000,722200000
2019-12-31,USD,3192700000,4348000000,1155300000,1155300000,1197900000,1242200000,752700000,1994800000,None,11500000,32200000,27300000,None,40400000,None,114600000,1166500000,119600000,None,1046900000,None,1193800000,1308400000,1046900000
2020-12-31,USD,3287300000,4386300000,1099000000,1099000000,1296000000,1228400000,760700000,1991300000,None,7600000,7600000,22200000,None,34900000,None,135400000,916700000,93300000,None,823400000,None,938900000,1074300000,823400000
2021-12-31,USD,4006600000,5232500000,1225900000,1225900000,1610400000,1494000000,903100000,2396200000,None,-1000000,1000000,24800000,None,30100000,None,163300000,1702000000,198900000,None,1503100000,None,1726800000,1890100000,1503100000
2022-12-31,USD,4215200000,5382400000,1167200000,1167200000,1702400000,1566500000,945200000,2512800000,None,16300000,16300000,26200000,None,38100000,None,166800000,1767400000,245500000,None,1521900000,None,1793600000,1960400000,1521900000
2023-12-31,USD,4625000000,6004800000,1379800000,1379800000,1534100000,1755600000,1071800000,2896400000,None,40700000,67200000,17600000,None,None,None,144900000,1598100000,198700000,None,1428100000,None,1534100000,1534100000,1402400000
2024-12-31,USD,4322000000,5439500000,1117500000,1117500000,1378700000,1789200000,1053000000,2943300000,None,100500000,120300000,19800000,None,None,None,155200000,1548100000,152100000,None,1396000000,None,1567900000,1723100000,4174600000
2025-12-31,USD,4740700000,6067600000,1326900000,1326900000,1636200000,2085200000,1079200000,3104500000,None,148400000,148400000,20400000,None,None,None,156600000,1272900000,216900000,None,1056000000,None,1272900000,1429500000,1073500000
