fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2005-12-31,USD,6869614000,4206186000,732016000,732016000,None,738652000,1748987000,484412000,None,1368590000,1368590000,1264575000,None,None,2354904000,253400000,None,4395509000,3219590000,-120489000,None,None,581259000,514000000,None,513790000,None,None,1095049000,2470232000,None,2474105000,-203364000,1538306000,29843000,163474993
2006-03-31,USD,8698020000,6019326000,1843405000,1843405000,None,784713000,1763443000,498267000,None,1363536000,1363536000,1265176000,None,None,2623009000,768199000,None,6130261000,4787538000,-920678000,None,None,575818000,601000000,None,601225000,None,None,1177043000,4211720000,None,2567759000,-203469000,1505390000,30085000,167429998
2006-06-30,USD,9836600000,7059026000,2258464000,2258464000,None,782452000,1813371000,505721000,None,1307650000,1307650000,1307650000,None,None,2998440000,1019670000,None,7177805000,5543454000,-1170278000,None,None,571765000,784000000,None,784399000,None,None,1356164000,4971689000,None,2658795000,-208301000,1594879000,30170000,168847168
2006-09-30,USD,9957165000,7153005000,1181234000,1181234000,None,745004000,1826161000,518930000,None,1307231000,1307231000,1307231000,None,None,3242711000,1984056000,None,7064702000,5436823000,-146320000,None,None,281244000,970000000,None,970144000,None,None,1251388000,5155579000,None,2892463000,-218934000,1754077000,30391000,167576840
2006-12-31,USD,10098486000,7332973000,1740304000,1740304000,None,680941000,1717976000,545004000,None,1406287000,1406287000,1310631000,None,None,3192273000,-2962857000,None,7044600000,5191812000,-155298000,None,None,293605000,1269000000,None,1269100000,None,None,1562705000,2349954000,None,3053886000,-229575000,1909098000,30491000,168668191
2007-03-31,USD,12706125000,9870592000,3694059000,3694059000,None,837120000,1902823000,571405000,None,1427902000,1427902000,1331418000,None,None,3154920000,2184493000,None,9546598000,7527771000,-1330325000,None,None,284572000,1329000000,None,1329334000,None,None,1613906000,7243199000,None,3159527000,-236762000,1980339000,30746000,169621427
2007-06-30,USD,13334965000,10405926000,3720769000,3720769000,None,697553000,1899997000,569412000,None,1422992000,1422992000,1330585000,None,None,3323536000,2664068000,None,9959467000,8029337000,-1355017000,None,None,289646000,1190000000,None,1189570000,None,None,1479216000,7739691000,None,3375498000,-236778000,2197185000,30833000,169595998
2007-09-30,USD,12072506000,9201824000,2585670000,2585670000,None,697798000,1901383000,570798000,None,1418513000,1418513000,1330585000,None,None,3475300000,2443056000,None,8333629000,6395858000,-177080000,None,None,253356000,1293000000,None,1292858000,None,None,1546214000,6142502000,None,3738877000,-243592000,2499563000,30995000,169875279
2007-12-31,USD,12879074000,8732846000,2040453000,2040453000,None,605541000,2301180000,637241000,None,1900712000,1900712000,1663939000,None,None,3635317000,-3306497000,None,8850137000,5791851000,1268963000,None,None,269226000,1688000000,None,1687823000,None,None,1957049000,1378424000,None,4028937000,-256987000,2742782000,31123000,170258445
2008-03-31,USD,12762028000,8610275000,1688287000,1688287000,None,759323000,2320539000,636935000,None,1883340000,1883340000,1683604000,None,None,3954830000,2207835000,None,8709554000,5734439000,-227492000,None,None,291246000,1601000000,None,1601335000,None,None,1892581000,5443193000,None,4052474000,-336934000,2822952000,31165000,170601998
2008-06-30,USD,12939983000,8460543000,1174642000,1174642000,None,999718000,2472891000,655431000,None,2087289000,2087289000,1817460000,None,None,4195562000,2090621000,None,8736255000,5765676000,1350924000,None,None,297965000,1635000000,None,1635098000,None,None,1933063000,4116787000,None,4203728000,-351648000,3032848000,31275000,168996998
2008-09-30,USD,12563870000,8199987000,1542900000,1542900000,None,709653000,2501162000,677882000,None,2087834000,2087834000,1823280000,None,None,3982564000,1964870000,None,8293338000,5322938000,1240631000,None,None,257680000,1668000000,None,1668233000,None,None,1925913000,3824627000,None,4270532000,-362754000,3215856000,31289000,168577998
2008-12-31,USD,13041760000,8396042000,1970423000,1970423000,None,789682000,2674603000,711492000,None,2264399000,2264399000,1963111000,None,None,4203538000,-3849748000,None,8584570000,5183945000,1077027000,None,None,224542000,1937000000,None,1937032000,None,None,2161574000,2142108000,None,4457190000,-363057000,3389936000,31309000,167702850
2009-03-31,USD,13606610000,8882756000,1911202000,1911202000,None,1037873000,2692596000,701376000,None,2262611000,2262611000,1991220000,None,None,4439005000,1494676000,None,8936297000,5489729000,1384290000,None,None,258062000,1935000000,None,1934856000,None,None,2192918000,3847377000,None,4670313000,-369056000,3595653000,31472000,168657998
2009-06-30,USD,13684389000,8772364000,1585109000,1585109000,0,1276914000,2684338000,691414000,None,2254513000,2254513000,1992924000,None,1240197000,4583423000,1326918000,None,8626111000,5466602000,1351689000,None,None,153853000,1683000000,None,1682654000,None,None,1836507000,3961060000,1476855000,5058278000,-369056000,3877433000,31478000,168668998
2009-09-30,USD,14201787000,9240828000,1452006000,1452006000,0,776528000,2671934000,679010000,None,2245322000,2245322000,1992924000,None,1319319000,5899385000,1112909000,None,8653584000,5507238000,1532810000,None,None,199384000,1680000000,None,1680424000,None,None,1879808000,3775044000,1465922000,5548203000,-371327000,4178952000,31517000,169245998
2009-12-31,USD,14153494000,9252816000,1613588000,1613588000,0,823620000,2672066000,679142000,None,2236392000,2236392000,1992924000,None,1307088000,6190062000,-5823582000,None,8377491000,5259992000,1307710000,None,None,374464000,1678000000,None,1678166000,None,None,2052630000,1769217000,1439333000,5776003000,-385898000,4429611000,31634000,169709998
2010-03-31,USD,15209136000,10259986000,1813993000,1813993000,0,1104598000,4949150000,665909000,None,2226825000,2226825000,1992924000,None,1333659000,6764833000,576562000,None,9123899000,5905861000,1658985000,None,None,236038000,1676000000,None,1675880000,None,None,1911918000,4010838000,1542158000,6085237000,-393568000,4688379000,31664000,170079998
2010-06-30,USD,15690570000,10787089000,1998982000,1998982000,0,1325102000,4903481000,660223000,None,2219930000,2219930000,1994593000,None,1405734000,6882063000,580942000,None,9211745000,5996989000,1666386000,None,None,239916000,1674000000,None,1673565000,None,None,1913481000,4090687000,1541191000,6478825000,-443767000,5028455000,31674000,170228998
