fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2005-12-31,USD,-246497000,None,None,None,None,33727000,53528000,None,None,None,-159650000,159227000,None,None,None,None,527540000,527540000,None,None,None,None,-293000,None,11319000,None,None,64607000
2006-03-31,USD,1007973000,None,None,None,None,34906000,45261000,None,1128687000,None,-439668000,543084000,None,None,None,None,302712000,302712000,None,None,None,None,-105000,None,-56914000,None,None,83715000
2006-06-30,USD,534855000,None,None,None,None,36596000,36712000,None,572688000,None,-394785000,274989000,None,None,None,None,789072000,789072000,None,None,None,None,-4832000,None,-1150000,None,None,89489000
2006-09-30,USD,-391017000,None,None,None,None,37677000,54629000,None,-587936000,None,-996593000,310380000,None,None,None,None,379170000,379170000,None,None,None,None,-10633000,None,-2371000,None,None,159198000
2006-12-31,USD,534901000,None,None,None,None,39419000,56549000,None,None,None,176980000,-152811000,None,None,None,None,1375519000,1375519000,None,None,None,None,-10641000,None,32558000,None,None,155021000
2007-03-31,USD,1574481000,None,None,None,None,40064000,70744000,None,241774000,None,-440315000,819589000,None,None,None,None,981205000,981205000,None,None,None,None,-7187000,None,9802000,None,None,71241000
2007-06-30,USD,477266000,None,None,None,None,54264000,43973000,None,207499000,None,-592146000,141590000,None,None,None,None,1252911000,1252911000,None,None,None,None,-16000,None,1587000,None,None,216846000
2007-09-30,USD,-637653000,None,None,None,None,42250000,41339000,None,-73062000,None,376382000,-873828000,None,None,None,None,846517000,846517000,None,None,None,None,-6814000,None,10604000,None,None,302378000
2007-12-31,USD,-189832000,None,None,None,None,48234000,83188000,None,-70069000,None,-1189312000,833927000,None,None,None,None,1006460000,1006460000,None,None,None,None,-13395000,None,42132000,None,None,243219000
2008-03-31,USD,4439000,None,None,None,None,50958000,47087000,None,34756000,None,81376000,-437981000,None,None,None,None,522020000,522020000,None,None,None,None,-79947000,None,13916000,None,None,80170000
2008-06-30,USD,104023000,None,None,None,None,53458000,64960000,None,None,None,-523186000,-94482000,None,None,None,None,None,None,None,None,None,None,-14714000,None,13249000,None,None,209896000
2008-09-30,USD,577275000,None,None,None,None,56126000,67500000,None,None,None,249498000,-458515000,None,None,None,None,None,None,None,None,None,None,-11106000,None,14670000,None,None,183008000
2008-12-31,USD,296573000,None,None,None,None,59808000,82025000,None,11464000,None,-306012000,436962000,None,None,None,None,758582000,758582000,None,None,None,None,-303000,None,13534000,None,None,174080000
2009-03-31,USD,45520000,None,None,None,None,58014000,39047000,None,None,None,-256798000,152057000,None,None,None,None,None,None,None,None,None,None,-5999000,None,15676000,None,None,205717000
2009-06-30,USD,161860000,None,None,None,None,60478000,43555000,None,0,None,-188279000,-299674000,None,None,None,None,0,0,None,None,None,None,0,None,17346000,None,None,281780000
2009-09-30,USD,940111000,None,None,None,None,62088000,39533000,None,0,None,-1025121000,-48093000,None,None,None,None,0,0,None,None,None,None,-2271000,None,15796000,None,None,301519000
2009-12-31,USD,274091000,None,None,None,None,69694000,63315000,None,0,None,-389063000,276554000,None,None,None,None,0,0,None,None,None,None,-14571000,None,17052000,None,None,250659000
