fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-12-31,USD,3975900000,None,None,None,None,801800000,1077800000,None,-60200000,None,608400000,-4578800000,None,None,None,None,1736300000,1736300000,None,None,None,None,-122100000,None,359300000,None,None,2662700000
2007-12-31,USD,5154500000,None,None,None,None,1047900000,1082400000,None,154300000,None,-4328100000,-844900000,None,None,None,None,1853600000,1853600000,None,None,None,None,None,None,282000000,None,None,2953000000
2008-12-31,USD,7295600000,None,None,None,None,1122600000,947200000,None,84800000,None,-7268800000,2346000000,None,None,None,None,2056699999,2056699999,None,None,None,None,None,None,255300000,None,None,-2071900000
2009-12-31,USD,4335500000,None,None,None,None,1297800000,855000000,None,-179000000,None,142800000,-5533700000,None,None,None,None,2152100000,2152100000,None,None,None,None,0,None,368500000,None,None,4328800000
2010-12-31,USD,6856800000,None,None,None,None,1328200000,1186700000,-319100000,157000000,None,-3159800000,-2021900000,None,None,None,None,2165300000,2165300000,None,None,None,None,0,None,231000000,1530300000,-144800000,5069500000
2011-12-31,USD,7234500000,None,None,None,None,1373600000,1692900000,None,203100000,None,-4824400000,-2369900000,None,None,None,None,2180100000,2180100000,None,None,None,None,0,None,147400000,None,None,4347700000
2012-12-31,USD,5304800000,None,None,None,None,1462200000,1044200000,361800000,-307900000,None,-2832800000,-4419600000,None,None,None,None,2187400000,2187400000,None,None,None,None,-721100000,None,141500000,-1903700000,43900000,4088600000
2013-12-31,USD,5735000000,None,None,None,None,1445600000,1093300000,None,-286500000,None,-2072800000,-3829300000,None,None,None,None,2120700000,2120700000,None,None,None,None,-1698100000,None,144900000,None,None,4684800000
2014-12-31,USD,4458400000,None,None,None,None,1379000000,1565900000,117400000,-307100000,None,-3909100000,-166400000,None,None,None,None,2101200000,2101200000,None,None,None,None,-800000000,None,156000000,41400000,-341500000,2390500000
2015-12-31,USD,2964600000,None,None,None,None,1427700000,1626200000,-304500000,-736300000,None,26800000,-2919200000,None,None,None,None,2127300000,2127300000,None,None,None,None,-749500000,None,217800000,-205200000,-85600000,2408400000
2016-12-31,USD,4851000000,None,None,None,None,1496600000,1092000000,-709400000,-328200000,None,-3139100000,-559800000,None,None,None,None,2158500000,2158500000,None,None,None,None,-600100000,None,255300000,915700000,-236400000,2737600000
2017-12-31,USD,5615600000,None,None,None,None,1567300000,2163600000,-357000000,-253900000,None,-3783600000,142600000,None,None,None,None,2192100000,2192100000,None,None,None,None,-299800000,None,281300000,1954100000,-20500000,-204100000
2018-12-31,USD,5524500000,None,None,None,None,1609000000,3018200000,-996700000,7800000,None,1906000000,-5904900000,None,None,None,None,2311800000,2311800000,None,None,None,None,-4150700000,None,279500000,1462000000,-63600000,3232000000
2019-12-31,USD,4836600000,None,None,None,None,1232600000,1353500000,-127200000,-258700000,None,-8082900000,-2324500000,None,None,None,None,2409800000,2409800000,None,None,None,None,-4400000000,None,312400000,-5660700000,-89900000,8318400000
2020-12-31,USD,6499600000,None,None,None,None,1323900000,2029100000,None,-533400000,None,-2258900000,-3137100000,None,None,None,None,2687100000,2687100000,None,None,None,None,-500000000,None,308100000,None,None,6193700000
2021-12-31,USD,7260700000,None,None,None,None,1547600000,1873200000,None,-235900000,None,-2867500000,-4131300000,None,None,None,None,3086800000,3086800000,None,None,None,None,-1250000000,None,342800000,None,None,5581700000
2022-12-31,USD,7084400000,None,None,None,None,1522500000,2484000000,-299600000,-599700000,None,-3762900000,-5406700000,None,None,None,None,3535800000,3535800000,None,None,None,None,-1500000000,None,371100000,-1583900000,None,6244800000
2023-12-31,USD,4240100000,None,None,None,None,1527300000,7392100000,None,-1425000000,None,-7152700000,3495600000,None,None,None,None,4069300000,4069300000,None,None,None,None,-750000000,None,628500000,None,None,5240400000
2024-12-31,USD,8817900000,None,None,None,None,1766600000,8403600000,None,-2507400000,None,-9301500000,1230100000,None,None,None,None,4680400000,4680400000,None,None,None,None,-2500000000,None,645600000,None,None,10590000000
2025-12-31,USD,16813000000,None,None,None,None,1997000000,7841000000,None,-4671000000,None,-10972000000,-2213000000,None,None,None,None,5384000000,5384000000,None,None,None,None,-4108000000,None,626000000,None,None,20640000000
