fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2019-03-31,None,1483500,3089000,1605500,1605500,-3823000,None,2414500,5294000,None,None,None,None,None,None,None,237500,-4051500,24499,None,None,None,-3944000,-3706500,-4076000
2019-06-30,None,1511000,3198000,1687000,1687000,-3931000,None,2407000,5429000,None,None,None,None,None,None,None,237500,-4159000,None,None,None,None,-4159000,-3921500,-4159000
2019-09-30,USD,842000,3446000,2604000,2604000,-4189000,None,2191000,5029000,None,None,None,None,None,None,None,213000,-4781000,30000,None,None,None,-4086000,-3873000,-4811000
2019-12-31,USD,4334000,8348000,4014000,4014000,-309000,2670000,1973000,4643000,None,-254000,None,254000,None,None,None,212000,-489000,328000,None,-489000,None,-309000,-97000,-489000
2020-03-31,USD,2098000,4001000,1903000,1903000,-2764000,2706000,2156000,4862000,None,-241000,None,241000,None,None,None,205000,-2966000,280000,None,-2966000,None,-2725000,-2520000,-2966000
2020-06-30,USD,6410000,11128000,4718000,4718000,2128000,2436000,1846000,4282000,None,-246000,None,246000,None,None,None,204000,2095000,33000,None,2095000,None,2128000,2332000,2095000
2020-09-30,USD,3836000,6048000,2212000,2212000,-1293000,3178000,1951000,5129000,None,-245000,None,245000,None,None,None,201000,-1722000,61000,None,-1722000,None,-1293000,-1092000,-1722000
2020-12-31,USD,2579000,5717000,3138000,3138000,-3886000,12503000,2282000,6465000,None,-243000,None,244000,None,None,None,221000,-10226000,-33000,None,-10226000,None,-3886000,-3665000,-10226000
2021-03-31,USD,2908000,5543000,2635000,2635000,-5810000,5753000,2965000,8718000,None,-376000,None,376000,None,91000,None,137000,-6095000,467000,None,-6095000,None,-5810000,-5673000,-6095000
2021-06-30,USD,4379000,8277000,3898000,3898000,-7455000,8779000,3055000,11834000,None,-39000,None,39000,None,70000,None,238000,-7424000,109000,None,-7424000,None,-7385000,-7147000,-7424000
2021-09-30,USD,6812000,12545000,5733000,5733000,-5276000,8786000,3302000,12088000,None,-31000,None,31000,None,122000,None,261000,-5185000,153000,None,-5185000,None,-3576000,-3315000,-5185000
2021-12-31,USD,9134000,15841000,6707000,6707000,-3528000,8917000,3745000,12662000,None,-40000,None,40000,None,103000,None,289000,-3465000,8254000,None,-3465000,None,-5228000,-4939000,-3465000
2022-03-31,USD,4129000,8306000,4177000,4177000,-9521000,9745000,3905000,13650000,None,-20000,None,20000,None,126000,None,267000,-9415000,-106000,None,-9415000,None,-9395000,-9128000,-9415000
2022-06-30,USD,6634000,11106000,4472000,4472000,-8369000,10710000,4293000,15003000,None,-15000,None,15000,None,285000,None,311000,-8099000,300000,None,-8099000,None,-8084000,-7773000,-8099000
2022-09-30,USD,9338000,15797000,6459000,6459000,-7154000,11826000,4666000,16492000,None,-33000,None,33000,None,928000,None,459000,-6259000,-895000,None,-6259000,None,-6226000,-5767000,-6259000
