fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-04-30,USD,2207400000,None,None,None,None,543600000,1244200000,None,-257100000,None,-2866600000,1316400000,None,None,None,None,464800000,464800000,None,None,None,None,-4663600000,None,462700000,None,None,2546700000
2007-04-30,USD,2979000000,None,None,None,None,583000000,694000000,None,-24000000,None,-1701000000,-3011000000,None,None,None,None,504000000,504000000,None,None,None,None,-1039000000,None,None,None,None,2802000000
2008-04-30,USD,3489000000,None,None,None,None,637000000,606000000,None,30000000,None,-2790000000,-835000000,None,None,None,None,565000000,565000000,None,None,None,None,-1544000000,None,217000000,None,None,2231000000
2009-04-30,USD,3878000000,None,None,None,None,699000000,663000000,None,-212000000,None,-2740000000,-845000000,None,None,None,None,843000000,843000000,None,None,None,None,-759000000,None,237000000,None,None,2169000000
2010-04-30,USD,4131000000,None,None,None,None,772000000,635000000,None,158000000,None,-4759000000,764000000,None,None,None,None,907000000,907000000,None,None,None,None,-1030000000,None,226000000,None,None,3099000000
2011-04-30,USD,3741000000,None,None,None,None,804000000,548000000,None,-101000000,None,-1815000000,-2006000000,None,None,None,None,969000000,969000000,None,None,None,None,-1140000000,None,198000000,None,None,3096000000
2012-04-30,USD,4470000000,None,None,None,None,862000000,528000000,None,-185000000,None,-2651000000,-1882000000,None,None,None,None,1021000000,1021000000,None,None,None,None,-1440000000,None,161000000,None,None,3617000000
2013-04-30,USD,4883000000,None,None,None,None,819000000,457000000,None,93000000,None,-3053000000,-2101000000,None,None,None,None,1055000000,1055000000,None,None,None,None,-1247000000,None,152000000,None,None,3467000000
2014-04-30,USD,4959000000,None,None,None,None,850000000,396000000,None,-39000000,None,-3594000000,-918000000,None,None,None,None,1116000000,1116000000,None,None,None,None,-2553000000,None,145000000,None,None,3065000000
2015-04-30,USD,4902000000,None,None,None,None,1306000000,571000000,-413000000,-282000000,None,-17058000000,15949000000,None,None,None,None,1337000000,1337000000,None,None,None,None,-1920000000,None,439000000,3440000000,-353000000,2675000000
2016-04-30,USD,5218000000,None,None,None,None,2820000000,1046000000,-435000000,-186000000,None,2245000000,-9543000000,None,None,None,None,2139000000,2139000000,None,None,None,None,-2830000000,None,376000000,-1967000000,113000000,3538000000
2017-04-30,USD,6880000000,None,None,None,None,2917000000,1254000000,-75000000,-227000000,None,-1571000000,-3283000000,None,None,None,None,2376000000,2376000000,None,None,None,None,-3544000000,None,348000000,2091000000,65000000,4024000000
2018-04-30,USD,4684000000,None,None,None,None,2644000000,1068000000,-275000000,-192000000,None,5858000000,-11954000000,None,None,None,None,2494000000,2494000000,None,None,None,None,-2171000000,None,344000000,-1298000000,114000000,3095000000
2019-04-30,USD,7007000000,None,None,None,None,2659000000,1134000000,-581000000,-274000000,None,-774000000,-5431000000,None,None,None,None,2693000000,2693000000,None,None,None,None,-2877000000,None,290000000,802000000,None,4650000000
2020-04-30,USD,7234000000,None,None,None,None,2663000000,1213000000,1291000000,-577000000,None,-3203000000,-4198000000,None,None,None,None,2894000000,2894000000,None,None,None,None,-1326000000,None,297000000,-167000000,None,4806000000
2021-04-30,USD,6240000000,None,None,None,None,2702000000,1355000000,-761000000,78000000,None,-2866000000,-4136000000,None,None,None,None,3121000000,3121000000,None,None,None,None,-652000000,None,344000000,-762000000,None,3630000000
2022-04-30,USD,7346000000,None,None,None,None,2707000000,1368000000,-477000000,-560000000,None,-1659000000,-5336000000,None,None,None,None,3383000000,3383000000,None,None,None,None,-2544000000,None,359000000,351000000,None,5062000000
2023-04-30,USD,6039000000,None,None,None,None,2697000000,1459000000,-576000000,-939000000,None,-3493000000,-4960000000,None,None,None,None,3616000000,3616000000,None,None,None,None,-645000000,None,355000000,-2414000000,None,3784000000
2024-04-30,USD,6787000000,None,None,None,None,2647000000,1587000000,None,-139000000,None,-2366000000,-4450000000,None,None,None,None,3666000000,3666000000,None,None,None,None,-2138000000,None,393000000,None,None,3676000000
2025-04-30,USD,7044000000,None,None,None,None,2861000000,1859000000,None,-292000000,None,-1937000000,-4361000000,None,None,None,None,3589000000,3589000000,None,None,None,None,-3235000000,None,429000000,None,None,4691000000
