fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-03-31,USD,54338789,137583155,83244366,83244366,18145244,14078343,None,36193545,None,None,None,889950,None,None,None,544535,19035194,6971680,None,None,None,18145244,18689779,12063514
2007-03-31,USD,64566169,162246407,97680238,97680238,21500025,17292675,None,43066144,None,None,None,1700724,None,None,None,530440,23200749,8757247,None,None,None,21500025,22030465,14443502
2008-03-31,USD,74214036,188336469,114122433,114122433,27995612,20367392,None,46218424,None,None,None,2415533,None,None,None,589990,30411145,10388914,None,None,None,27995612,28585602,20022231
2009-03-31,USD,85327567,219412247,134084680,134084680,34200985,21604654,None,51126582,None,None,None,1455661,None,None,None,814542,35656646,12680235,None,None,None,34201458,35016000,22976411
2010-03-31,USD,91860639,238265933,146405294,146405294,40541812,22341123,None,51318827,None,None,None,200000,None,None,None,1321354,40742659,14740192,None,None,None,40541646,41863000,26002467
2011-03-31,USD,83956000,231642000,147686000,147686000,33024000,22200000,None,50932000,None,None,None,253000,None,None,None,1375000,33277000,12406000,None,None,None,33024000,34399000,20871000
2012-03-31,USD,80165000,238250000,158085000,158085000,26022000,22363000,0,54143000,None,None,None,349000,None,349000,None,1411000,26371000,9712000,None,16659000,None,26022000,27433000,16659000
2013-03-31,USD,77121000,227829000,150708000,150708000,27005000,21592000,0,50116000,None,None,None,301000,None,301000,None,1091000,27306000,10141000,None,17165000,None,27005000,28096000,17165000
2014-03-31,USD,77617000,233391000,155774000,155774000,28218000,21352000,0,49399000,None,None,None,181000,None,181000,None,867000,28399000,10427000,None,17972000,None,28218000,29085000,17972000
2015-03-31,USD,76270000,229395000,153125000,153125000,27613000,21101000,0,46943000,None,None,None,185000,None,185000,None,660000,27798000,10345000,None,17453000,None,29380000,30040000,17453000
2016-03-31,USD,76296000,234684000,158388000,158388000,32388000,21301000,0,43908000,None,None,116000,179000,None,179000,None,770000,32567000,12000000,None,20567000,None,32388000,33158000,20567000
2017-03-31,USD,79314000,249176000,169862000,169862000,37483000,22799000,0,41831000,None,141000,141000,441000,None,441000,None,1369000,37924000,14105000,None,23819000,None,37483000,38852000,23819000
2018-03-31,USD,97807000,273800000,175993000,175993000,52136000,24290000,0,45671000,None,658000,658000,1653000,None,1653000,None,2126000,53789000,16506000,None,37283000,None,52136000,54262000,37283000
2019-03-31,USD,95314000,283419000,188105000,188105000,46174000,24767000,None,49140000,None,1864000,1864000,2947000,None,2947000,None,2225000,49121000,11381000,None,37740000,None,49121000,51346000,37740000
2020-03-31,USD,81246000,284125000,202879000,202879000,30977000,25264000,None,50269000,None,1747000,1747000,2916000,None,2916000,None,2257000,33893000,8042000,None,25851000,None,33893000,36150000,25851000
2021-03-31,USD,84316000,303583000,219267000,219267000,30531000,28293000,None,53785000,None,314000,314000,1210000,None,1629000,None,2427000,30950000,7031000,None,30603000,None,30531000,32958000,23919000
2022-03-31,USD,75338000,273417000,198079000,198079000,25710000,30829000,None,49628000,None,335000,335000,335000,None,1361000,None,2738000,27071000,5971000,None,21100000,None,27071000,29809000,21100000
2023-03-31,USD,71014000,256579000,185844000,185844000,6551000,49474000,None,64684000,None,2070000,2070000,3014000,None,3014000,None,3546000,7445000,2305000,None,233000,None,7445000,10991000,5140000
2024-03-31,USD,77712000,274095000,196383000,196383000,-6962000,55246000,None,84674000,None,511000,None,3014000,None,None,None,7056000,-6273000,1191000,None,-7464000,None,-6273000,783000,-7464000
2026-03-31,None,69137000,226972000,157835000,157835000,-1530000,38647000,None,70667000,None,None,None,None,None,None,None,7039000,-587000,5684000,None,None,None,-330000,6709000,-6271000
