fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-12-31,USD,-1212000,None,None,None,None,1949000,314000,None,397000,None,-195000,5000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-3431000
2007-12-31,USD,-2939000,None,None,None,None,950000,852000,None,-1436000,None,3083000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-2107000
2008-12-31,USD,-413000,None,None,None,None,882000,325000,None,-665000,None,-399000,None,None,None,None,None,None,None,None,None,None,None,None,None,402000,None,None,-495000
2009-12-31,USD,1267000,None,None,None,None,855000,351000,None,1290000,None,-377000,None,None,None,None,None,None,None,None,None,None,None,None,None,202000,None,None,-1920000
2010-12-31,USD,-1718000,None,None,None,None,708000,192000,None,97000,None,-6226000,5761000,None,None,None,None,None,None,None,None,None,None,None,None,-14000,None,None,-3134000
2011-12-31,USD,220000,None,None,None,None,2101000,231000,-2212000,-620000,None,-508000,1726000,None,None,None,None,0,0,None,None,None,None,24000,None,1010000,1492000,54000,-9782000
2012-12-31,USD,-10204000,None,None,None,None,2278000,882000,-2913000,-1373000,None,-4878000,14604000,None,None,None,None,0,0,None,None,None,None,17483000,None,731000,-449000,29000,-8327000
2013-12-31,USD,-8473000,None,None,None,None,2748000,605000,-2757000,908000,None,-1766000,7370000,None,None,None,None,0,0,None,None,None,None,7570000,None,462000,-2871000,-2000,-15987000
2014-12-31,USD,-13702000,None,None,None,None,2248000,130000,-8488000,715000,None,3625000,10070000,None,None,None,None,0,0,None,None,None,None,9266000,None,939000,-17000,-10000,-13942000
2015-12-31,USD,-12378000,None,None,None,None,489000,204000,133000,-113000,None,1787000,8991000,None,None,None,None,0,0,None,None,None,None,8977000,None,611000,-1165000,435000,-10138000
2016-12-31,USD,-3550000,None,None,None,None,262000,19000,-33000,26000,None,1006000,2210000,None,None,None,None,0,0,None,None,None,None,2263000,None,52000,-334000,None,-8269000
2017-12-31,USD,-6690000,None,None,None,None,743000,143000,-495000,-46000,None,-42000,7102000,None,None,None,None,0,0,None,None,None,None,7809000,None,49000,370000,None,-20694000
2018-12-31,USD,-6754000,None,None,None,None,1265000,97000,-541000,-36000,None,-97000,6811000,None,None,None,None,None,None,None,None,None,None,3279000,None,529000,-40000,None,-15694000
2019-12-31,USD,-9141000,None,None,None,None,1412000,55000,-850000,13000,None,-55000,9663000,None,None,None,None,3725000,3725000,None,None,None,None,-1000,None,668000,467000,None,-13243000
2020-12-31,USD,-7434000,None,None,None,None,1356000,151000,-1639000,-166000,None,-96000,9338000,None,None,None,None,None,None,None,None,None,None,8929000,None,703000,1808000,None,-10598000
2021-12-31,USD,-6577000,None,None,None,None,1444000,682000,None,-214000,None,-682000,16271000,None,None,None,None,None,None,None,None,None,None,None,None,2029000,None,None,-8517000
2022-12-31,USD,-7721000,None,None,None,None,1520000,277000,None,-144000,None,-277000,-225000,None,None,None,None,None,None,None,None,None,None,None,None,3801000,None,None,-12178000
2023-12-31,USD,-3559000,None,None,None,None,1517000,126000,None,324000,None,-126000,1742000,None,None,None,None,None,None,None,None,None,None,None,None,1735000,None,None,-5853000
2024-12-31,USD,439000,None,None,None,None,1513000,223000,None,-340000,None,-223000,-329000,None,None,None,None,None,None,None,None,None,None,None,None,1877000,None,None,-4290000
2025-12-31,USD,685000,None,None,None,None,1564000,326000,None,-211000,None,-326000,903000,None,None,None,None,None,None,None,None,None,None,None,None,1209000,None,None,-363000
