fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2005-12-31,USD,2858709000,608298000,7963000,7963000,52835000,499726000,2250411000,1429653000,None,686211000,686211000,686211000,None,None,None,47774000,None,1493732000,524170000,421286000,None,None,5191000,969562000,None,637654000,None,None,642845000,80809000,None,1205098000,None,1259998000,539000,121012000
2006-03-31,USD,2985047000,658579000,8211000,8211000,53556000,547800000,2326468000,1510193000,None,686211000,686211000,686728000,None,None,None,49012000,None,1560279000,614749000,481776000,None,None,3999000,945530000,None,603533000,None,None,607532000,128974000,None,1254546000,None,1310169000,541000,121012000
2006-06-30,USD,3145621000,779040000,124350000,124350000,54043000,546344000,2366581000,1549177000,None,686561000,686561000,686561000,None,None,None,54303000,None,1435401000,599375000,426568000,None,None,3646000,836026000,None,465284000,None,None,468930000,169161000,None,1530968000,None,1371341000,587000,119974000
2006-09-30,USD,3149027000,712892000,14817000,14817000,64352000,584764000,2436135000,1609890000,None,695246000,695246000,695246000,None,None,None,48959000,None,1465541000,628519000,464102000,None,None,3137000,837022000,None,464806000,None,None,467943000,161280000,None,1496445000,None,1431038000,559000,114002000
2006-12-31,USD,3277042000,728506000,14939000,14939000,64532000,595009000,2548536000,1685085000,None,719991000,719991000,719991000,None,None,None,54026000,None,1700517000,502451000,190159000,None,None,1938000,1198066000,None,821363000,None,None,823301000,291983000,None,1402464000,None,1425379000,538000,107372000
2007-03-31,USD,3467188000,807643000,11215000,11215000,67638000,667282000,2659545000,1775471000,None,737868000,737868000,737868000,None,None,None,61508000,None,1818620000,522104000,497560000,None,None,2851000,1296516000,None,910424000,None,None,913275000,21693000,None,1461195000,None,None,1461195000,107372000
2007-06-30,USD,3531680000,801783000,12663000,12663000,68562000,647852000,2729897000,1840847000,None,745769000,745769000,745769000,None,None,None,72706000,None,1817133000,494139000,491068000,None,None,3014000,1322994000,None,951060000,None,None,954074000,57000,None,1514774000,None,None,1514774000,107456000
2007-09-30,USD,3598928000,806880000,13574000,13574000,70874000,631527000,2792048000,1894507000,None,753846000,753846000,753846000,None,None,None,90905000,None,1860677000,557911000,554582000,None,None,3329000,1302766000,None,900628000,None,None,903957000,554582000,None,1534839000,None,None,1534839000,107258000
2007-12-31,USD,3608657000,774847000,16354000,16354000,72399000,627186000,2833810000,1933916000,None,750395000,750395000,750395000,None,None,None,58908000,None,2091458000,487711000,175222000,None,None,3116000,1603747000,None,1008786000,None,None,1011902000,293290000,None,1517199000,None,1523555000,525000,102672000
2008-03-31,USD,3686282000,836232000,8916000,8916000,73382000,699740000,2850050000,1959265000,None,749839000,749839000,749839000,None,None,None,54194000,None,1975980000,547329000,520847000,None,None,3774000,1428651000,None,1041308000,None,None,1045082000,22708000,None,1487212000,None,1486687000,525000,102672000
2008-06-30,USD,3718593000,843988000,6211000,6211000,72947000,710065000,2874605000,1989905000,None,748305000,748305000,748305000,None,None,None,54765000,None,1948521000,507258000,504444000,None,None,2814000,1441263000,None,1050491000,None,None,1053305000,504444000,None,1544474000,None,None,1544474000,101484000
2008-09-30,USD,3698336000,777800000,7805000,7805000,72636000,628973000,2920536000,2015290000,None,749839000,749839000,749839000,None,None,None,68386000,None,2132022000,566243000,553762000,None,None,8260000,1565779000,None,935461000,None,None,943721000,557983000,None,1566314000,None,None,1566314000,101522000
2008-12-31,USD,3742462000,789417000,5460000,5460000,76043000,625437000,2953045000,2100292000,None,732937000,732937000,732937000,None,None,None,82477000,None,1971877000,561125000,192078000,None,None,8708000,1410752000,None,990661000,None,None,999369000,329603000,None,1543850000,None,1666973000,494000,98412000
2009-03-31,USD,3835317000,832520000,9423000,9423000,77022000,652854000,3002797000,2145282000,None,733882000,733882000,733882000,None,None,None,93221000,None,1997799000,644363000,591427000,None,None,8725000,1353436000,None,938844000,None,None,947569000,44211000,None,1596544000,None,None,1596544000,98412000
