fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-03-31,USD,1938000000,5344000000,3406000000,3406000000,115000000,2460000000,None,1823000000,None,None,None,None,None,None,None,3374000000,-92000000,-3661000000,None,None,None,115000000,3489000000,-92000000
2006-06-30,USD,2250000000,5975000000,3725000000,3725000000,476000000,2449000000,None,1774000000,None,None,None,None,None,None,None,284000000,291000000,-3448000000,None,None,None,476000000,760000000,291000000
2006-09-30,USD,2081000000,5847000000,3766000000,3766000000,284000000,2449000000,None,1797000000,None,None,None,None,None,None,None,3678000000,15000000,-3968000000,None,None,None,284000000,3962000000,15000000
2006-12-31,USD,1948000000,5397000000,3449000000,3449000000,185000000,2420000000,None,1763000000,None,None,None,1030000000,None,None,None,5779000000,17000000,-3754000000,None,None,None,-3737000000,2042000000,17000000
2007-03-31,USD,4122000000,5427000000,1305000000,1305000000,248000000,1671000000,None,3874000000,None,None,None,241000000,None,None,None,3472000000,81000000,-3762000000,None,None,None,322000000,3794000000,81000000
2007-06-30,USD,4299000000,5879000000,1580000000,1580000000,467000000,1655000000,None,3832000000,None,None,None,235000000,None,None,None,3679000000,317000000,-3974000000,None,None,None,552000000,4231000000,317000000
2007-09-30,USD,4266000000,5946000000,1680000000,1680000000,319000000,1721000000,None,3947000000,None,None,None,224000000,None,None,None,314000000,175000000,-3516000000,None,None,None,399000000,713000000,175000000
2007-12-31,USD,10204000000,5683000000,-4521000000,-4521000000,-69000000,485000000,None,10273000000,None,None,None,194000000,None,None,None,2094000000,-69000000,12787000000,None,None,None,12718000000,14812000000,-69000000
2008-03-31,USD,3653000000,5697000000,2044000000,2044000000,-187000000,1644000000,None,3840000000,None,None,None,207000000,None,None,None,304000000,-341000000,199000000,None,None,None,-134000000,170000000,-341000000
2008-06-30,USD,3743000000,6179000000,2436000000,2436000000,-1290000000,1658000000,None,5033000000,None,None,None,199000000,None,None,None,-1699000000,-1461000000,2208000000,None,None,None,-1262000000,-2961000000,-1461000000
2008-09-30,USD,3726000000,6421000000,2695000000,2695000000,-216000000,1633000000,None,3942000000,None,None,None,204000000,None,None,None,-229000000,31000000,698000000,None,None,None,235000000,6000000,31000000
