fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-02-28,USD,-38759000,None,None,None,None,7640000,3006000,None,-7605000,None,-10863000,131363000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9130000
2006-05-31,USD,21593000,None,None,None,None,7666000,4484000,None,-20679000,None,-5036000,479000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12899000
2006-08-31,USD,-1851000,None,None,None,None,8299000,5995000,None,4319000,None,-8096000,7448000,None,None,None,None,None,None,None,None,None,None,None,None,-8399000,None,None,11784000
2006-11-30,USD,6256000,None,None,None,None,7861000,7992000,None,-767000,None,-4644000,-3535000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13768000
2007-02-28,USD,-3505000,None,None,None,None,7929000,6537000,None,70000,None,536000,-9017000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15261000
2007-05-31,USD,-22139000,None,None,None,None,8110000,9367000,None,-12189000,None,-26925000,27077000,None,None,None,None,None,None,None,None,None,None,None,None,8399000,None,None,17847000
2007-08-31,USD,2060000,None,None,None,None,9606000,6881000,None,6393000,None,-40040000,12583000,None,None,None,None,None,None,None,None,None,None,-5907000,None,-1020000,None,None,15153000
2007-11-30,USD,-51210000,None,None,None,None,9785000,7231000,None,-36490000,None,3544000,17899000,None,None,None,None,None,None,None,None,None,None,-2240000,None,415000,None,None,17855000
2008-02-29,USD,22402000,None,None,None,None,10411000,7947000,None,-7997000,None,-85501000,154385000,None,None,None,None,None,None,None,None,None,None,-1380000,None,108000,None,None,20095000
2008-05-31,USD,43674000,None,None,None,None,10150000,8275000,None,-4245000,None,-19968000,-33846000,None,None,None,None,None,None,None,None,None,None,9527000,None,497000,None,None,22041000
2008-08-31,USD,-10499000,None,None,None,None,11001000,8734000,None,-5623000,None,-9524000,-12833000,None,None,None,None,None,None,None,None,None,None,None,None,-1448000,None,None,18400000
2008-11-30,USD,18626000,None,None,None,None,10485000,7963000,None,-23040000,None,-4163000,32502000,None,None,None,None,None,None,None,None,None,None,None,None,2851000,None,None,19734000
2009-02-28,USD,-16055000,None,None,None,None,9691000,6765000,None,-39234000,None,-6801000,-4588000,None,None,None,None,None,None,None,None,None,None,None,None,-7280000,None,None,20024000
2009-05-31,USD,72379000,None,None,None,None,9374000,4073000,None,22483000,None,-3739000,-51248000,None,None,None,None,None,None,None,None,None,None,None,None,5877000,None,None,20493000
2009-08-31,USD,34122000,None,None,None,None,8697000,8943000,None,3046000,None,-5112000,-18716000,None,None,None,None,None,None,None,None,None,None,None,None,1046000,None,None,9158000
2009-11-30,USD,24014000,None,None,None,None,8781000,6057000,None,3921000,None,-9996000,-30954000,None,None,None,None,None,None,None,None,None,None,None,None,119000,None,None,13193000
2010-02-28,USD,36511000,None,None,None,None,9131000,5749000,None,8632000,None,-4989000,-19768000,None,None,None,None,None,None,None,None,None,None,None,None,127000,None,None,9785000
2010-05-31,USD,58509000,None,None,None,None,12321000,8106000,None,3416000,None,-202243000,105608000,None,None,None,None,None,None,None,None,None,None,None,None,-1292000,None,None,11066000
2010-08-31,USD,7218000,None,None,None,None,14367000,37046000,-2859000,-8482000,None,-38828000,4382000,None,None,None,None,0,0,None,None,None,None,-2539000,None,None,-27215000,13000,13674000
2010-11-30,USD,22594000,None,None,None,None,14437000,22884000,-11332000,-8469000,None,-22251000,-3167000,None,None,None,None,0,0,None,None,None,None,300000,None,None,-2835000,-11000,16814000
2011-02-28,USD,30090000,None,None,None,None,14359000,22424000,-41951000,1970000,None,-22448000,-2268000,None,None,None,None,0,0,None,None,None,None,1038000,None,3639000,5396000,22000,17918000
2011-05-31,USD,48696000,None,None,None,None,16133000,42525000,11116000,1964000,None,-35208000,-10774000,None,None,None,None,2983000,2983000,None,None,None,None,2539000,None,8669000,2717000,3000,21420000
2011-08-31,USD,-25612000,None,None,None,None,16699000,41751000,-9001000,-36755000,None,-42261000,46059000,None,None,None,None,3034000,3034000,None,None,None,None,-1000000,None,2617000,-21910000,-96000,16649000
2011-11-30,USD,30411000,None,None,None,None,18240000,13402000,9533000,-23463000,None,-32064000,-6573000,None,None,None,None,3018000,3018000,None,None,None,None,-2700000,None,-11001000,-7653000,573000,17532000
2012-02-29,USD,13432000,None,None,None,None,21560000,7549000,9571000,3263000,None,-286788000,304406000,None,None,None,None,3016000,3016000,None,None,None,None,38000,None,None,31424000,374000,20663000
2012-05-31,USD,75986000,None,None,None,None,23834000,28516000,26183000,9345000,None,-29112000,-37049000,None,None,None,None,3013000,3013000,None,None,None,None,3659000,None,20930000,8426000,-1399000,13013000
2012-08-31,USD,33200000,None,None,None,None,20300000,11000000,20700000,-4300000,None,-16900000,-17000000,None,None,None,None,3000000,3000000,None,None,None,None,-6100000,None,2900000,None,700000,18300000
