fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-12-31,USD,5042000,33045000,28003000,28003000,651456,4391000,None,4391000,None,None,None,1040000,None,None,None,597009,153400,489969,None,None,None,1193991,1791000,-337000
2007-12-31,USD,12731000,46069000,33338000,33338000,28036000,9895000,None,-15305000,None,None,None,1578000,None,None,None,1300000,1240000,611673,None,None,None,28036000,29336000,627900
2008-12-31,USD,9061000,38694000,29633000,29633000,-957000,None,None,10018000,None,None,None,0,None,None,None,2262000,-8211000,-744000,None,None,None,-14507000,-12245000,-16543000
2009-12-31,USD,9061000,38694000,29633000,29633000,-5612000,None,None,14673000,None,None,None,2780000,None,None,None,2262000,-8211000,-744000,None,None,None,-5431000,-3169000,-16543000
2010-12-31,USD,7470000,48600000,41130000,41130000,552000,None,None,6920000,None,None,None,-3790000,None,None,None,1940000,-3250000,-3790000,None,None,None,1522000,3462000,540000
2011-12-31,USD,10928000,53745000,42817000,42817000,4379000,6549000,None,6549000,None,None,None,2102000,None,None,None,2251000,2304000,57000,None,None,None,4542000,6793000,2247000
2012-12-31,USD,14858000,64215000,49357000,49357000,5984000,8792000,459000,9020000,None,None,None,1843000,None,None,None,2250000,3995000,1447000,None,None,None,5838000,8088000,2548000
2013-12-31,USD,15235000,62833000,47598000,47598000,4613000,10530000,430000,10622000,None,None,None,1340000,None,None,None,2872000,3569000,-170000,None,3443000,None,4909000,7781000,3739000
2014-12-31,USD,14098000,64331000,50233000,50233000,1735000,11960000,375000,11960000,None,None,None,1295000,None,None,None,3527000,299000,-368000,None,808000,None,1594000,5121000,667000
2015-12-31,USD,17281000,80442000,63161000,63161000,626000,16359999,341000,16557000,None,None,1858000,1858000,None,None,None,4352000,-1118000,-286000,None,-832000,None,724000,5076000,-832000
2016-12-31,USD,6720000,66915000,60195000,60195000,-10135000,14224000,362000,17509000,None,-2596000,2500000,2500000,None,-126000,None,4170000,-12766000,2112000,None,-15623000,None,-10266000,-6096000,-15623000
2017-12-31,USD,4867000,49869000,45002000,45002000,-12758000,11234000,423000,11452000,None,-3378000,3378000,3378000,None,66000,None,3644000,-16270000,-197000,None,-15873000,None,-12892000,-9248000,-22551000
2018-12-31,USD,5414000,46309000,40895000,40895000,-4913000,8164000,668000,10358000,None,-3921000,3916000,3921000,None,278000,None,2877000,-8551000,3000,None,-9609000,None,-4635000,-1758000,-10992000
2019-12-31,USD,9142000,54573000,45431000,45431000,328000,8405000,None,8814000,None,-3561000,3561000,3561000,None,672000,None,3002000,-2561000,37000,None,-2598000,None,603000,3605000,-2732000
2020-12-31,USD,6512000,50097000,43585000,43585000,-1439000,7860000,None,7951000,None,-1491000,None,1491000,None,430000,None,2570000,-86000,-1412000,None,1326000,None,-1439000,1131000,1096000
2021-12-31,USD,10253000,58939000,48686000,48686000,2487000,7631000,None,7766000,None,-1265000,None,1265000,None,None,None,3295000,1627000,1670000,None,1627000,None,2892000,6187000,1627000
2022-12-31,USD,7452000,53238000,45786000,45786000,-194000,6939000,None,7646000,None,-1338000,None,1338000,None,None,None,3067000,-1076000,-317000,None,-1076000,None,262000,3329000,-1076000
2023-12-31,USD,7428000,51516000,44088000,44088000,-295000,7636000,None,7723000,None,-1875000,None,1920000,None,None,None,2959000,-2131000,2252105,None,-3211000,None,-211000,2748000,-2131000
2024-12-31,USD,8932000,55108000,46176000,46176000,459000,8406000,None,8473000,None,-1893000,None,1893000,None,None,None,2924000,-1366000,None,None,-1366000,None,527000,3451000,-1366000
2025-12-31,USD,7511000,47900000,40410000,40410000,-338000,None,None,7849000,None,-1841000,None,1841000,None,None,None,2764000,-1436000,-131000,None,-1305000,None,8100000,10864000,-1305000
