fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2021-12-31,None,9777208,6290976,13622,13622,4048520,1354284,3486232,None,None,3158617,3158617,None,None,None,None,874550,None,116022115,5279413,1747637,None,None,1165072,110742702,None,None,None,None,33349407,2118495,None,-106244907,None,-109751260,None,22279688
2022-03-31,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,22279688
2022-06-30,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,20796761
2022-09-30,None,248599155,9332683,1336911,1336911,2399431,2496770,239266472,None,None,111612810,111612810,115183429,None,None,None,3099571,None,72796845,24316598,10046330,None,None,9308220,48480247,None,None,None,None,29206431,4791598,None,175802310,None,-116346599,28,20796761
2022-12-31,None,733343683,5884283,605154,605154,2156460,2147676,727459400,None,None,116054351,116054351,599442468,None,None,None,974993,None,110346624,27427909,10524802,None,None,10631815,82918715,None,None,None,None,30732459,5615779,None,622997059,None,-135302623,28,20796761
2023-03-31,None,252792830,16476661,932293,932293,2058000,1742837,236316169,None,None,107035900,107035900,117739650,None,None,None,11743529,None,100079664,60960589,12612208,None,None,31783498,39119075,None,None,None,None,32617677,5722809,None,152713166,None,-141253579,28,16387103
2023-06-30,None,246802598,13351062,2772491,2772491,2708889,2139809,233451536,None,None,104400427,104400427,117842988,None,None,None,5729873,None,100253278,56193687,14326428,None,None,29416811,44059591,None,None,None,None,30213585,5642922,None,146549320,None,-147741929,28,16387103
2023-12-31,None,747999612,19157026,13102312,13102312,2864170,2238588,728842586,None,None,105054245,105054245,602602501,None,None,None,951956,None,152543909,85508872,17229424,None,None,30457177,67035037,None,None,None,None,30966025,26734118,None,595455703,None,-167759046,28,26174420
2024-03-31,USD,729052225,16627778,8129109,8129109,3021491,1756641,712424447,None,None,102079963,102079963,599972842,None,None,None,3720537,None,137695224,80469015,17209090,None,None,31586589,57226209,246175,500000,31348044,None,32094219,24424717,45432276,591357000,None,-169768735,28,24887574
2024-06-30,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24887574
2024-09-30,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,26174420
2024-12-31,USD,712642095,41794747,20910678,20910678,8822721,10402675,670847348,None,None,93502277,93502277,557508331,None,None,None,1658673,None,163912661,96606536,16439760,None,None,48121911,67306125,358805,688270,47909320,None,48956390,21704887,42832276,548729434,None,-206453285,28,26174420
2025-03-31,None,697595217,32706612,13708853,13708853,12921149,1688336,664888605,None,None,90886716,90886716,562021700,None,None,None,4388274,None,145073283,91964099,20011435,None,None,47612887,53109184,None,None,None,None,48390979,20024253,None,552521934,None,-208426040,16,26174420
2025-06-30,USD,747849810,79164259,40341555,40341555,10609390,24446833,668685551,None,None,88647429,88647429,572031507,None,None,None,3766481,None,68290214,66517428,14213380,None,None,17743914,1772786,367509,847766,17476151,None,18691426,27988356,50000,679559596,None,-202555611,27,27211210
2025-09-30,USD,774576211,106599998,83678745,83678745,16194693,1639964,667976212,None,None,86063523,86063523,571568402,None,None,None,5086596,None,35029060,32068032,4247481,None,None,12300925,2961027,2208572,674746,11795153,None,14678466,12721879,50000,739547151,None,-210517627,31,28248000
2025-12-31,USD,774139000,106476000,74358000,74358000,11639000,12385000,667663000,None,None,83487000,83487000,571653000,None,None,None,8094000,None,34947000,30865000,6599000,None,None,3253000,4082000,3380000,500000,2351000,None,6231000,16516000,50000,739192000,None,-210557000,None,23678000
