fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-03-31,USD,6493000,None,None,None,None,324000,469000,None,-531000,None,2554000,-1721000,None,None,None,None,1766000,1766000,None,None,None,None,None,None,None,None,None,5496000
2006-06-30,USD,1844000,None,None,None,None,335000,2092000,None,-1087000,None,-818000,-222000,None,None,None,None,1766000,1766000,None,None,None,None,None,None,2000,None,None,5003000
2006-09-30,USD,7920000,None,None,None,None,411000,2593000,None,10000,None,-2521000,-458000,None,None,None,None,1766000,1766000,None,None,None,None,None,None,1357000,None,None,3689000
2006-12-31,USD,300000,None,None,None,None,349000,3496000,None,-4816000,None,1705000,223000,None,None,None,None,1766000,1766000,None,None,None,None,None,None,None,None,None,6576000
2007-03-31,USD,4833000,None,None,None,None,395000,3257000,None,-2487000,None,-3257000,283000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4882000
2007-06-30,USD,-7445000,None,None,None,None,515000,1720000,None,-8456000,None,-1733000,-276000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5660000
2007-09-30,USD,15398000,None,None,None,None,484000,2370000,None,-2598000,None,-2368000,-1634000,None,None,None,None,1821000,1821000,None,None,None,None,None,None,None,None,None,7117000
2007-12-31,USD,5898000,None,None,None,None,1983000,1632000,None,7155000,None,-82932000,63919000,None,None,None,None,1821000,1821000,None,None,None,None,None,None,-24000,None,None,6928000
2008-03-31,USD,7249000,None,None,None,None,3534000,2361000,None,-670000,None,-2346000,3279000,None,None,None,None,None,None,None,None,None,None,None,None,664000,None,None,5245000
2008-06-30,USD,4564000,None,None,None,None,3705000,1842000,None,5401000,None,-1826000,7866000,None,None,None,None,None,None,None,None,None,None,None,None,879000,None,None,6213000
2008-09-30,USD,12992000,None,None,None,None,2726000,3122000,None,-4469000,None,-3103000,-7176000,None,None,None,None,1894000,1894000,None,None,None,None,None,None,820000,None,None,7225000
2008-12-31,USD,9198000,None,None,None,None,1894000,2600000,None,4649000,None,-3189000,-21218000,None,None,None,None,1894000,1894000,None,None,None,None,None,None,-274000,None,None,5385000
2009-03-31,USD,3237000,None,None,None,None,2450000,1170000,None,-2721000,None,-1162000,323000,None,None,None,None,None,None,None,None,None,None,None,None,798000,None,None,4916000
2009-06-30,USD,9134000,None,None,None,None,2407000,1061000,None,5196000,None,-1046000,-4158000,None,None,None,None,None,None,None,None,None,None,None,None,962000,None,None,1516000
2009-09-30,USD,11043000,None,None,None,None,2553000,1007000,None,859000,None,-988000,-970000,None,None,None,None,513000,513000,None,None,None,None,None,None,897000,None,None,1095000
2009-12-31,USD,6126000,None,None,None,None,2696000,679000,None,3270000,None,-946000,-12925000,None,None,None,None,515000,515000,None,None,None,None,None,None,768000,None,None,1022000
2010-03-31,USD,13808000,None,None,None,None,2427000,764000,None,-3837000,None,-768000,-16610000,None,None,None,None,515000,515000,None,None,None,None,None,None,792000,None,None,-412000
2010-06-30,USD,-4113000,None,None,None,None,2514000,681000,None,1996000,None,-6411000,1728000,None,None,None,None,518000,518000,None,None,None,None,None,None,910000,None,None,3037000
2010-09-30,USD,559000,None,None,None,None,2880000,864000,None,3039000,None,-874000,1252000,None,None,None,None,528000,528000,None,None,None,None,None,None,835000,None,None,1325000
