fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2012-12-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11936323
2013-12-31,USD,1296469000,749752000,198478000,198478000,102353000,365675000,546717000,163064000,None,19506000,19506000,114685000,None,None,8951000,74295000,None,764584000,518477000,167421000,None,None,4671000,246107000,None,225000,None,None,4896000,346385000,None,530961000,None,None,495627000,10745318
2014-12-31,USD,1522806000,854694000,219085000,219085000,100017000,447759000,668112000,158958000,None,51626000,51626000,219332000,None,109462000,1997000,54020000,None,829118000,488090000,160606000,None,None,3215000,341028000,None,None,3215000,None,3215000,324269000,None,692661000,None,965000,676036000,10745318
2015-12-31,USD,1663045000,978184000,365192000,365192000,90119000,427316000,684861000,145717000,None,37844000,37844000,201069000,None,97285000,3996000,54417000,None,914618000,561352000,175170000,None,None,2005000,353266000,None,0,2005000,None,2005000,154787000,353266000,747708000,-25408000,965000,540000,10772596
2016-12-31,USD,1529100000,777500000,95900000,95900000,85800000,457057000,751600000,133637000,198900000,71000000,71000000,267400000,None,98682000,27770000,111013000,None,968100000,617500000,220737000,None,None,14241000,350600000,None,9800000,14241000,None,14200000,382560000,49395000,552100000,-103818000,-114700000,500000,10055967
2017-12-31,USD,1322229000,732257000,56667000,56667000,82162000,394119000,589972000,114707000,213574000,76780000,76780000,204398000,None,43278000,25980000,195524000,None,1131526000,744327000,203569000,None,None,169314000,387199000,None,94300000,169314000,None,263614000,371444000,36509000,182103000,-104785000,-492150000,499000,9415245
2018-12-31,USD,745497000,549619000,43214000,43214000,61323000,341930000,195878000,90892000,None,30793000,30793000,47108000,None,0,14000,103152000,None,1022794000,711989000,199882000,None,None,176155000,310805000,None,0,176155000,None,176155000,186585000,29158000,-286126000,-105590000,-1217914000,1748000,13829000
2019-12-31,USD,626519000,412220000,43772000,43772000,63103000,257043000,214299000,109551000,None,25300000,25300000,47160000,None,None,None,48302000,None,921458000,602494000,109913000,None,None,287276000,318964000,43165000,None,282953000,None,326118000,130018000,20850000,-296356000,-105707000,-1339888000,4699000,31500000
2020-12-31,USD,599077000,396085000,57338000,57338000,74446000,223067000,202992000,95892000,None,23908000,23908000,47363000,None,None,None,41234000,None,930054000,270832000,73481000,None,None,4881000,659222000,40716000,347630000,None,None,389232000,128468000,311592000,-332081000,-105990000,-1342921000,4784000,48700000
2021-12-31,USD,913265000,582434000,224874000,224874000,79527000,246797000,330831000,115790000,None,43795000,43795000,116462000,None,None,None,31236000,None,854643000,253383000,85929000,None,None,18775000,601260000,62449000,327909000,12380000,None,402738000,80299000,273351000,33149000,-110934000,-1321154000,5110000,83600000
2022-12-31,USD,941689000,557613000,76238000,76238000,102636000,315040000,384076000,115800000,None,51564000,51564000,100437000,None,None,None,63699000,None,943778000,371534000,131221000,None,None,8505000,572244000,58840000,348700000,4291000,None,410270000,100863000,27482000,-2574000,None,-1358875000,5138000,88300000
2023-12-31,USD,775700000,497592000,39856000,39856000,97580000,151726000,278108000,95443000,None,23580000,23580000,85122000,None,None,297000,208430000,None,976050000,350224000,83154000,None,None,10832000,625826000,56855000,373311000,6174000,None,434227000,197121000,15082000,-200961000,None,-1570942000,5148000,89000000
2024-12-31,USD,726987000,490185000,23399000,23399000,108889000,195080000,236802000,102382000,None,19051000,19051000,82138000,None,None,None,162817000,None,1010159000,388493000,101025000,None,None,130331000,621666000,64010000,348783000,125137000,None,537930000,98659000,10374000,-283763000,None,-1645716000,5208000,91717000
2025-12-31,USD,662900000,470700000,89500000,89500000,60900000,191200000,192200000,83184000,None,15300000,15300000,53100000,None,None,None,129100000,None,794500000,386700000,69200000,None,None,157000000,407800000,47580000,169835000,151246000,None,368700000,160500000,9226000,-131600000,None,-1696700000,5600000,105400000
