fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2019-12-31,2020-02-07,0.54,0,0.54,None,post-market
2020-03-31,2020-05-08,0.35,0.33,0.02,6.0606,pre-market
2020-06-30,2020-07-30,0.33,0.25,0.08,32,pre-market
2020-09-30,2020-10-29,0.67,0.46,0.21,45.6522,pre-market
2020-12-31,2021-02-09,0.31,0.36,-0.05,-13.8889,pre-market
2021-03-31,2021-04-29,0.48,0.37,0.11,29.7297,pre-market
2021-06-30,2021-07-29,0.64,0.55,0.09,16.3636,pre-market
2021-09-30,2021-10-28,0.71,0.66,0.05,7.5758,pre-market
2021-12-31,2022-02-08,0.44,0.39,0.05,12.8205,pre-market
2022-03-31,2022-04-28,0.54,0.47,0.07,14.8936,pre-market
2022-06-30,2022-07-28,0.69,0.62,0.07,11.2903,pre-market
2022-09-30,2022-10-27,0.7,0.65,0.05,7.6923,pre-market
2022-12-31,2023-02-07,0.4,0.4,0,0,pre-market
2023-03-31,2023-04-25,0.52,0.48,0.04,8.3333,post-market
2023-06-30,2023-07-27,0.79,0.77,0.02,2.5974,pre-market
2023-09-30,2023-10-26,0.89,0.79,0.1,12.6582,pre-market
2023-12-31,2024-02-06,0.53,0.51,0.02,3.9216,pre-market
2024-03-31,2024-04-25,0.29,0.48,-0.19,-39.5833,pre-market
2024-06-30,2024-07-25,0.87,0.85,0.02,2.3529,pre-market
2024-09-30,2024-10-24,0.77,0.79,-0.02,-2.5316,pre-market
2024-12-31,2025-02-11,0.54,0.48,0.06,12.5,pre-market
2025-03-31,2025-05-01,0.47,0.4,0.07,17.5,pre-market
2025-06-30,2025-07-29,0.92,0.9,0.02,2.2222,pre-market
2025-09-30,2025-10-28,0.67,0.57,0.1,17.5439,pre-market
2025-12-31,2026-02-05,0.34,0.36,-0.02,-5.5556,pre-market
2026-03-31,2026-04-30,0.57,0.51,0.06,11.7647,pre-market
