fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-03-31,USD,47069000000,22790000000,1108000000,1108000000,5224000000,13968000000,24279000000,7884000000,None,424000000,424000000,1451000000,None,None,None,2490000000,None,38637000000,19092000000,3471000000,None,None,10068000000,19545000000,None,15370000000,None,None,25745000000,5158000000,None,8432000000,-5193000000,11808000000,1859000000,678000000
2006-06-30,USD,49905000000,24331000000,648000000,648000000,6254000000,14900000000,25574000000,8281000000,None,655000000,655000000,1834000000,None,None,None,2529000000,None,41272000000,21127000000,3936000000,None,None,11353000000,20145000000,None,15939000000,None,None,27292000000,5197000000,None,8633000000,-6613000000,13330000000,2393000000,688500000
2006-09-30,USD,50483000000,24096000000,553000000,553000000,6411000000,14622000000,26387000000,8424000000,None,646000000,646000000,1877000000,None,None,None,2510000000,None,41455000000,18685000000,3857000000,None,None,9266000000,22770000000,None,18145000000,None,None,27411000000,4877000000,None,9028000000,-7031000000,14100000000,2441000000,677200000
2006-12-31,USD,51449000000,23663000000,530000000,530000000,6351000000,15411000000,27786000000,8851000000,None,387000000,387000000,1904000000,None,None,None,1371000000,None,44590000000,19822000000,4085000000,None,None,9616000000,24768000000,None,17680000000,None,None,27296000000,5200000000,None,6859000000,-7352000000,14593000000,2465000000,643900000
2007-03-31,USD,52248000000,23958000000,607000000,607000000,7131000000,14716000000,28290000000,8892000000,None,460000000,460000000,1940000000,None,None,102000000,1504000000,None,44756000000,19950000000,4044000000,None,None,10339000000,24806000000,None,17017000000,None,None,27356000000,5567000000,None,7492000000,-7789000000,15550000000,2518000000,665200000
2007-06-30,USD,53506000000,24130000000,562000000,562000000,7106000000,14656000000,29376000000,9127000000,None,467000000,467000000,1937000000,None,None,97000000,1806000000,None,45675000000,19805000000,4130000000,None,None,9601000000,25870000000,None,17955000000,None,None,27556000000,6074000000,None,7831000000,-8154000000,15951000000,2655000000,662800000
2007-09-30,USD,54799000000,24922000000,910000000,910000000,7187000000,15080000000,29877000000,9436000000,None,456000000,456000000,1937000000,None,None,99000000,1745000000,None,46191000000,21073000000,4426000000,None,None,10302000000,25118000000,None,17153000000,None,None,27455000000,6345000000,None,8608000000,-8547000000,16877000000,2759000000,660000000
2007-12-31,USD,56132000000,25477000000,1122000000,1122000000,7204000000,15752000000,30655000000,9997000000,None,475000000,475000000,1963000000,None,None,95000000,1399000000,None,47136000000,22245000000,4723000000,None,None,10600000000,24891000000,None,17829000000,None,None,28429000000,5480000000,None,8883000000,-9451000000,17398000000,2744000000,617500000
2008-03-31,USD,58204000000,26907000000,777000000,777000000,8082000000,16831000000,31297000000,10050000000,None,454000000,454000000,1963000000,None,None,85000000,1217000000,None,48986000000,24316000000,5156000000,None,None,12151000000,24670000000,None,17654000000,None,None,29805000000,7009000000,None,9218000000,-10115000000,18289000000,2754000000,637900000
2008-06-30,USD,60453000000,27858000000,782000000,782000000,8303000000,17322000000,32595000000,10394000000,None,492000000,492000000,1994000000,None,None,86000000,1451000000,None,50983000000,26394000000,5357000000,None,None,13353000000,24589000000,None,17643000000,None,None,30996000000,7684000000,None,9470000000,-10730000000,18918000000,2897000000,635500000
2008-09-30,USD,64229000000,30524000000,2138000000,2138000000,9290000000,17674000000,33705000000,11817000000,None,536000000,536000000,2234000000,None,None,76000000,1422000000,None,54120000000,27360000000,5149000000,None,None,14370000000,26760000000,None,19794000000,None,None,34164000000,7841000000,None,9645000000,-11109000000,19673000000,2993000000,624800000
2008-12-31,USD,67782000000,31885000000,2736000000,2736000000,8781000000,18128000000,36149000000,12524000000,None,511000000,511000000,2261000000,None,None,51000000,2240000000,None,61068000000,25625000000,4827000000,None,None,12701000000,35443000000,None,22834000000,None,None,35535000000,6199000000,None,6087000000,-11217000000,19826000000,3057000000,602100000
2009-03-31,USD,64440000000,29672000000,3566000000,3566000000,7992000000,16066000000,34768000000,12342000000,None,492000000,492000000,2256000000,None,None,38000000,2048000000,None,58104000000,22089000000,3340000000,None,None,11425000000,36015000000,None,23466000000,None,None,34891000000,7324000000,None,6234000000,-11214000000,19694000000,3086000000,602100000
2009-06-30,USD,62092000000,27383000000,3991000000,3991000000,7160000000,14644000000,34709000000,12226000000,None,485000000,485000000,2264000000,None,None,27000000,1588000000,None,54236000000,19490000000,2682000000,None,None,9738000000,34746000000,None,23558000000,None,None,33296000000,5524000000,None,7275000000,-10745000000,19579000000,3347000000,619800000
2009-09-30,USD,60838000000,26223000000,4188000000,4188000000,6815000000,13524000000,34615000000,12250000000,None,474000000,474000000,2272000000,None,968000000,26000000,1696000000,None,52756000000,17957000000,2714000000,None,None,9047000000,34799000000,None,17360000000,None,None,32116000000,6196000000,17008000000,7976000000,10702000000,20026000000,3392000000,635500000
2009-12-31,USD,60038000000,27217000000,4867000000,4867000000,6360000000,13912000000,33249000000,12386000000,None,465000000,465000000,2269000000,None,1076000000,43000000,2078000000,None,50738000000,18975000000,2993000000,None,None,9784000000,31763000000,None,16195000000,None,None,31631000000,4981000000,15251000000,8740000000,-10646000000,19711000000,3439000000,626400000
2010-03-31,USD,58836000000,26412000000,3538000000,3538000000,6990000000,14191000000,32424000000,12057000000,None,488000000,488000000,2284000000,None,855000000,55000000,1693000000,None,49814000000,18417000000,3431000000,None,None,8622000000,31397000000,None,16413000000,None,None,30170000000,6364000000,14532000000,8942000000,-10595000000,19941000000,3482000000,643500000
2010-06-30,USD,58793000000,27376000000,3597000000,3597000000,7339000000,14434000000,31417000000,11763000000,None,485000000,485000000,2292000000,None,1304000000,63000000,2006000000,None,49089000000,19784000000,3975000000,None,None,8927000000,29305000000,None,15398000000,None,None,29153000000,5478000000,13907000000,9185000000,-10539000000,20133000000,3636000000,647000000
2010-09-30,USD,61642000000,28577000000,2265000000,2265000000,9006000000,15328000000,33065000000,12065000000,None,824000000,824000000,2634000000,None,1116000000,70000000,1978000000,None,51310000000,20178000000,4970000000,None,None,8271000000,31132000000,None,15800000000,None,None,28608000000,5467000000,15332000000,9837000000,-10463000000,20955000000,3757000000,651600000
2010-12-31,USD,64020000000,31810000000,3592000000,3592000000,9587000000,16792000000,32210000000,12539000000,None,805000000,805000000,2614000000,None,957000000,75000000,1839000000,None,53156000000,22020000000,5856000000,None,None,7981000000,31136000000,None,15932000000,None,None,28418000000,6352000000,14743000000,10824000000,-10397000000,21384000000,3888000000,641400000
2011-03-31,USD,66387000000,34608000000,4869000000,4869000000,10676000000,17288000000,31779000000,12219000000,None,794000000,794000000,2608000000,None,626000000,72000000,1775000000,None,53256000000,23147000000,5990000000,None,None,9691000000,30109000000,None,15428000000,None,None,29586000000,5738000000,14681000000,12629000000,-10331000000,22640000000,4044000000,664900000
2011-06-30,USD,73611000000,40755000000,10715000000,10715000000,11359000000,17033000000,32856000000,12430000000,None,775000000,775000000,2610000000,None,1146000000,76000000,1648000000,None,59715000000,23510000000,6858000000,None,None,8456000000,36205000000,None,17013000000,None,None,34382000000,6373000000,19192000000,13391000000,-10311000000,23081000000,4165000000,667200000
2011-09-30,USD,77767000000,36864000000,3229000000,3229000000,14412000000,17306000000,40903000000,13397000000,None,4529000000,4529000000,7778000000,None,1404000000,78000000,1917000000,None,63063000000,25218000000,7524000000,None,None,7508000000,37845000000,None,17878000000,None,None,34289000000,7441000000,19967000000,14162000000,-10299000000,24251000000,4229000000,666000000
2011-12-31,USD,81218000000,37900000000,3057000000,3057000000,14544000000,17725000000,43318000000,14395000000,None,4368000000,4368000000,7080000000,None,1263000000,70000000,2574000000,None,68289000000,28357000000,8161000000,None,None,9648000000,39932000000,None,16529000000,None,None,34592000000,8061000000,22954000000,12883000000,-10281000000,25219000000,4273000000,650000000
2012-03-31,USD,83908000000,40209000000,2864000000,2864000000,16511000000,18301000000,43699000000,14571000000,None,4287000000,4287000000,7081000000,None,1041000000,0,2533000000,None,68437000000,28849000000,8360000000,None,None,10762000000,39588000000,None,16780000000,None,None,35953000000,6806000000,22808000000,14969000000,-10164000000,26815000000,4351000000,670200000
2012-06-30,USD,88838000000,44294000000,5103000000,5103000000,17344000000,18826000000,44544000000,14928000000,None,4236000000,4236000000,7320000000,None,927000000,0,3021000000,None,72857000000,31273000000,8470000000,None,None,12055000000,41584000000,None,18092000000,None,None,39316000000,7616000000,23492000000,15926000000,-10139000000,27842000000,4373000000,669600000
2012-09-30,USD,90541000000,44639000000,5689000000,5689000000,17550000000,18679000000,45902000000,15509000000,None,4166000000,4166000000,7372000000,None,1621000000,0,2721000000,None,72605000000,31746000000,7978000000,None,None,13326000000,40859000000,None,17516000000,None,None,39852000000,7407000000,23343000000,17884000000,-10118000000,29541000000,4449000000,668700000
2012-12-31,USD,88970000000,42138000000,5490000000,5490000000,15547000000,18566000000,46832000000,16461000000,None,4016000000,4016000000,6942000000,None,1588000000,162000000,2535000000,None,71388000000,29415000000,6753000000,None,None,12391000000,41973000000,None,19086000000,None,None,40143000000,7633000000,22933000000,17532000000,-10074000000,29558000000,4481000000,669300000
2013-03-31,USD,88743000000,42145000000,5982000000,5982000000,15074000000,18673000000,46598000000,16276000000,None,3875000000,3875000000,6840000000,None,1441000000,258000000,2416000000,None,70425000000,28974000000,6221000000,None,None,13246000000,41451000000,None,18572000000,None,None,40486000000,6587000000,22879000000,18274000000,-10005000000,30438000000,4510000000,671600000
2013-06-30,USD,87375000000,40805000000,6110000000,6110000000,13889000000,18342000000,46570000000,16352000000,None,3764000000,3764000000,6814000000,None,1518000000,293000000,2464000000,None,69697000000,29919000000,6343000000,None,None,13871000000,39778000000,None,17731000000,None,None,39551000000,6967000000,22047000000,17621000000,-10940000000,30668000000,4591000000,662700000
2013-09-30,USD,87272000000,40088000000,6357000000,6357000000,13392000000,17810000000,47184000000,16588000000,None,3718000000,3718000000,6968000000,None,1607000000,264000000,2529000000,None,69095000000,29119000000,6280000000,None,None,13522000000,39976000000,None,18064000000,None,None,39537000000,6618000000,21912000000,18110000000,-11914000000,31614000000,4657000000,651900000
2013-12-31,USD,84896000000,38335000000,6081000000,6081000000,12625000000,17176000000,46593000000,17075000000,None,3596000000,3596000000,6956000000,None,1669000000,241000000,2453000000,None,64018000000,27297000000,6560000000,None,None,11031000000,36721000000,None,18720000000,None,None,37750000000,7346000000,18001000000,20811000000,-11854000000,31854000000,4709000000,649600000
2014-03-31,USD,84397000000,37968000000,5345000000,5345000000,12888000000,17399000000,46429000000,16716000000,None,3509000000,3509000000,6986000000,None,1550000000,242000000,2336000000,None,64028000000,27295000000,6731000000,None,None,11290000000,36733000000,None,26801000000,None,None,38091000000,6774000000,9932000000,20305000000,-13442000000,32775000000,4773000000,639300000
2014-06-30,USD,87827000000,41276000000,7927000000,7927000000,13055000000,17524000000,46551000000,16690000000,None,3398000000,3398000000,6969000000,None,1807000000,605000000,2770000000,None,66904000000,29741000000,6860000000,None,None,12936000000,37163000000,None,27307000000,None,None,40243000000,7601000000,9856000000,20856000000,-13312000000,32961000000,4890000000,638300000
2014-09-30,USD,84488000000,39042000000,6082000000,6082000000,13328000000,17012000000,45446000000,16431000000,None,3210000000,3210000000,6801000000,None,16429000000,522000000,2620000000,None,65592000000,27589000000,6778000000,None,None,11102000000,38003000000,None,28180000000,None,None,39282000000,7544000000,9823000000,18823000000,-15765000000,33977000000,4968000000,622800000
2014-12-31,USD,84681000000,38867000000,7341000000,7341000000,12205000000,16764000000,45814000000,16577000000,None,3076000000,3076000000,6694000000,None,16265000000,135000000,2557000000,None,67855000000,27877000000,6515000000,None,None,11501000000,39978000000,None,27784000000,510000000,None,39285000000,8164000000,12194000000,16746000000,-15726000000,33887000000,5016000000,616000000
2015-03-31,USD,82490000000,38491000000,7563000000,7563000000,12099000000,16623000000,43999000000,16277000000,None,2890000000,2890000000,6493000000,None,15195000000,116000000,2206000000,None,65452000000,26566000000,6328000000,None,None,11972000000,38886000000,None,26803000000,None,None,38775000000,6630000000,12083000000,16962000000,-16036000000,34998000000,5101000000,612700000
2015-06-30,USD,82242000000,38227000000,7821000000,7821000000,11681000000,16425000000,44015000000,16136000000,None,2863000000,2863000000,6550000000,None,15217000000,126000000,2300000000,None,65081000000,25606000000,5862000000,None,None,10875000000,39475000000,None,27445000000,None,None,38320000000,7115000000,12030000000,17092000000,-16144000000,34823000000,5142000000,610700000
2015-09-30,USD,78969000000,35280000000,6046000000,6046000000,11150000000,15645000000,43689000000,15955000000,None,2841000000,2841000000,6546000000,None,15048000000,146000000,2439000000,None,63001000000,25833000000,5206000000,None,None,12335000000,37168000000,None,25208000000,None,None,37543000000,6682000000,11960000000,15896000000,-17642000000,35191000000,5190000000,594800000
2015-12-31,USD,78342000000,33508000000,6460000000,6460000000,9700000000,15686000000,44834000000,16090000000,None,2821000000,2821000000,6615000000,None,15067000000,176000000,1662000000,None,63457000000,26242000000,5023000000,None,None,12844000000,37215000000,None,25247000000,517000000,None,38091000000,7229000000,12062000000,14809000000,-17640000000,29246000000,5238000000,582300000
2016-03-31,USD,78307000000,33748000000,5886000000,5886000000,9849000000,16166000000,44559000000,15935000000,None,2741000000,2741000000,6710000000,None,14686000000,234000000,1847000000,None,62554000000,26215000000,5101000000,None,None,13893000000,36339000000,None,24470000000,13893000000,None,38363000000,5893000000,11869000000,15676000000,-17595000000,29517000000,5247000000,587700000
2016-06-30,USD,78300000000,33606000000,6764000000,6764000000,9458000000,15527000000,44694000000,15916000000,None,2652000000,2652000000,6677000000,None,14869000000,239000000,1857000000,None,62997000000,27183000000,5104000000,None,None,14343000000,35814000000,None,23980000000,14343000000,None,38323000000,6477000000,11834000000,15232000000,-17579000000,29167000000,5277000000,588600000
2016-09-30,USD,76402000000,31999000000,6113000000,6113000000,9478000000,14516000000,44403000000,15680000000,None,2453000000,2453000000,6725000000,None,14937000000,238000000,1892000000,None,60687000000,25290000000,4713000000,None,None,13488000000,35397000000,None,23622000000,13488000000,None,37110000000,5928000000,11775000000,15645000000,-17544000000,29450000000,5266000000,589600000
2016-12-31,USD,74704000000,31967000000,7168000000,7168000000,8614000000,14503000000,42737000000,15322000000,None,2349000000,2349000000,6020000000,None,14585000000,220000000,1682000000,None,61491000000,26132000000,4614000000,None,None,13965000000,35359000000,None,22818000000,507000000,None,36783000000,6386000000,12541000000,13137000000,-17478000000,27377000000,5277000000,585800000
2017-03-31,USD,77549000000,35548000000,9472000000,9472000000,9082000000,15217000000,42001000000,14727000000,None,2287000000,2287000000,6051000000,None,14370000000,263000000,1777000000,None,63889000000,27635000000,5302000000,None,None,14557000000,36254000000,None,23725000000,14557000000,None,38282000000,6393000000,12529000000,13588000000,-17391000000,27584000000,5222000000,593200000
