fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-12-31,USD,24098000,135359000,111261000,111261000,6047000,None,None,18051000,None,None,None,1997000,None,None,None,1229000,4862000,1768000,None,None,None,5235000,6464000,3094000
2007-12-31,USD,40405000,235953000,195548000,195548000,12634000,None,None,27771000,None,None,None,1978000,None,None,None,1623000,10666000,4361000,None,None,None,12624000,14247000,6305000
2008-12-31,USD,43391000,217890000,174499000,174499000,8195000,None,None,35196000,None,None,None,1479000,None,None,None,3176000,7636000,2626000,None,None,None,10104000,13280000,5010000
2009-12-31,USD,30942000,138985000,108043000,108043000,-15830000,None,None,29662000,None,None,None,1321000,None,None,None,759000,-17911000,-3144000,None,None,None,-14830000,-14071000,-15032000
2010-12-31,USD,32653000,140602000,107949000,107949000,5036000,1095519000,None,27617000,None,None,None,1225000,None,None,None,1758000,3676000,1371000,None,None,None,4901000,6659000,2105000
2011-12-31,USD,38168000,139192000,101024000,101024000,12368000,None,None,25800000,None,None,None,1137000,None,None,None,1399000,11723000,3411000,None,None,None,12860000,14259000,8272000
2012-12-31,USD,42443000,135052000,92609000,92609000,16683000,25229000,None,25760000,None,None,None,1168000,None,None,None,331000,15363000,4513000,None,None,None,17450000,17781000,10850000
2013-12-31,USD,61555000,197317000,135762000,135762000,6972000,40598000,None,47359000,None,None,None,1499000,None,None,None,6761000,6455000,-102000,None,None,None,7840000,14601000,6557000
2014-12-31,USD,84823000,263217000,178394000,178394000,22413000,51740000,None,61141000,None,None,None,3138000,None,None,None,10151000,16964000,3887000,None,None,None,24949000,35100000,13077000
2015-12-31,USD,111562000,370076000,258514000,258514000,5383000,68286000,None,94899000,None,None,None,5964000,None,None,None,25613000,-2662000,3072000,None,None,None,19458000,45071000,-5602000
2016-12-31,USD,134859000,417011000,282152000,282152000,-25562000,81743000,None,101974000,None,None,None,7712000,None,None,None,18903000,-32964000,5290000,None,None,None,-25252000,-6349000,-38218000
2017-12-31,USD,113194000,345051000,231857000,231857000,8024000,404965000,None,96107000,None,None,None,6721000,None,None,None,16088000,1409000,4438000,None,None,None,10477000,26565000,-3029000
2018-12-31,USD,111537000,337339000,225802000,225802000,10002000,390707000,None,97145000,None,-7140000,None,7140000,None,None,None,13100000,2497000,9618000,None,-7121000,None,9637000,22737000,-7121000
2019-12-31,USD,114099000,341869000,227770000,227770000,17990000,85978000,None,96109000,None,-5397000,None,5397000,None,None,None,10609000,13344000,-4363000,None,17707000,None,18741000,29350000,17707000
2020-12-31,USD,105128000,316011000,210883000,210883000,13346000,76926000,None,91782000,None,-3535000,None,3535000,None,None,None,9921000,11844000,3672000,None,8172000,None,15379000,25300000,8211000
2021-12-31,USD,100922000,324140000,223218000,223218000,9857000,81097000,None,91065000,None,-2952000,None,2952000,None,None,None,9853000,4674000,2691000,None,1983000,None,12040000,21893000,1426000
2022-12-31,USD,128225000,422627000,294402000,294402000,22161000,92973000,None,106064000,None,-5419000,None,5419000,None,6947000,None,10614000,23689000,5426000,None,18263000,None,27714000,38328000,17417000
2023-12-31,USD,171016000,544845000,373829000,373829000,34569000,122344000,None,136447000,None,-13416000,None,13416000,None,None,None,12507000,21525000,7024000,None,14501000,None,34941000,47448000,12911000
2024-12-31,USD,196147000,557933000,361786000,361786000,35403000,145998000,None,160744000,None,-13020000,None,13020000,None,None,None,14523000,17691000,3270000,None,14421000,None,30711000,45234000,12957000
2025-12-31,USD,253060000,774381000,521321000,521321000,51713000,200728000,None,201347000,None,-20913000,None,20913000,None,None,None,24882000,82845000,29738000,None,53107000,None,103758000,128640000,50051000
