fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-03-31,USD,255057000,1499115000,1244058000,1244058000,92434000,162623000,0,162623000,None,None,None,0,None,None,None,5567000,95099000,36985000,None,0,None,92434000,98001000,58114000
2006-06-30,USD,270619000,1700997000,1430378000,1430378000,103918000,166701000,0,166701000,None,None,None,0,None,None,None,5980000,106795000,40201000,None,0,None,103918000,109898000,66594000
2006-09-30,USD,278346000,1713491000,1435145000,1435145000,111118000,167228000,0,167228000,None,None,None,0,None,None,None,6195000,114089000,43699000,None,0,None,111118000,117313000,70390000
2006-12-31,USD,278522000,1642591000,1364069000,1364069000,110375000,168147000,0,168147000,None,None,None,0,None,None,None,6190000,113705000,41878000,None,0,None,110375000,116565000,71827000
2007-03-31,USD,296930000,1619325000,1322395000,1322395000,115189000,181741000,0,181741000,None,None,None,0,None,None,None,6552000,118785000,45820000,None,0,None,115189000,121741000,72965000
2007-06-30,USD,310898000,1879726000,1568828000,1568828000,129794000,181104000,0,181104000,None,None,None,0,None,None,None,6610000,133224000,50925000,None,0,None,129794000,136404000,82299000
2007-09-30,USD,313196000,1865150000,1551954000,1551954000,131828000,181368000,0,181368000,None,None,None,0,None,None,None,6903000,135295000,51552000,None,0,None,131828000,138731000,83743000
2007-12-31,USD,322754000,1952022000,1629268000,1629268000,132873000,189881000,0,189881000,None,None,None,0,None,None,None,7301000,136210000,50956000,None,0,None,132873000,140174000,85254000
2008-03-31,USD,338029000,1985212000,1647183000,1647183000,136077000,201952000,0,201952000,None,None,None,0,None,None,None,7663000,138551000,52233000,None,0,None,136077000,143740000,86318000
2008-06-30,USD,341186000,2321706000,1980520000,1980520000,144506000,196680000,0,196680000,None,None,None,0,None,None,None,7707000,146215000,55797000,None,0,None,144506000,152213000,90418000
2008-09-30,USD,351588000,2316593000,1965005000,1965005000,148619000,202969000,0,202969000,None,None,None,0,None,None,None,7828000,150214000,56654000,None,0,None,148619000,156447000,93560000
2008-12-31,USD,344160000,1955103000,1610943000,1610943000,142384000,201776000,0,201776000,None,None,None,0,None,None,None,7966000,143407000,54526000,None,0,None,142384000,150350000,88881000
2009-03-31,USD,338603000,1688000000,1349397000,1349397000,137368000,201235000,0,201235000,None,None,None,0,None,None,None,7481000,137858000,52475000,None,0,None,137368000,144849000,85383000
2009-06-30,USD,351704000,1926020000,1574316000,1574316000,149884000,201820000,0,201820000,None,None,None,729000,None,None,None,7173000,150613000,58360000,None,92253000,None,149884000,157057000,92253000
2009-09-30,USD,352566000,1954803000,1602237000,1602237000,154801000,197765000,0,197765000,None,None,None,439000,None,None,None,7541000,155240000,59780000,None,95460000,None,154801000,162342000,95460000
2009-12-31,USD,339086000,2008366000,1669280000,1669280000,142758000,196328000,0,196328000,None,None,None,0,None,None,None,8319000,143350000,55616000,None,0,None,142758000,151077000,87734000
2010-03-31,USD,332601000,2074617000,1742016000,1742016000,136007000,196594000,0,196594000,None,None,None,474000,None,None,None,7559000,136481000,52469000,None,84012000,None,136007000,143566000,84012000
2010-06-30,USD,364633000,2453982000,2089349000,2089349000,156455000,208178000,0,208178000,None,None,None,363000,None,None,None,7142000,156818000,59592000,None,97226000,None,156455000,163597000,97226000
2010-09-30,USD,382580000,2420357000,2037777000,2037777000,166333000,216247000,0,216247000,None,None,None,149000,None,None,None,7412000,166482000,63855000,None,102627000,None,166333000,173745000,102627000
