fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-12-31,USD,731256000,2256889000,1525633000,1525633000,247936000,None,None,-1745680000,None,None,None,23015000,None,None,None,54285000,239334000,73447000,None,None,None,2476936000,2531221000,165887000
2007-12-31,USD,843014000,2619171000,1776157000,1776157000,-107656000,None,None,969753000,None,None,None,27404000,None,None,None,61310000,-118895000,-56553000,None,None,None,-91491000,-30181000,-62342000
2008-12-31,USD,853271000,2604307000,1751036000,1751036000,197489000,None,None,2406818000,None,None,None,25799000,None,None,None,57162000,183852000,48694000,None,None,None,209446000,266608000,135158000
2009-12-31,USD,730313000,2196343000,1466030000,1466030000,208269000,531210000,None,589414000,None,None,None,27139000,None,None,None,58204000,184926000,50846000,None,None,None,212065000,270269000,133856000
2010-12-31,USD,745223000,2217825000,1472602000,1472602000,235162000,523387000,None,583228000,None,None,None,26841000,None,None,None,59841000,210929000,56739000,None,None,None,235908000,295749000,154170000
2011-12-31,USD,862774000,2545867000,1683093000,1683093000,42264000,None,None,820510000,None,None,None,26255000,None,None,None,62943000,20454000,-6062000,None,None,None,41016000,103959000,26315000
2012-12-31,USD,869119000,2579068000,1709949000,1709949000,328904000,None,66900000,559562000,None,None,None,26831000,None,None,None,57263000,284605000,88416000,None,None,None,328904000,386167000,216993000
2013-12-31,USD,883500000,2595300000,1711800000,1711800000,347900000,None,52700000,535600000,None,None,None,26460000,None,None,None,54800000,326000000,105100000,None,None,None,370700000,425500000,219502000
2014-12-31,USD,1016300000,2925000000,1908700000,1908700000,316300000,None,68000000,700000000,None,None,None,39222000,None,None,None,75800000,281200000,87600000,None,None,None,355300000,431100000,192672000
2015-12-31,USD,954400000,2740500000,1786100000,1786100000,372900000,None,62800000,581500000,None,None,None,37600000,None,None,None,67000000,336500000,106500000,None,None,None,387900000,454900000,228900000
2016-12-31,USD,989700000,2748000000,1758300000,1758300000,186700000,None,61500000,803000000,None,None,None,36500000,None,None,None,67400000,164100000,40300000,None,None,None,365500000,432900000,122800000
2017-12-31,USD,1015100000,2786000000,1770900000,1770900000,388400000,None,58500000,626700000,None,None,None,36100000,None,None,None,72700000,367500000,195000000,None,None,None,423100000,495800000,171800000
2018-12-31,USD,1189300000,3345500000,2156200000,2156200000,441300000,None,89100000,748000000,None,None,None,50900000,None,None,None,120000000,411400000,75900000,None,None,None,498700000,618700000,335600000
2019-12-31,USD,1179000000,3283100000,2104100000,2104100000,210400000,720700000,74700000,968600000,None,-44100000,2700000,46800000,None,None,None,113500000,170700000,37100000,None,133600000,None,448500000,562000000,133300000
2020-12-31,USD,1006200000,2936900000,1930700000,1930700000,262899999,737600000,74600000,743300000,None,-53300000,2000000,55300000,None,None,None,127500000,224500000,43400000,None,181100000,None,290400000,417900000,181000000
2021-12-31,USD,688800000,2062900000,1374100000,1374100000,221700000,738800000,49500000,467100000,None,-45500000,1400000,46900000,None,None,None,38400000,233700000,36300000,None,394300000,None,199500000,237900000,435400000
2022-12-31,USD,661200000,1776700000,1115500000,1115500000,5300000,807900000,48300000,655900000,None,-48800000,3400000,10100000,None,None,None,33700000,236500000,70100000,None,410600000,None,153700000,187400000,401100000
2023-12-31,USD,751000000,1862100000,1111100000,1111100000,250400000,805000000,54800000,500600000,None,-60200000,4300000,22700000,None,None,None,35400000,233100000,57200000,None,423700000,None,277500000,312900000,255900000
2024-12-31,USD,867800000,2131199999,1263400000,1263400000,355800000,512000000,46100000,511999999,None,-21700000,5500000,27200000,None,None,None,51000000,338500000,70300000,None,268200000,None,340900000,391900000,294700000
2025-12-31,USD,972800000,2305000000,1332200000,1332200000,424200000,548600000,None,548600000,None,-100000,100000,11300000,None,None,None,50200000,432800000,101100000,None,331700000,None,444100000,494300000,366600000
