fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-06-30,USD,1887900000,999300000,413400000,413400000,224300000,235800000,888600000,541100000,None,20100000,20100000,46400000,None,None,141800000,44600000,None,941600000,271400000,137400000,None,None,200000,670200000,None,333100000,None,None,333300000,133800000,None,946300000,-37300000,549800000,132500000,52200000
2007-06-30,USD,2025700000,1255700000,300800000,300800000,235000000,303200000,770000000,537400000,None,19200000,19200000,46400000,None,None,372700000,44000000,None,958000000,366200000,215900000,None,None,33200000,591800000,None,299500000,None,None,332700000,115000000,None,1067700000,-65700000,751300000,136400000,52500000
2008-06-30,USD,1712200000,966700000,403300000,403300000,209000000,285100000,745500000,583800000,None,19800000,19800000,35200000,None,None,5300000,64000000,None,873000000,325600000,158400000,None,None,23000000,547400000,None,276700000,None,None,299700000,144200000,None,839200000,-484000000,996600000,273000000,48700000
2009-06-30,USD,1497400000,749700000,340100000,340100000,185400000,130800000,747700000,634100000,None,18700000,18700000,35200000,None,None,15000000,78400000,None,880400000,198500000,70200000,None,None,20000000,681900000,None,258600000,None,None,278600000,108300000,None,617000000,-531500000,1013000000,273100000,44200000
2010-06-30,USD,1583200000,820200000,265400000,265400000,203600000,188500000,763000000,617500000,None,17600000,17600000,35200000,None,None,105200000,57500000,None,1009800000,218100000,130500000,None,None,None,791700000,None,259600000,None,None,259600000,87600000,None,573400000,-535200000,983200000,273200000,44400000
2011-06-30,USD,1991900000,1157600000,492500000,492500000,328600000,259400000,834300000,662900000,None,30000000,30000000,44900000,None,None,30500000,46600000,None,1215900000,395400000,170500000,None,None,100000000,820500000,None,407800000,None,None,507800000,124900000,364400000,765700000,-532200000,1022100000,273700000,44700000
2012-06-30,USD,2627800000,1249700000,211000000,211000000,642000000,354200000,1378100000,924600000,None,109900000,109900000,260500000,None,None,0,42500000,None,1514700000,554200000,236100000,None,None,101000000,960500000,None,305900000,None,None,406900000,217100000,623200000,1103800000,-120000000,1109600000,274000000,47800000
2013-06-30,USD,2882900000,1281500000,257500000,257500000,659200000,342000000,1601400000,1168400000,None,95000000,95000000,257700000,None,None,0,22800000,None,1579800000,421200000,252700000,None,None,None,1158600000,None,604200000,None,None,604200000,155200000,481100000,1303100000,-107500000,1217300000,274600000,53400000
2014-06-30,USD,3056500000,1193500000,120000000,120000000,699200000,339600000,1863000000,1407000000,None,80600000,80600000,257700000,None,None,0,34700000,None,1552200000,429600000,278100000,None,None,139300000,1122600000,None,604300000,604300000,None,743600000,4700000,407600000,1504300000,-101400000,1311600000,275800000,53600000
2015-06-30,USD,2905900000,1070400000,70000000,70000000,655800000,304100000,1835500000,1397000000,None,71600000,71600000,257400000,None,2700000,1500000,37200000,None,1580000000,322100000,169500000,None,None,111300000,1257900000,None,607100000,603800000,None,718400000,32700000,504300000,1325900000,-221100000,1332400000,276200000,52700000
