fiscalDateEnding,reportedEPS
1996-06-30,1.76
1997-06-30,1.21
1998-06-30,1.93
1999-06-30,0.99
2000-06-30,1.11
2001-06-30,0.97
2002-06-30,0.03
2003-06-30,0.1
2004-06-30,0.6312
2005-06-30,2.31
2006-06-30,4.05
2007-06-30,4.59
2008-06-30,4.43
2009-06-30,1.25
2010-06-30,0.36
2011-06-30,1.74
2012-06-30,2.84
2013-06-30,2.81
2014-06-30,2.48
2015-06-30,1.54
2016-06-30,1.15
2017-06-30,1.1
2018-06-30,2.51
2019-06-30,3.46
2020-06-30,2.15
2021-06-30,-2.01
2022-06-30,-1.0066
2023-06-30,1.15
2024-06-30,4.74
2025-06-30,7.48
2026-03-31,7.53
