fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-12-31,USD,25129000000,2672000000,461000000,461000000,204000000,1174000000,22457000000,20923000000,None,73000000,73000000,73000000,None,None,439000000,394000000,None,16098000000,2522000000,974000000,None,None,600000000,13576000000,None,5362000000,None,None,5962000000,834000000,None,8942000000,None,7427000000,438000000,4193406000
2007-12-31,USD,25534000000,2491000000,368000000,368000000,240000000,1174000000,23043000000,21780000000,None,64000000,64000000,64000000,None,None,346000000,363000000,None,16849000000,2671000000,976000000,None,None,787000000,14178000000,None,6470000000,None,None,7257000000,795000000,None,8685000000,None,8565000000,408000000,4034520000
2008-12-31,USD,26288000000,2391000000,669000000,669000000,217000000,1107000000,23897000000,22688000000,None,64000000,64000000,64000000,None,None,76000000,322000000,None,18240000000,2404000000,973000000,None,None,320000000,15836000000,None,7512000000,None,None,7831000000,987000000,None,8048000000,None,8398000000,391000000,3677580000
2009-12-31,USD,27036000000,2570000000,1029000000,1029000000,203000000,995000000,24466000000,23213000000,7868000000,64000000,64000000,64000000,None,438000000,61000000,282000000,None,18176000000,1865000000,967000000,None,None,113000000,16311000000,None,7895000000,None,None,8008000000,673000000,1831000000,8846000000,0,9182000000,393000000,3561174000
2010-12-31,USD,28141000000,2855000000,1292000000,1292000000,218000000,993000000,25286000000,23799000000,None,70000000,70000000,70000000,None,None,54000000,298000000,None,19441000000,2537000000,1046000000,None,None,613000000,16904000000,None,8051000000,None,None,8664000000,793000000,None,8686000000,0,9087000000,370000000,3462000000
2011-12-31,USD,29473000000,2935000000,783000000,783000000,240000000,1129000000,26538000000,24974000000,-8730000000,64000000,64000000,64000000,None,1171000000,523000000,260000000,None,21005000000,2558000000,1147000000,None,None,507000000,18318000000,None,8734000000,None,None,9241000000,775000000,1983000000,8468000000,0,8275000000,1049000000,3267000000
2012-12-31,USD,30571000000,2801000000,784000000,784000000,274000000,962000000,27770000000,26050000000,-9229000000,64000000,64000000,64000000,None,1206000000,587000000,194000000,None,21569000000,2645000000,1014000000,None,None,780000000,18942000000,None,9052000000,None,None,9832000000,766000000,1794000000,9002000000,0,8876000000,1020000000,3120000000
2013-12-31,USD,31782000000,2602000000,592000000,592000000,252000000,1052000000,29180000000,27291000000,9893000000,64000000,64000000,64000000,None,1298000000,487000000,219000000,None,21278000000,2424000000,957000000,None,None,533000000,18854000000,None,9022000000,None,None,9555000000,843000000,870000000,10504000000,0,9936000000,1009000000,3057000000
2014-12-31,USD,33053000000,2572000000,669000000,669000000,273000000,1129000000,30481000000,28584000000,-10759000000,63000000,63000000,63000000,None,1356000000,292000000,209000000,None,21877000000,2107000000,845000000,None,None,228000000,19770000000,None,9514000000,228000000,None,9742000000,871000000,1398000000,11176000000,0,10734000000,992000000,3006000000
2015-12-31,USD,35039000000,2966000000,628000000,628000000,350000000,982000000,32073000000,30174000000,-11400000000,63000000,63000000,63000000,None,1394000000,810000000,70000000,None,23371000000,1952000000,764000000,None,None,20000000,21419000000,None,10515000000,20000000,None,10535000000,1060000000,1431000000,11668000000,0,11238000000,966000000,2952000000
2016-12-31,USD,35414000000,2487000000,603000000,603000000,407000000,938000000,32927000000,30923000000,None,63000000,63000000,63000000,None,1459000000,417000000,122000000,None,23720000000,2040000000,806000000,None,None,331000000,21680000000,None,10962000000,331000000,None,11293000000,774000000,1122000000,11694000000,0,11253000000,928000000,2844000000
2017-12-31,USD,35739000000,1915000000,401000000,401000000,372000000,970000000,33824000000,31440000000,None,63000000,63000000,63000000,None,1686000000,18000000,154000000,None,21018000000,1894000000,847000000,None,None,19000000,19124000000,None,11790000000,19000000,None,11809000000,871000000,916000000,14721000000,0,14084000000,890000000,2742000000
2018-12-31,USD,36729000000,2565000000,858000000,858000000,263000000,1010000000,34164000000,31998000000,None,None,None,None,None,1779000000,253000000,181000000,None,24149000000,1915000000,949000000,None,None,18000000,22234000000,None,14739000000,18000000,None,14757000000,842000000,805000000,12580000000,None,12157000000,818000000,2583000000
2019-12-31,USD,38257000000,3278000000,958000000,958000000,261000000,986000000,34979000000,32168000000,-12932000000,None,None,None,None,897000000,996000000,77000000,None,26394000000,2151000000,1043000000,None,None,245000000,24243000000,493000000,15993000000,245000000,None,16731000000,794000000,1289000000,11863000000,None,11404000000,773000000,2393999952
2020-12-31,USD,39793000000,4441000000,3129000000,3129000000,302000000,912000000,35352000000,32444000000,-13086000000,-7231000000,-7231000000,63000000,None,1985000000,2000000,96000000,None,26683000000,2019000000,809000000,None,None,401000000,24664000000,455000000,16304000000,401000000,None,17160000000,736000000,1192000000,13101000000,None,11259000000,2288000000,2303999953
2021-12-31,USD,40531000000,3873000000,2239000000,2239000000,339000000,1148000000,36658000000,33015000000,None,175000000,175000000,276000000,None,2099000000,77000000,70000000,None,27031000000,2233000000,963000000,None,None,181000000,24798000000,478000000,16185000000,181000000,None,16844000000,955000000,1230000000,13500000000,None,11630000000,2202000000,2255000000
2022-12-31,USD,41912000000,3849000000,1958000000,1958000000,341000000,1313000000,38063000000,34242000000,None,183000000,183000000,319000000,None,2292000000,129000000,108000000,None,29287000000,2471000000,1130000000,None,None,151000000,26816000000,488000000,17896000000,151000000,None,18535000000,1079000000,1351000000,12625000000,None,10363000000,2066000000,2141000000
2023-12-31,USD,42212000000,3359000000,1353000000,1353000000,440000000,1393000000,38853000000,None,None,181000000,181000000,325000000,None,2397000000,83000000,90000000,None,30227000000,3223000000,1237000000,None,None,558000000,27004000000,491000000,17975000000,558000000,None,19024000000,904000000,543000000,11980000000,None,9609000000,1959000000,2013000000
2024-12-31,USD,42764000000,2820000000,933000000,933000000,414000000,1326000000,39944000000,None,None,194000000,194000000,239000000,None,2520000000,72000000,75000000,None,30257000000,3276000000,1290000000,None,None,606000000,26981000000,486000000,17897000000,606000000,None,18989000000,872000000,560000000,12502000000,None,9988000000,1900000000,1943000000
