fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
1998-03-31,1998-03-31,0.7825,None,0,None,pre-market
1998-06-30,1998-06-30,0.6759,None,0,None,pre-market
1998-09-30,1998-09-30,0.6218,None,0,None,pre-market
1999-03-31,1999-03-31,0.9991,None,0,None,pre-market
1999-06-30,1999-06-30,0.4173,None,0,None,pre-market
1999-09-30,1999-09-30,0.7089,None,0,None,pre-market
2000-03-31,2000-03-31,0.8096,None,0,None,pre-market
2000-06-30,2000-06-30,0.892,None,0,None,pre-market
2000-09-30,2000-09-30,0.2806,None,0,None,pre-market
2001-03-31,2001-03-31,0.3508,None,0,None,pre-market
2001-06-30,2001-06-30,0.7625,None,0,None,pre-market
2001-09-30,2001-09-30,0.4415,None,0,None,pre-market
2002-03-31,2002-03-31,0.6464,None,0,None,pre-market
2002-06-30,2002-06-30,0.9336,None,0,None,pre-market
2002-09-30,2002-09-30,0.4503,None,0,None,pre-market
2003-03-31,2003-03-31,0.4816,None,0,None,pre-market
2003-06-30,2003-08-05,0.2294,None,0,None,pre-market
2003-09-30,2003-11-07,0.0056,None,0,None,pre-market
2003-12-31,2004-02-27,0.1296,None,0,None,pre-market
2004-03-31,2004-05-03,0.3012,None,0,None,pre-market
2004-06-30,2004-08-04,0.3998,None,0,None,pre-market
2004-09-30,2004-11-11,0.6227,None,0,None,pre-market
2004-12-31,2005-03-22,0.2531,None,0,None,pre-market
2005-03-31,2005-05-09,-0.0795,None,0,None,pre-market
2005-06-30,2005-08-12,-0.1578,None,0,None,pre-market
2005-09-30,2005-11-14,-0.1757,None,0,None,pre-market
2005-12-31,2006-03-30,0.0004,None,0,None,pre-market
2006-03-31,2006-05-03,0.4029,None,0,None,pre-market
2006-06-30,2006-08-11,0.485,None,0,None,pre-market
2006-09-30,2006-11-10,0.2465,None,0,None,pre-market
2006-12-31,2007-03-29,0.0255,None,0,None,pre-market
2007-03-31,2007-05-07,0.3211,None,0,None,pre-market
2007-06-30,2007-08-13,0.5417,None,0,None,pre-market
2007-09-30,2007-11-07,0.3851,None,0,None,pre-market
2007-12-31,2008-03-20,0.0634,None,0,None,pre-market
2008-03-31,2008-05-12,0.0286,None,0,None,pre-market
2008-06-30,2008-08-12,-0.0201,None,0,None,pre-market
2008-09-30,2008-11-10,-0.0201,None,0,None,pre-market
2009-03-31,2009-05-12,-0.6457,None,0,None,pre-market
2009-06-30,2009-08-12,-0.4549,None,0,None,pre-market
2009-09-30,2009-11-10,-0.26,None,0,None,pre-market
2009-12-31,2010-03-18,0.0283,None,0,None,pre-market
2010-03-31,2010-05-07,0.04,-0.16,0.2,125,pre-market
2010-06-30,2010-08-09,0.4348,None,0,None,pre-market
2010-09-30,2010-12-31,0.0477,None,0,None,pre-market
2010-12-31,2011-03-31,0.1211,None,0,None,pre-market
2011-03-31,2011-06-30,0.6081,None,0,None,pre-market
2011-06-30,2011-09-30,0.3288,None,0,None,pre-market
2011-09-30,2011-12-31,0.2409,None,0,None,pre-market
2011-12-31,2012-03-31,0.511,None,0,None,pre-market
2012-03-31,2012-06-30,0.4559,None,0,None,pre-market
2012-06-30,2012-09-30,0.4796,None,0,None,pre-market
2012-09-30,2012-12-31,0.3604,None,0,None,pre-market
2012-12-31,2013-03-31,0.4694,None,0,None,pre-market
2013-03-31,2013-06-30,0.6606,None,0,None,pre-market
2013-06-30,2013-09-30,0.849,None,0,None,pre-market
2013-09-30,2013-11-04,0.587,None,0,None,pre-market
2013-12-31,2014-03-31,0.5883,None,0,None,pre-market
2014-03-31,2014-06-30,0.589,None,0,None,pre-market
2014-06-30,2014-09-30,0.5597,None,0,None,pre-market
2014-09-30,2014-12-31,0.2833,None,0,None,pre-market
2014-12-31,2015-03-31,0.4787,None,0,None,pre-market
2015-03-31,2015-06-30,0.591,None,0,None,pre-market
2015-06-30,2015-08-14,0.4373,None,0,None,pre-market
2015-09-30,2015-11-06,0.2399,None,0,None,pre-market
2015-12-31,2016-03-31,0.6697,None,0,None,pre-market
2016-03-31,2016-06-30,0.8229,None,0,None,pre-market
2016-06-30,2016-09-30,0.4785,None,0,None,pre-market
2016-09-30,2016-12-31,0.4684,None,0,None,pre-market
2016-12-31,2017-03-31,0.5288,None,0,None,pre-market
2017-03-31,2017-05-08,0.53,None,0,None,pre-market
2017-06-30,2017-08-08,0.48,None,0,None,pre-market
2017-09-30,2017-11-06,0.35,None,0,None,pre-market
2017-12-31,2018-03-20,0.35,None,0,None,pre-market
2018-03-31,2018-05-04,0.63,None,0,None,pre-market
2018-06-30,2018-08-09,0.73,None,0,None,pre-market
2018-09-30,2018-11-05,0.3,None,0,None,pre-market
2018-12-31,2019-03-25,0.31,None,0,None,pre-market
2019-03-31,2019-05-03,0.3,None,0,None,pre-market
2019-06-30,2019-08-08,0.24,None,0,None,pre-market
2019-09-30,2019-11-06,0.33,None,0,None,pre-market
2019-12-31,2020-03-18,-0.3,None,0,None,pre-market
2020-03-31,2020-05-01,0.06,None,0,None,pre-market
2020-06-30,2020-08-06,-0.81,None,0,None,pre-market
2020-09-30,2020-11-10,0.32,None,0,None,pre-market
2020-12-31,2021-03-24,0.48,None,0,None,pre-market
2021-03-31,2021-05-10,0.56,None,0,None,pre-market
2021-06-30,2021-08-12,0.33,None,0,None,pre-market
2021-09-30,2021-11-09,0.18,None,0,None,pre-market
2021-12-31,2022-03-23,0.08,None,0,None,pre-market
