fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2005-12-31,USD,32687784,31458345,877182,877182,28389000,30238998,1229439,962000,None,None,None,None,None,None,None,342165,None,5525512,5428429,4559181,None,None,87617,97083,None,42000,None,None,129805,781631,None,27162272,-321000,4709518,5475,5445475
2006-03-31,USD,31858476,30677073,522639,522639,28155000,29743737,1181403,920000,None,None,None,None,None,None,None,410697,None,4509436,4417730,3758547,None,None,75398,91706,None,26000,None,None,101297,583785,None,27349040,-321000,4778412,5478,6126967
2006-06-30,USD,30072510,28906864,422150,422150,25218000,28326577,1165646,910000,None,None,None,None,None,None,None,158137,None,3914573,3828299,3225202,None,None,72502,86274,None,10000,None,None,82056,530595,None,26157937,-321000,3445078,5478,5447042
2006-09-30,USD,30532890,29389005,85412,85412,26273000,29167585,1143885,894000,None,None,None,None,None,None,None,136008,None,4387530,4297426,3347959,None,None,407568,90104,None,2000,None,None,410042,541899,None,26145360,-321000,3432501,5478,5447042
2006-12-31,USD,32160187,31006495,38564,38564,28783000,30834313,None,856000,None,None,None,None,None,None,None,134000,None,5982532,5883991,4758000,None,None,392188,None,None,None,None,None,392188,733000,None,26178000,-321000,3444512,5000,5501060
2007-03-31,USD,33034788,31942962,46747,46747,108304,31159441,1091826,817000,None,None,None,None,None,None,None,736774,None,6304369,6197814,5208163,None,None,230560,106555,None,None,None,None,230560,759091,None,26730419,-541000,3712702,5619,5919262
2007-06-30,USD,34067807,33056996,1041745,1041745,29326000,31611369,1010811,781000,None,None,None,None,None,None,None,403882,None,5658662,5544092,4919126,None,None,14215,114570,None,None,None,None,14215,610751,None,28409145,-541000,4288149,5794,6026829
2007-09-30,USD,35051720,34063375,806409,806409,30462000,33138808,988345,765000,None,None,None,None,None,None,None,118158,None,5955566,5832982,4985315,None,None,2474,122584,None,None,None,None,2474,845193,None,29096154,-541000,4823285,5814,6145930
2007-12-31,USD,36620572,35575822,338391,338391,31147000,35021026,1044750,719000,None,None,None,None,None,None,None,216405,None,7017058,6858854,4234370,None,None,1103701,158204,None,8000,None,None,1111306,1520783,None,29603514,-541000,5351408,5816,5875902
2008-03-31,USD,37926498,36822049,821926,821926,32725000,35816670,1104449,746000,None,None,None,None,None,None,None,183453,None,6419281,6257041,4973627,None,None,603810,162240,None,7000,None,None,610420,679604,None,31507217,-541000,5771373,6038,6181752
