fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-12-31,USD,297033000,122742000,378000,378000,64587000,46140000,174291000,52987000,None,119388000,119388000,106628000,None,None,None,11637000,None,110008000,67387000,32948000,None,None,1196000,42621000,None,29240000,None,None,30436000,33243000,None,187025000,None,142760000,103000,10290000
2007-12-31,USD,332476000,157236000,31571000,31571000,67769000,44841000,175240000,56294000,None,117321000,117321000,106632000,None,None,None,13055000,None,118425000,79533000,33845000,None,None,1859000,38892000,None,23892000,None,None,25751000,43829000,None,214051000,None,162192000,105000,10457000
2008-12-31,USD,366186000,159173000,3508000,3508000,83157000,57164000,207013000,61954000,None,143536000,143536000,114002000,None,None,None,15344000,None,141740000,89501000,35358000,None,None,2420000,52239000,None,28299000,None,None,30719000,51723000,None,224446000,-986000,173718000,106000,10649000
2009-12-31,USD,353909000,164091000,18629000,18629000,67749000,52585000,189818000,60923000,None,126426000,126426000,100442000,None,None,None,25128000,None,120023000,78266000,39434000,None,None,4963000,41757000,None,23289000,None,None,28252000,33869000,None,233886000,-1924000,180760000,106000,10510000
2010-12-31,USD,345452000,161392000,10268000,10268000,72597000,51805000,184060000,59461000,None,122434000,122434000,100442000,None,None,None,26722000,None,91267000,71286000,39925000,None,None,187000,19981000,None,3093000,None,None,3280000,31174000,None,254185000,-1924000,197421000,106000,10596000
2011-12-31,USD,808087000,340791000,41449000,41449000,154503000,99460000,467296000,98477000,None,187854000,187854000,163845000,None,None,0,45379000,None,603803000,116458000,60675000,None,None,1960000,487345000,None,390280000,None,None,392240000,52003000,25022000,204284000,-1924000,149048000,107000,10536000
2012-12-31,USD,785074000,334571000,46537000,46537000,148318000,100856000,450503000,98383000,None,176356000,176356000,161940000,None,None,0,38860000,None,562399000,108336000,52578000,None,None,5574000,454063000,None,362702000,None,None,365744000,43251000,None,222675000,-1924000,165485000,107000,10628000
2013-12-31,USD,764199000,330764000,48814000,48814000,140507000,91909000,433435000,96090000,None,165465000,165465000,161940000,None,None,0,52351000,None,524505000,103589000,58111000,None,None,25000,420916000,None,332677000,None,None,332702000,48671000,None,239694000,-1924000,174828000,110000,10852000
2014-12-31,USD,747599000,328741000,45627000,45627000,142842000,91060000,418858000,99068000,None,155104000,155104000,157569000,None,None,0,37485000,None,491029000,111071000,58979000,None,None,26000,379958000,None,290026000,26000,None,290052000,50486000,20484000,256570000,0,190905000,110000,11126000
2015-12-31,USD,561420000,264231000,5454000,5454000,115404000,77089000,297189000,96551000,None,110621000,110621000,82554000,None,962000,1000,65315000,None,374089000,83607000,40343000,None,None,26000,290482000,None,240661000,26000,None,245026000,41725000,18954000,187331000,0,117623000,111000,11047000
2016-12-31,USD,515429000,225941000,7432000,7432000,119896000,76239000,289488000,101590000,None,101573000,101573000,82554000,None,553000,0,22374000,None,303326000,86306000,57024000,None,None,3000,217020000,None,166896000,3000,None,166899000,28947000,18707000,212103000,0,141287000,112000,11299000
2017-12-31,USD,566753000,221014000,2150000,2150000,122161000,74064000,345739000,110252000,None,114693000,114693000,117435000,None,165000,0,11435000,None,331170000,80236000,51907000,None,None,20222000,250934000,None,216055000,216055000,None,236277000,4137000,18898000,235583000,0,161364000,113000,11558000
2018-12-31,USD,648143000,287390000,10263000,10263000,101125000,154484000,360753000,107045000,None,112092000,112092000,136057000,None,None,None,18210000,None,391318000,126535000,69274000,None,None,2330000,264783000,None,226961000,2330000,None,229291000,37704000,19752000,256825000,None,180356000,114000,11659000
2019-12-31,USD,790429000,340768000,39584000,39584000,112482000,173803000,449661000,115216000,None,138362000,138362000,170917000,None,None,None,14899000,None,497629000,144690000,82597000,None,None,9956000,352939000,20521000,300887000,7000000,None,328408000,37457000,35286000,292800000,None,212553000,116000,11792000
2020-12-31,USD,837347000,410284000,56466000,56466000,129223000,212053000,427063000,109990000,None,124744000,124744000,170830000,None,None,None,12542000,None,508013000,142902000,63980000,None,None,10132000,365111000,17687000,311922000,7000000,None,336609000,40446000,36197000,329334000,None,241727000,117000,11932000
2021-12-31,USD,978735000,492569000,76316000,76316000,150938000,248666000,486166000,102419000,None,141764000,141764000,203694000,None,None,None,16649000,None,504133000,162560000,66059000,None,None,13133000,341573000,34207000,279384000,7000000,None,320591000,40365000,43462000,474602000,None,377263000,119000,12251000
2022-12-31,USD,1021506000,527336000,46246000,46246000,171211000,295248000,494170000,106225000,None,127201000,127201000,203407000,None,None,None,14631000,None,495546000,199436000,90143000,None,None,13405000,296110000,35996000,240595000,6250000,None,282841000,38342000,41562000,525960000,None,406052000,121000,12366000
2023-12-31,USD,1120919000,549569000,42863000,42863000,206979000,282378000,571350000,140892000,None,166343000,166343000,244600000,None,None,None,17349000,None,484825000,183703000,72265000,None,None,15686000,301122000,30820000,256961000,7813000,None,295594000,42083000,16448000,636094000,None,421980000,146000,13972000
2024-12-31,USD,1126101000,568081000,37139000,37139000,196881000,310300000,558020000,138423000,None,149591000,149591000,244600000,None,None,None,23761000,None,443571000,175474000,75784000,None,None,21031000,268097000,29815000,229830000,12500000,None,272145000,43545000,16983000,682530000,None,453475000,148000,15013000
2025-12-31,USD,1186225000,625977000,45289000,45289000,182788000,374287000,560248000,147300000,None,132839000,132839000,244600000,None,None,None,23613000,None,524115000,179098000,74653000,None,None,12817000,345017000,42040000,298790000,5000000,None,345830000,50581000,12004000,662110000,None,419537000,149000,14942000
