fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-01-31,USD,1305800000,4202100000,2896300000,2896300000,570000000,574800000,161000000,735800000,None,None,None,110800000,None,None,None,161200000,340000000,116100000,None,0,None,570000000,731200000,235900000
2006-04-30,USD,2018800000,6561500000,4542700000,4542700000,1035600000,795400000,187800000,983200000,None,None,None,627000000,None,None,None,170700000,786900000,269900000,None,0,None,1035600000,1206300000,744600000
2006-07-31,USD,1867900000,6266700000,4398800000,4398800000,942900000,749100000,175900000,925000000,None,None,None,132400000,None,None,None,170600000,683300000,247600000,None,0,None,942900000,1113500000,436000000
2006-10-31,USD,1593300000,5117500000,3524200000,3524200000,642900000,749400000,201000000,950400000,None,None,None,120500000,None,None,None,188900000,384600000,108000000,None,0,None,642900000,831800000,277300000
2007-01-31,USD,1475000000,4425200000,2950200000,2950200000,754700000,665700000,176800000,720300000,None,None,None,137800000,None,None,None,185700000,366800000,128100000,None,0,None,754700000,940400000,238700000
2007-04-30,USD,2177000000,6882500000,4705500000,4705500000,1172800000,799900000,204300000,1004200000,None,None,None,143100000,None,None,None,181700000,903500000,279900000,None,0,None,1172800000,1354500000,623600000
2007-07-31,USD,2090800000,6633700000,4542900000,4542900000,1093900000,792600000,204300000,996900000,None,None,None,152600000,None,None,None,186100000,809400000,272200000,None,0,None,1093900000,1280000000,537200000
2007-10-31,USD,2086700000,6140900000,4054200000,4054200000,927500000,927800000,231400000,1159200000,None,None,None,150300000,None,None,None,190900000,624900000,202700000,None,0,None,927500000,1118400000,422200000
2008-01-31,USD,1696700000,5058500000,3361800000,3361800000,684100000,652800000,204300000,1012600000,None,None,None,295100000,None,None,None,199700000,539100000,170000000,None,0,None,826600000,1026300000,369100000
2008-04-30,USD,2469600000,7978200000,5508600000,5508600000,1327700000,766600000,230200000,1141900000,None,None,None,283600000,None,None,None,208400000,1174600000,411100000,None,0,None,1446200000,1654600000,763500000
2008-07-31,USD,2159900000,7581800000,5421900000,5421900000,982300000,772000000,238100000,1177600000,None,None,None,270200000,None,None,None,218800000,882300000,307100000,None,0,None,1139200000,1358000000,575200000
2008-10-31,USD,1257900000,6835400000,5577500000,5577500000,288800000,300500000,270600000,969100000,None,None,None,480400000,None,None,None,204100000,568200000,223100000,None,0,None,848800000,1052900000,345100000
