fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-12-31,USD,116807000,83130000,2544000,2544000,37310000,41537000,33677000,9944000,None,6464000,6464000,16964000,None,None,None,1739000,None,81077000,43661000,25706000,None,None,2771000,37416000,None,35174000,None,None,37945000,14142000,None,35718000,None,30303000,51000,11464000
2007-12-31,USD,286166000,171584000,3978000,3978000,84196000,79969000,114582000,17119000,None,35852000,35852000,60849000,None,None,None,3441000,None,184643000,80267000,55020000,None,None,4200000,104376000,None,101989000,None,None,106189000,19339000,None,101511000,-825000,47560000,63000,12688971
2008-12-31,USD,397856000,232700000,5698000,5698000,119097000,101191000,165156000,20331000,None,45227000,45227000,98718000,None,None,None,6714000,None,267656000,103646000,57539000,None,None,13965000,164010000,None,154591000,None,None,168556000,24248000,None,130188000,None,73838000,128000,13869000
2009-12-31,USD,270927000,163592000,2344000,2344000,72581000,77301000,107335000,16955000,None,25727000,25727000,60542000,None,None,None,11366000,None,180714000,77798000,51185000,None,None,12595000,102916000,None,102916000,None,None,115511000,14018000,None,90213000,None,32057000,129000,13117000
2010-12-31,USD,320624000,185309000,770000,770000,75887000,100183000,135315000,14917000,None,32236000,32236000,84942000,None,None,None,8469000,None,196504000,92883000,55019000,None,None,10930000,103621000,None,103621000,None,None,114551000,26934000,None,124120000,None,51348000,140000,14821000
2011-12-31,USD,405338000,239201000,1507000,1507000,93901000,137024000,166137000,16911000,None,43194000,43194000,101764000,None,None,None,6769000,None,248663000,134458000,62123000,None,None,694000,114205000,None,114205000,None,None,114899000,65465000,None,156675000,-1445000,82695000,141000,15141000
2012-12-31,USD,569732000,295702000,10455000,10455000,101422000,174832000,274030000,58713000,None,63189000,63189000,145788000,None,None,None,8993000,None,361239000,128452000,74356000,None,None,22057000,232787000,None,216339000,None,None,238396000,27347000,None,208493000,-4867000,133590000,141000,15214000
2013-12-31,USD,635277000,313149000,5469000,5469000,105271000,192003000,322128000,58253000,None,69722000,69722000,188110000,None,None,None,10406000,None,339027000,148717000,78853000,None,None,26213000,190310000,None,168372000,None,None,194585000,42798000,None,296250000,-5171000,193737000,144000,15279000
2014-12-31,USD,844346000,386278000,47000,47000,115658000,259319000,458068000,69979000,None,130333000,130333000,253312000,None,None,None,11254000,None,601394000,207202000,100774000,None,None,38608000,394192000,None,372908000,38608000,None,411516000,59690000,None,242952000,-15524000,148409000,146000,15479000
2015-12-31,USD,683980000,303961000,1693000,1693000,103819000,186809000,380019000,68503000,None,112297000,112297000,197362000,None,None,0,11640000,None,485110000,180118000,77108000,None,None,50829000,304992000,None,298680000,50829000,None,349509000,43084000,None,197058000,-12577000,109783000,146000,14423000
2016-12-31,USD,611525000,266798000,1590000,1590000,83699000,169898000,344727000,60807000,None,94831000,94831000,187591000,None,None,0,2138000,None,358976000,166659000,78698000,None,None,51354000,192317000,None,173331000,51354000,None,224685000,28795000,0,251623000,-12577000,117396000,172000,17197380
2017-12-31,USD,639083000,317915000,22047000,22047000,91413000,195627000,321168000,53337000,None,78525000,78525000,187591000,None,None,3532000,8828000,None,370537000,124825000,80303000,None,None,3381000,245712000,None,238643000,3381000,None,242024000,33263000,0,267979000,0,134193000,174000,18240000
2018-12-31,USD,699962000,385590000,40304000,40304000,114830000,225303000,314372000,51000000,None,67207000,67207000,194052000,None,None,None,5153000,None,391708000,143277000,87407000,None,None,3407000,248431000,None,236979000,3407000,None,240386000,38544000,2819000,306848000,None,169735000,174000,18393000
2019-12-31,USD,788220000,408481000,54203000,54203000,129364000,221229000,379739000,63703000,None,52582000,52582000,194052000,None,None,None,3685000,None,443272000,148171000,63676000,None,None,20103000,295101000,66208000,235419000,2500000,None,304127000,47012000,49810000,343802000,None,205680000,174000,18432000
