fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-12-31,USD,272009,None,None,None,None,None,0,None,None,None,None,-147308,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,348312
2007-03-31,USD,-92360,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,368480
2007-06-30,USD,903756,None,None,None,None,None,0,None,None,None,None,-45688,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,307458
2007-09-30,USD,-211008,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,356812
2007-12-31,USD,-286372,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,354786
2008-03-31,USD,-140800,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,184780
2008-06-30,USD,-76283,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,178053
2008-09-30,USD,2347675,None,None,None,None,1585838000,2387739000,None,208075000,None,21659399,-10448740,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2093539
2008-12-31,USD,11285824,None,None,None,None,1441888,431181,None,1370000,None,-426149,-11235039,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-2194509
2009-03-31,USD,-585681,None,None,None,None,1470098,553415,None,2746000,None,-551215,-1905062,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-2868042
2009-06-30,USD,-824390,None,None,None,None,1490815,106236,None,None,None,-93436,-5441981,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,588463
2009-09-30,USD,-288848,None,None,None,None,1504349,136225,None,None,None,-117825,-797871,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-1447686
2009-12-31,USD,6376657,None,None,None,None,1512671,477823,None,2531000,None,-445773,-2301340,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,637563
2010-03-31,USD,-3995571,None,None,None,None,1539370,674791,None,None,None,-265219,-1019265,None,None,None,None,None,None,None,None,None,None,None,None,3,None,None,-2592808
2010-06-30,USD,-3160659,None,None,None,None,1538018,695311,None,None,None,-686411,7720022,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4098413
2010-09-30,USD,5021959,None,None,None,None,1527066,303543,None,None,None,-302392,-7195445,None,None,None,None,None,None,None,None,None,None,None,None,11956000,None,None,3629182
2010-12-31,USD,5857893,None,None,None,None,1445973,267621,None,12221000,None,-253015,1929829,None,None,None,None,None,None,None,None,None,None,None,None,17934,None,None,-54553
2011-03-31,USD,-1001881,None,None,None,None,1469471,276799,None,11539000,None,-266949,-6996886,None,None,None,None,None,None,None,None,None,None,None,None,17934,None,None,-3368499
2011-06-30,USD,-497939,None,None,None,None,1497447,440144,None,8879000,None,-439244,4079256,None,None,None,None,None,None,None,None,None,None,None,None,17934,None,None,-725884
2011-09-30,USD,-389347,None,None,None,None,1481082,147996,None,7676000,None,-145496,-1487476,None,None,None,None,None,None,None,None,None,None,None,None,17935,None,None,-1126834
2011-12-31,USD,4181941,None,None,None,None,1462802,547883,None,2649000,None,-503205,-1096429,None,None,None,None,None,None,None,None,None,None,None,None,17934,None,None,1133422
2012-03-31,USD,1731635,None,None,None,None,1461855,93353,None,2043000,None,45563,-2735776,None,None,None,None,None,None,None,None,None,None,None,None,17934,None,None,-3915513
2012-06-30,USD,-1845497,None,None,None,None,1461914,88819,None,1216000,None,-86319,911096,None,None,None,None,None,None,None,None,None,None,None,None,17934,None,None,-2007605
2012-09-30,USD,-2433993,None,None,None,None,1461474,611756,None,1364000,None,-555994,2083403,None,None,None,None,None,None,None,None,None,None,None,None,-5976,None,None,-43732481
2012-12-31,USD,2279679,None,None,None,None,1402178,3615,None,1589649,None,691274,-2100790,None,None,None,None,None,None,None,None,None,None,None,None,9494,None,None,-760210
2013-03-31,USD,2279061,None,None,None,None,953900,137142,None,7134896,None,9293,668243,None,None,None,None,None,None,None,None,None,None,None,None,9495,None,None,-1199009
2013-06-30,USD,-2356164,None,None,None,None,962617,422331,None,-4523427,None,7541975,-10034530,None,None,None,None,None,None,None,None,None,None,None,None,9494,None,None,2932067
2013-09-30,USD,3850562,None,None,None,None,920679,339084,None,-117738,None,-276141,1125699,None,None,None,None,4899935000000,4899935000000,None,None,None,None,-30000000,None,3165,None,None,2597358
2013-12-31,USD,2098294,None,None,None,None,856851,241606,4837643,6503939,None,-106606,-2091948,None,None,None,None,None,None,None,None,None,None,249998,None,None,-100260,None,467921
2014-03-31,USD,3032668,None,None,None,None,837835,346438,-702123,4609886,None,-325198,-1342404,None,None,None,None,None,None,None,None,None,None,-30,None,231750,1365066,None,-245169
2014-06-30,USD,-1955266,None,None,None,None,843366,452588,-354296,-4639399,None,-436888,-1221133,None,None,None,None,None,None,None,None,None,None,None,None,77250,-3613287,None,438788
2014-09-30,USD,-342248,None,None,None,None,846452,526334,-4125867,-4855755,None,-502892,-473993,None,None,None,None,None,None,None,None,None,None,None,None,77250,-1319133,None,2600407
2014-12-31,USD,3434890,None,None,None,None,864155,370602,6898525,5167349,None,-358699,-1583493,None,None,None,None,154500,154500,None,None,None,None,None,None,77250,1492698,None,-212441
2015-03-31,USD,725636,None,None,None,None,875967,809658,1282108,1791377,None,-690358,620128,None,None,None,None,None,None,None,None,None,None,None,None,77250,655406,None,-272493
2015-06-30,USD,-4483379,None,None,None,None,842130,772789,-8182405,-9222659,None,-715886,2210475,None,None,None,None,None,None,None,None,None,None,None,None,77250,-2988790,None,706564
