fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
1996-03-31,1996-04-18,0.32,0.32,0,0,pre-market
1996-06-30,1996-07-15,0.33,0.32,0.01,3.125,pre-market
1996-09-30,1996-10-14,0.28,0.28,0,0,pre-market
1996-12-31,1997-01-20,0.29,0.24,0.05,20.8333,pre-market
1997-03-31,1997-04-14,0.33,0.3,0.03,10,pre-market
1997-06-30,1997-07-14,0.41,0.36,0.05,13.8889,pre-market
1997-09-30,1997-10-13,0.45,0.35,0.1,28.5714,pre-market
1997-12-31,1998-01-20,0.59,0.42,0.17,40.4762,pre-market
1998-03-31,1998-04-15,0.36,0.38,-0.02,-5.2632,pre-market
1998-06-30,1998-07-14,0.4,0.4,0,0,pre-market
1998-09-30,1998-10-13,0.3,0.3,0,0,pre-market
1998-12-31,1999-01-20,0.29,0.29,0,0,pre-market
1999-03-31,1999-04-15,0.3,0.32,-0.02,-6.25,pre-market
1999-06-30,1999-07-19,0.43,0.39,0.04,10.2564,pre-market
1999-09-30,1999-10-19,0.36,0.38,-0.02,-5.2632,pre-market
1999-12-31,2000-01-24,0.4,0.39,0.01,2.5641,pre-market
2000-03-31,2000-04-17,0.44,0.42,0.02,4.7619,pre-market
2000-06-30,2000-07-17,0.49,0.48,0.01,2.0833,pre-market
2000-09-30,2000-10-16,0.35,0.33,0.02,6.0606,pre-market
2000-12-31,2001-01-22,0.35,0.36,-0.01,-2.7778,pre-market
2001-03-31,2001-04-16,0.26,0.24,0.02,8.3333,pre-market
2001-06-30,2001-07-16,0.24,0.22,0.02,9.0909,pre-market
2001-09-30,2001-10-15,0.17,0.16,0.01,6.25,pre-market
2001-12-31,2002-01-22,0.16,0.15,0.01,6.6667,pre-market
2002-03-31,2002-04-15,0.23,0.21,0.02,9.5238,pre-market
2002-06-30,2002-07-15,0.31,0.3,0.01,3.3333,pre-market
2002-09-30,2002-10-14,0.32,0.31,0.01,3.2258,pre-market
2002-12-31,2003-01-21,0.25,0.23,0.02,8.6957,pre-market
2003-03-31,2003-04-14,0.27,0.24,0.03,12.5,pre-market
2003-06-30,2003-07-15,0.34,0.33,0.01,3.0303,pre-market
2003-09-30,2003-10-14,0.36,0.33,0.03,9.0909,pre-market
2003-12-31,2004-01-21,0.39,0.34,0.05,14.7059,pre-market
2004-03-31,2004-04-14,0.44,0.4,0.04,10,pre-market
2004-06-30,2004-07-15,0.53,0.51,0.02,3.9216,pre-market
2004-09-30,2004-10-14,0.56,0.56,0,0,pre-market
2004-12-31,2005-01-24,0.57,0.56,0.01,1.7857,pre-market
2005-03-31,2005-04-14,0.62,0.62,0,0,pre-market
2005-06-30,2005-07-18,0.7,0.66,0.04,6.0606,pre-market
2005-09-30,2005-10-17,0.67,0.67,0,0,pre-market
2005-12-31,2006-01-23,0.72,0.68,0.04,5.8824,pre-market
2006-03-31,2006-04-17,0.7,0.67,0.03,4.4776,pre-market
2006-06-30,2006-07-17,0.84,0.82,0.02,2.439,pre-market
2006-09-30,2006-10-16,0.83,0.8,0.03,3.75,pre-market
2006-12-31,2007-01-22,0.83,0.79,0.04,5.0633,pre-market
2007-03-31,2007-04-16,0.81,0.71,0.1,14.0845,pre-market
2007-06-30,2007-07-16,0.83,0.74,0.09,12.1622,pre-market
2007-09-30,2007-10-15,0.84,0.84,0,0,pre-market
2007-12-31,2008-01-22,0.88,0.86,0.02,2.3256,pre-market
2008-03-31,2008-04-14,0.84,0.83,0.01,1.2048,post-market
2008-06-30,2008-07-15,1.05,0.97,0.08,8.2474,pre-market
2008-09-30,2008-10-20,0.98,0.95,0.03,3.1579,pre-market
2008-12-31,2009-01-26,0.54,0.52,0.02,3.8462,pre-market
2009-03-31,2009-04-20,-0.11,-0.13,0.02,15.3846,pre-market
2009-06-30,2009-07-20,0.12,0.08,0.04,50,pre-market
2009-09-30,2009-10-19,0.61,0.46,0.15,32.6087,pre-market
2009-12-31,2010-01-25,0.68,0.62,0.06,9.6774,pre-market
2010-03-31,2010-04-20,0.48,0.42,0.06,14.2857,pre-market
2010-06-30,2010-07-21,0.68,0.58,0.1,17.2414,pre-market
2010-09-30,2010-10-20,0.8,0.69,0.11,15.942,pre-market
2010-12-31,2011-01-27,0.85,0.83,0.02,2.4096,pre-market
2011-03-31,2011-04-20,0.84,0.8,0.04,5,pre-market
2011-06-30,2011-07-25,0.97,0.95,0.02,2.1053,pre-market
2011-09-30,2011-10-24,1.08,1.08,0,0,pre-market
2011-12-31,2012-01-26,1.08,1.11,-0.03,-2.7027,pre-market
2012-03-31,2012-04-23,0.92,0.9,0.02,2.2222,pre-market
2012-06-30,2012-07-23,1.15,1.09,0.06,5.5046,pre-market
2012-09-30,2012-10-31,1.07,1.11,-0.04,-3.6036,pre-market
2012-12-31,2013-02-05,0.82,0.95,-0.13,-13.6842,pre-market
2013-03-31,2013-04-29,0.84,0.79,0.05,6.3291,pre-market
2013-06-30,2013-08-02,1.09,1.11,-0.02,-1.8018,pre-market
2013-09-30,2013-10-25,1.12,1.12,0,0,pre-market
2013-12-31,2014-02-04,1.08,1.06,0.02,1.8868,pre-market
2014-03-31,2014-04-29,1.01,1,0.01,1,pre-market
2014-06-30,2014-07-29,1.11,1.11,0,0,pre-market
2014-09-30,2014-10-29,1.29,1.23,0.06,4.878,pre-market
2014-12-31,2015-02-03,1.27,1.2,0.07,5.8333,pre-market
2015-03-31,2015-04-29,1.01,0.98,0.03,3.0612,pre-market
2015-06-30,2015-07-29,1.16,1.13,0.03,2.6549,pre-market
2015-09-30,2015-10-30,0.97,0.98,-0.01,-1.0204,pre-market
2015-12-31,2016-02-03,1.17,1.1,0.07,6.3636,pre-market
2016-03-31,2016-04-29,0.88,0.85,0.03,3.5294,pre-market
2016-06-30,2016-08-02,1.07,1.07,0,0,pre-market
2016-09-30,2016-11-01,1.15,1.15,0,0,pre-market
2016-12-31,2017-02-02,1.12,1.1,0.02,1.8182,pre-market
2017-03-31,2017-05-02,0.96,0.88,0.08,9.0909,pre-market
2017-06-30,2017-08-01,1.15,1.16,-0.01,-0.8621,pre-market
2017-09-30,2017-10-31,1.25,1.25,0,0,pre-market
2017-12-31,2018-02-01,1.29,1.24,0.05,4.0323,pre-market
2018-03-31,2018-05-01,1.1,1.07,0.03,2.8037,pre-market
2018-06-30,2018-07-31,1.39,1.32,0.07,5.303,pre-market
2018-09-30,2018-10-30,1.43,1.43,0,0,pre-market
2018-12-31,2019-01-31,1.46,1.43,0.03,2.0979,pre-market
2019-03-31,2019-04-30,1.26,1.25,0.01,0.8,pre-market
2019-06-30,2019-07-30,1.53,1.51,0.02,1.3245,pre-market
2019-09-30,2019-10-29,1.52,1.51,0.01,0.6623,pre-market
2019-12-31,2020-02-04,1.37,1.4,-0.03,-2.1429,pre-market
2020-03-31,2020-04-30,1.09,1.07,0.02,1.8692,pre-market
2020-06-30,2020-07-29,0.7,0.53,0.17,32.0755,pre-market
2020-09-30,2020-11-03,1.18,1.05,0.13,12.381,pre-market
2020-12-31,2021-02-02,1.28,1.24,0.04,3.2258,pre-market
2021-03-31,2021-05-04,1.44,1.24,0.2,16.129,pre-market
2021-06-30,2021-08-03,1.72,1.57,0.15,9.5541,pre-market
2021-09-30,2021-11-02,1.75,1.73,0.02,1.1561,pre-market
2021-12-31,2022-02-04,1.72,1.71,0.01,0.5848,pre-market
2022-03-31,2022-05-03,1.62,1.6,0.02,1.25,pre-market
2022-06-30,2022-08-02,1.87,1.82,0.05,2.7473,pre-market
2022-09-30,2022-11-01,2.02,2.01,0.01,0.4975,pre-market
2022-12-31,2023-02-08,2.06,2.05,0.01,0.4878,pre-market
2023-03-31,2023-05-02,1.88,1.78,0.1,5.618,pre-market
2023-06-30,2023-08-01,2.21,2.11,0.1,4.7393,pre-market
2023-09-30,2023-10-31,2.47,2.34,0.13,5.5556,pre-market
2023-12-31,2024-02-01,2.55,2.47,0.08,3.2389,pre-market
2024-03-31,2024-04-30,2.4,2.29,0.11,4.8035,pre-market
2024-06-30,2024-08-01,2.73,2.61,0.12,4.5977,pre-market
2024-09-30,2024-10-31,2.84,2.81,0.03,1.0676,pre-market
2024-12-31,2025-01-31,2.83,2.81,0.02,0.7117,pre-market
2025-03-31,2025-05-02,2.72,2.71,0.01,0.369,pre-market
2025-06-30,2025-08-05,2.95,2.92,0.03,1.0274,pre-market
2025-09-30,2025-11-04,3.07,3.05,0.02,0.6557,pre-market
2025-12-31,2026-02-03,3.33,3.32,0.01,0.3012,pre-market
