fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2020-12-31,USD,2437696000,377991000,65475000,65475000,None,36532000,2059705000,None,None,65863000,65863000,257968000,None,None,None,275984000,None,1087907000,103228000,None,None,None,2921000,984679000,None,None,None,None,69833000,100307000,None,1349789000,None,None,None,None
2021-03-31,USD,None,15706000,-15706000,-15706000,None,None,-15706000,None,None,None,None,None,None,None,31412000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,995397000,None,None,None,99188696
2021-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,99188696
2021-09-30,USD,2508318000,487738000,55244000,55244000,4700000,85846000,2020580000,None,None,72078000,72078000,239941000,None,None,None,341948000,None,975233000,169026000,128204000,None,None,27833000,806207000,None,None,None,None,788753000,12989000,None,1526410000,None,None,1631568000,99188696
2021-12-31,USD,2442301000,412984000,49872000,49872000,251983000,50301000,2029317000,1625153000,None,67737000,67737000,257137000,None,54408000,17200000,60828000,None,980255000,129467000,115634000,None,None,5798000,850788000,70404000,718624000,None,None,789028000,8035000,64659000,1462137000,None,None,1617601000,99188696
2022-03-31,USD,2437696000,377991000,65475000,65475000,214401000,36532000,2059705000,1654023000,None,65863000,65863000,257968000,None,55383000,None,61583000,None,1087907000,103228000,91967000,None,None,5842000,984679000,69833000,728601000,None,None,798434000,5419000,189166000,1356637000,None,None,1609049000,99188696
2022-06-30,USD,2560228000,427591000,68469000,68469000,5900000,88573000,2132637000,1704589000,None,63977000,63977000,262819000,None,76905000,None,264649000,None,1214415000,174891000,162096000,None,None,2973000,1039524000,69139000,729410000,None,None,798549000,9822000,243948000,1356569000,None,None,1656695000,99188696
2022-09-30,USD,2525468000,352536000,69465000,69465000,4600000,78136000,2172932000,1641373000,None,62081000,62081000,263106000,None,74528000,28600000,171735000,None,1717662000,171788000,148476000,None,None,7221000,1545874000,69631000,1191885000,None,None,1261516000,16091000,291579000,825544000,None,-14368000,994000,102730033
2022-12-31,USD,2478399000,277804000,36486000,36486000,113156000,60807000,2200595000,1673808000,None,60195000,60195000,260252000,None,73589000,22800000,67355000,None,1689015000,159581000,136048000,None,None,7045000,1529434000,70192000,1230157000,None,None,1300349000,16488000,299277000,816213000,None,-60837000,994000,99445074
2023-03-31,USD,2447062000,239051000,39963000,39963000,900000,71798000,2208011000,1685242000,None,58309000,58309000,260252000,None,72320000,21600000,104790000,None,1647477000,154683000,132654000,None,None,7124000,1492794000,69768000,1274149000,None,None,1343917000,14905000,156001000,838997000,None,-86856000,994000,102787640
