fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-08-31,USD,904035000,458882000,2056000,2056000,198367000,115565000,445152999,381043000,None,27982000,27982000,2896000,None,None,142894000,2056000,None,684754000,293628000,141380000,None,None,22429000,364405000,None,359888000,None,None,386834000,48925000,None,219281000,None,148542000,16000,15937000
2007-08-31,USD,1072749000,418325000,2693000,2693000,194883000,157038000,654424000,407139000,None,69258000,69258000,168987000,None,None,20808000,42903000,None,824013000,363098000,172270000,None,None,39568000,460915000,None,454138000,None,None,500483000,141418000,None,243590000,None,165408000,16000,16094000
2008-08-31,USD,1256960000,493456000,1231000,1231000,252048000,181857000,763504000,455827000,None,66318000,66318000,200148000,None,None,5957000,52363000,None,987815000,491807000,207173000,None,None,105808000,496008000,None,484983000,None,None,601816000,156791000,None,260527000,None,179553000,17000,16417000
2009-08-31,USD,1048290999,365176000,1083000,1083000,142824000,113371000,683115000,441157000,None,61086000,61086000,137066000,None,None,76187000,31711000,None,826203000,290692000,128806999,None,None,16041000,525149000,None,536492000,None,None,558221000,255401000,None,213364000,None,123492000,17000,16815000
2010-08-31,USD,1072887999,408071000,2525000,2525000,185604000,89252000,664816999,435277000,None,56194000,56194000,137066000,None,None,98864000,31826000,None,775481000,276781000,141767000,None,None,2630000,498700000,None,494135000,None,None,501330000,118925000,None,285938000,None,120716000,22000,20213000
2011-08-31,USD,1301655000,564290000,2113000,2113000,323512000,188443000,737365000,482341000,None,51593000,51593000,137066000,None,None,50222000,2113000,None,925754000,496614000,267683000,None,None,90339000,429140000,None,424570000,None,None,519479000,132692000,None,361573000,None,127182000,None,26501000
2012-08-31,USD,1384544000,522914999,59848000,59848000,316741000,146326000,861629000,182429000,None,45869000,45869000,137066000,None,None,6277000,6277000,None,930899000,390263000,258315999,None,None,60755000,540636000,None,428079000,None,None,488834000,116050000,None,431777000,-453645000,185890000,0,33718000
2013-08-31,USD,1289741000,577873000,106242000,106242000,316783000,154848000,711867999,201533000,None,41041000,41041000,57416000,None,None,8807000,8807000,None,832914000,364147000,163490000,None,None,48209000,468767000,None,373889000,None,None,422098000,130516000,None,428202000,-456827000,174842000,0,26678000
2014-08-31,USD,1517168000,710391000,205056000,205056000,305656000,199679000,806776999,243698000,None,36196000,36196000,43265000,None,69359000,20140000,20529000,None,943447000,396370000,204744000,None,None,13081000,547077000,None,445091000,458172000,None,458172000,138233000,None,511390000,-573721000,282559000,0,34209000
2015-08-31,USD,1790512000,823363000,181799000,181799000,445535000,196029000,967148999,303135000,None,32408000,32408000,43265000,None,87270000,8869000,13266000,None,927023000,506101000,263665000,None,None,50888000,420922000,None,326429000,377317000,None,377317000,135247000,None,732838000,-863489000,458599000,0,33328000
