fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-02-28,USD,-31729000,None,None,None,None,6740000,17223000,None,4326000,None,-12454000,-5261000,None,None,None,None,2495000,2495000,None,None,None,None,None,None,None,None,None,8563000
2006-05-31,USD,31007000,None,None,None,None,6228000,5522000,None,-28207000,None,9525000,95228000,None,None,None,None,1271000,1271000,None,None,None,None,None,None,-7783000,None,None,10680000
2006-08-31,USD,31900000,None,None,None,None,6083000,73423000,None,-14558000,None,-67851000,-7550000,None,None,None,None,1276000,1276000,None,None,None,None,None,None,None,None,None,12338000
2006-11-30,USD,-41939000,None,None,None,None,7526000,30458000,None,-1379000,None,-274165000,187733000,None,None,None,None,1276000,1276000,None,None,None,None,None,None,None,None,None,1870000
2007-02-28,USD,-34766000,None,None,None,None,8652000,47894000,None,-22154000,None,-4021000,29973000,None,None,None,None,2557000,2557000,None,None,None,None,None,None,None,None,None,-6071000
2007-05-31,USD,106515000,None,None,None,None,8318000,48090000,None,34449000,None,-2328000,-83393000,None,None,None,None,1294000,1294000,None,None,None,None,None,None,None,None,None,13017000
2007-08-31,USD,16517000,None,None,None,None,8330000,10852000,None,3344000,None,-6061000,-18530000,None,None,None,None,1293000,1293000,None,None,None,None,None,None,None,None,None,13194000
2007-11-30,USD,-8770000,None,None,None,None,8256000,14475000,None,-232000,None,-12649000,6780000,None,None,None,None,1293000,1293000,None,None,None,None,None,None,-1022000,None,None,2642000
2008-02-29,USD,-62161000,None,None,None,None,8263000,1523000,None,-2407000,None,4138000,57093000,None,None,None,None,2605000,2605000,None,None,None,None,None,None,None,None,None,1423000
2008-05-31,USD,90891000,None,None,None,None,8814000,48479000,None,-12497000,None,-132610000,34046000,None,None,None,None,1328000,1328000,None,None,None,None,None,None,-1000,None,None,8127000
2008-08-31,USD,12158000,None,None,None,None,9753000,13167000,None,-14556000,None,-11029000,5559000,None,None,None,None,1328000,1328000,None,None,None,None,None,None,None,None,None,7350000
