fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-12-31,USD,259643000,None,None,None,None,69180000,116238000,None,-8368000,None,-183683000,-70948000,None,None,None,None,16722000,16722000,None,None,None,None,-7375000,None,-18735000,None,None,80509000
2007-12-31,USD,234788000,None,None,None,None,82157000,118612000,None,-9913000,None,-166744000,79497000,None,None,None,None,16764000,16764000,None,None,None,None,-98014000,None,7342000,None,None,112065000
2008-12-31,USD,257336000,None,None,None,None,91557000,94135000,None,-10812000,None,-18257000,-130670000,None,None,None,None,20055000,20055000,None,None,None,None,-45540000,None,7463000,None,None,122404000
2009-12-31,USD,64301000,None,None,None,None,55172000,87645000,None,6326000,None,-129879000,-56309000,None,None,None,None,46076000,46076000,None,None,None,None,-3431000,None,10765000,None,None,100201000
2010-12-31,USD,29318000,None,None,None,None,165797000,37004000,38702000,-8214000,None,-60435000,-55817000,None,None,None,None,20150000,20150000,None,None,None,None,-3641000,None,13040000,-86934000,None,-62448000
2011-12-31,USD,92345000,None,None,None,None,60546000,45035000,-2258000,43000,None,-27728000,-59649000,None,None,None,None,20117000,20117000,None,None,None,None,-4029000,None,12155000,4968000,None,66085000
2012-12-31,USD,91790000,None,None,None,None,31892000,37622000,9415000,-8558000,None,-42554000,15764000,None,None,None,None,20117000,20117000,None,None,None,None,-4854000,None,11475000,65000000,None,59920000
2013-12-31,USD,5380000,None,None,None,None,-11995000,43682000,12236000,-2689000,None,-31648000,-66601000,None,None,None,None,20210000,20210000,None,None,None,None,-5896000,None,13443000,-92869000,None,-44766000
2014-12-31,USD,43142000,None,None,None,None,3112000,43428000,3549000,-6446000,None,780000,-17082000,None,None,None,None,20319000,20319000,None,None,None,None,-5124000,None,11160000,26840000,None,35876000
2015-12-31,USD,66978000,None,None,None,None,12649000,44179000,-32877000,13367000,None,-30707000,-39396000,None,None,None,None,20445000,20445000,None,None,None,None,-3777000,None,8763000,-3125000,None,68248000
2016-12-31,USD,73146000,None,None,None,None,50118000,90970000,-75756000,308000,None,-96390000,-40266000,None,None,None,None,20563000,20563000,None,None,None,None,-5227000,None,13383000,-63510000,None,66200000
2017-12-31,USD,146195000,None,None,None,None,69690000,67695000,-60272000,-7252000,None,-59186000,-42624000,None,None,None,None,20687000,20687000,None,None,None,None,-6977000,None,15764000,44385000,None,75801000
2018-12-31,USD,86390000,None,None,None,None,122387000,111101000,-4584000,-2120000,None,-39598000,-1874000,None,None,None,None,22424000,22424000,None,None,None,None,-16557000,None,14784000,44918000,None,53741000
2019-12-31,USD,111438000,None,None,None,None,123418000,18703000,-58947000,380000,None,-40322000,-81637000,None,None,None,None,24316000,24316000,None,None,None,None,-36900000,None,10213000,-10521000,None,53741000
2020-12-31,USD,111438000,None,None,None,None,213893000,106828000,-58947000,380000,None,-41262000,-81637000,None,None,None,None,24316000,24316000,None,None,None,None,-36900000,None,10213000,-10521000,None,-56702000
2021-12-31,USD,21931000,None,None,None,None,30790000,94810000,-11317000,774000,None,-21478000,-24446000,None,None,None,None,23804000,23804000,None,None,None,None,-2730000,None,6407000,-23993000,None,2414000
2022-12-31,USD,55647000,None,None,None,None,82569000,121612000,59623000,-14307000,None,-11000000,-164311000,None,None,None,None,23271000,23271000,None,None,None,None,-70898000,None,7765000,-119664000,None,78857000
2023-12-31,USD,183707000,None,None,None,None,92270000,140384000,None,-1430000,None,-359290000,299255000,None,None,None,None,22811000,22811000,None,None,None,None,-4124000,None,10477000,None,None,43599000
2024-12-31,USD,456343000,None,None,None,None,126331000,136405000,None,-2862000,None,-228556000,-67120000,None,None,None,None,22813000,22813000,None,None,None,None,-50631000,None,19595000,None,None,140443000
2025-12-31,USD,468916000,None,None,None,None,162433000,138270000,None,-746000,None,-993721000,475695000,None,None,None,None,22719000,22719000,None,None,None,None,-48208000,None,39150000,None,None,193003000
