fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-12-31,USD,126350201,571919173,445568972,445568972,105272274,230188069,None,21077927,None,None,None,0,None,None,None,47371253,135148171,47977602,None,None,None,135148167,182519420,87170569
2007-12-31,USD,121520000,591893000,470373000,470373000,100291000,217724000,None,21229000,None,None,None,0,None,None,None,48486000,120735000,44565000,None,None,None,120735000,169221000,76170000
2008-12-31,USD,108889000,625600000,516711000,516711000,88389000,222299000,None,20500000,None,None,None,0,None,None,None,46109000,107079000,37111000,None,None,None,107079000,153188000,69968000
2009-12-31,USD,75881000,459539000,383658000,383658000,59256000,201970000,None,16625000,None,None,None,0,None,None,None,58730000,81302000,24353000,None,None,None,81302000,140032000,56949000
2010-12-31,USD,95558000,499516000,403958000,403958000,78132000,197932000,0,17426000,None,None,None,0,None,1424000,None,61949000,92873000,30657000,None,62216000,None,92873000,154822000,62216000
2011-12-31,USD,91283000,528623000,437340000,437340000,74424000,194411000,0,16859000,None,None,None,0,None,773000,None,57876000,107330000,37398000,None,69932000,None,107330000,165206000,69932000
2012-12-31,USD,96715000,545745000,449030000,449030000,79792000,17859000,0,16923000,None,None,None,0,None,674000,None,57821000,95575000,34034000,None,61541000,None,95575000,153396000,61541000
2013-12-31,USD,101741000,582257000,480516000,480516000,79032000,14888000,0,22709000,None,None,None,208000,None,462000,None,68908000,112556000,41974000,None,70582000,None,112764000,181672000,70582000
2014-12-31,USD,135021000,871355000,736334000,736334000,98324000,17946000,0,37760000,None,None,None,446000,None,195000,None,109629000,131616999,46783000,None,84834000,None,132063000,241692000,84834000
2015-12-31,USD,115238000,736345000,621107000,621107000,81540000,21618000,0,34891000,None,None,191000,19000,None,210000,None,111848000,116771000,43715000,None,73056000,None,116790000,228638000,73056000
2016-12-31,USD,94233000,612937000,518703999,518703999,76363000,24449000,0,17870000,None,481000,481000,0,None,481000,None,105578000,86049000,29663000,None,56386000,None,86049000,191627000,56386000
2017-12-31,USD,67317000,607336000,540019000,540019000,37770000,18850000,0,29547000,None,954000,1129000,175000,None,1129000,None,103690000,64498000,-10675000,None,75173000,None,64673000,168363000,75173000
2018-12-31,USD,92416000,610803000,518386999,518386999,64824000,17227000,None,27592000,None,2130000,2130000,175000,None,2130000,None,100519000,91917000,19240000,None,72677000,None,91917000,192436000,72677000
2019-12-31,USD,93468000,596815000,503347000,503347000,62934000,17003000,None,30534000,None,2903000,3955000,1052000,None,3955000,None,100212000,97178000,24211000,None,72967000,None,98230000,198442000,72967000
2020-12-31,USD,110268000,645262000,534994000,534994000,78589000,27510000,None,31679000,None,842000,842000,125211000,None,842000,None,109937000,94261000,23455000,None,70806000,None,94261000,204198000,70806000
2021-12-31,USD,93816000,607284000,513467999,513467999,67969000,25273000,None,25847000,None,640000,640000,179748000,None,640000,None,104083000,106047000,26770000,None,79277000,None,106047000,210130000,79277000
2022-12-31,USD,149867000,967996000,818129000,818129000,91452000,34436000,None,58415000,None,-7267000,1288000,8555000,None,1288000,None,133047000,181091000,47507000,None,133584000,None,189646000,322693000,133584000
2023-12-31,USD,78199000,1207458000,1129259000,1129259000,1298000,45278000,None,76901000,None,-22592000,1697000,24187000,None,None,None,199039000,19853000,5078000,None,25169000,None,44040000,243079000,14775000
2024-12-31,USD,38876000,1047511000,1008635000,1008635000,-27744000,60316000,None,66620000,None,-16439000,1143000,17582000,None,None,None,181523000,-36675000,-6953000,None,-29722000,None,-19093000,162430000,-29722000
2025-12-31,USD,-7653000,805709000,813362000,813362000,-61867000,66449000,None,54214000,None,-10716000,774000,11490000,None,None,None,159198000,-68128000,-15675000,None,-52453000,None,-56638000,102560000,-52453000
