fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-10-31,USD,14046000,None,None,None,None,1504000,3301000,None,-12726000,None,-3620000,1180000,None,None,None,None,None,None,None,None,None,None,None,None,-865000,None,None,15479000
2007-10-31,USD,14193000,None,None,None,None,2106000,4510000,None,-14116000,None,-2612000,-3526000,None,None,None,None,None,None,None,None,None,None,None,None,-1048000,None,None,20889000
2008-10-31,USD,161000,None,None,None,None,3023000,5514000,None,-11832000,None,-2577000,187000,None,None,None,None,None,None,None,None,None,None,None,None,535000,None,None,22520000
2009-10-31,USD,-1483000,None,None,None,None,3295000,3699000,None,11409000,None,2325000,69000,None,None,None,None,None,None,None,None,None,None,None,None,246000,None,None,-2321000
2010-10-31,USD,21752000,None,None,None,None,3804000,1848000,None,4154000,None,-1758000,None,None,None,None,None,None,None,None,None,None,None,None,None,141000,None,None,-5744000
2011-10-31,USD,-1195000,None,None,None,None,4300000,2842000,-3395000,-25702000,None,-2876000,844000,None,None,None,None,0,0,None,None,None,None,0,None,470000,-3294000,-67000,11124000
2012-10-31,USD,-6987000,None,None,None,None,4126000,3732000,-8662000,-10152000,None,-3773000,2294000,None,None,None,None,0,0,None,None,None,None,1000,None,870000,-9191000,-725000,15638000
2013-10-31,USD,14385000,None,None,None,None,3392000,2380000,4660000,-1020000,None,-3014000,-4612000,None,None,None,None,646000,646000,None,None,None,None,303000,None,979000,7034000,275000,8190000
2014-10-31,USD,16335000,None,None,None,None,3309000,2635000,-11653000,-4971000,None,-2586000,-1713000,None,None,None,None,1693000,1693000,None,None,None,None,355000,None,921000,11042000,-994000,15143000
2015-10-31,USD,28544000,None,None,None,None,3222000,4533000,3666000,2852000,None,-21813000,-3263000,None,None,None,None,2034000,2034000,None,None,None,None,-239000,None,1193000,1391000,-2077000,16214000
2016-10-31,USD,-6863000,None,None,None,None,3868000,4177000,-8141000,-13881000,None,-3913000,-2310000,None,None,None,None,2310000,2310000,None,None,None,None,-146000,None,1607000,-14020000,-934000,13292000
2017-10-31,USD,30372000,None,None,None,None,3616000,4445000,563000,1638000,None,-4028000,-2351000,None,None,None,None,2590000,2590000,None,None,None,None,-295000,None,1698000,25090000,1097000,15115000
2018-10-31,USD,21012000,None,None,None,None,3713000,5863000,-5148000,-20386000,None,-6606000,-2553000,None,None,None,None,2898000,2898000,None,None,None,None,-502000,None,2504000,10863000,-990000,21490000
2019-10-31,USD,-6413000,None,None,None,None,3745000,4870000,11239000,-10499000,None,-8897000,-5152000,None,None,None,None,3203000,3203000,None,None,None,None,-499000,None,2670000,-20227000,235000,17495000
2020-10-31,USD,10932000,None,None,None,None,4547000,1656000,15909000,3461000,None,-1179000,-10851000,None,None,None,None,3420000,3420000,None,None,None,None,-7000000,None,2058000,916000,2014000,-6247000
2021-10-31,USD,32175000,None,None,None,None,4193000,2369000,-15188000,2165000,None,-3345000,-3521000,None,None,None,None,3674000,3674000,None,None,None,None,350000,None,2779000,26204000,895000,6764000
2022-10-31,USD,-3966000,None,None,None,None,3918000,2193000,280000,-24440000,None,-2092000,-6903000,None,None,None,None,3923000,3923000,None,None,None,None,-2890000,None,2686000,-12961000,None,8226000
2023-10-31,USD,-12821000,None,None,None,None,4093000,1286000,None,-648000,None,-1897000,-8822000,None,None,None,None,4142000,4142000,None,None,None,None,-4609000,None,2699000,None,None,4389000
2024-10-31,USD,-2519000,None,None,None,None,3532000,1241000,None,8383000,None,-2739000,-3909000,None,None,None,None,2094000,2094000,None,None,None,None,-1500000,None,1648000,None,None,-16608000
2025-10-31,USD,17561000,None,None,None,None,2691000,910000,None,16370999,None,-1246000,-2352000,None,None,None,None,0,0,None,None,None,None,-2000000,None,1698000,None,None,-15117000
