fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
1996-01-31,1996-02-20,0.1,0.01,0.09,900,pre-market
1996-04-30,1996-05-22,0.19,0.1,0.09,90,pre-market
1996-07-31,1996-08-21,0.16,0.13,0.03,23.0769,pre-market
1996-10-31,1996-12-11,0.26,0.19,0.07,36.8421,pre-market
1997-01-31,1997-02-20,0.15,0.1,0.05,50,pre-market
1998-01-31,1998-02-25,0.32,0.29,0.03,10.3448,pre-market
1998-04-30,1998-05-26,0.08,0.08,0,0,pre-market
1998-07-31,1998-08-20,0.27,0.16,0.11,68.75,pre-market
1998-10-31,1998-12-02,0.33,0.25,0.08,32,pre-market
1999-01-31,1999-02-18,0.03,0.14,-0.11,-78.5714,pre-market
1999-04-30,1999-05-20,0.09,0.08,0.01,12.5,pre-market
1999-07-31,1999-08-18,0.07,0.13,-0.06,-46.1538,pre-market
1999-10-31,1999-12-02,0.11,0.16,-0.05,-31.25,pre-market
2000-01-31,2000-01-31,0.0764,None,0,None,pre-market
2000-04-30,2000-04-30,0.0999,None,0,None,pre-market
2000-07-31,2000-07-31,0.0675,None,0,None,pre-market
2001-01-31,2001-01-31,0.096,None,0,None,pre-market
2001-04-30,2001-04-30,0.0567,None,0,None,pre-market
2001-07-31,2001-07-31,-0.2363,None,0,None,pre-market
2001-10-31,2001-10-31,-0.2042,None,0,None,pre-market
2002-01-31,2002-01-31,-0.294,None,0,None,pre-market
2002-04-30,2002-04-30,-0.7543,None,0,None,pre-market
2002-07-31,2002-07-31,-0.1166,None,0,None,pre-market
2002-10-31,2002-10-31,-0.3152,None,0,None,pre-market
2003-01-31,2003-01-31,-0.1042,None,0,None,pre-market
2003-04-30,2003-05-22,0.0249,None,0,None,pre-market
2003-07-31,2003-08-20,0.0588,None,0,None,pre-market
2003-10-31,2003-12-10,0.1085,None,0,None,pre-market
2004-01-31,2004-02-18,0.1163,None,0,None,pre-market
2004-04-30,2004-05-19,0.2907,None,0,None,pre-market
2004-07-31,2004-08-17,0.255,None,0,None,pre-market
2004-10-31,2004-12-06,0.3642,None,0,None,pre-market
2005-01-31,2005-02-16,0.4833,None,0,None,pre-market
2005-04-30,2005-05-25,0.5179,None,0,None,pre-market
2005-07-31,2005-08-17,0.4513,None,0,None,pre-market
2005-10-31,2005-12-06,0.77,0.55,0.22,40,pre-market
2006-01-31,2006-02-23,0.48,0.54,-0.06,-11.1111,pre-market
2006-04-30,2006-05-18,0.62,0.6,0.02,3.3333,pre-market
2006-07-31,2006-08-22,0.59,0.6,-0.01,-1.6667,pre-market
2006-10-31,2006-12-06,0.74,0.78,-0.04,-5.1282,pre-market
2007-01-31,2007-02-16,0.84,0.65,0.19,29.2308,pre-market
2007-04-30,2007-05-18,0.73,0.78,-0.05,-6.4103,pre-market
2007-07-31,2007-08-16,0.8,0.77,0.03,3.8961,pre-market
2007-10-31,2007-12-07,0.88,0.8,0.08,10,pre-market
2008-01-31,2008-02-28,1.21,0.9,0.31,34.4444,pre-market
2008-04-30,2008-05-23,0.85,0.88,-0.03,-3.4091,pre-market
2008-07-31,2008-08-28,0.9,0.79,0.11,13.9241,pre-market
