fiscalDateEnding,reportedEPS
1996-12-31,0.37
1997-12-31,1.33
1998-12-31,1.4
1999-12-31,0.26
2000-12-31,0.45
2001-12-31,-0.4
2002-12-31,-0.61
2003-12-31,-0.42
2004-12-31,0.3
2005-12-31,0.86
2006-12-31,0.67
2007-12-31,0.74
2008-12-31,0.83
2009-12-31,0.63
2010-12-31,0.78
2011-12-31,1.24
2012-12-31,1.56
2013-12-31,1.85
2014-12-31,2.16
2015-12-31,2.32
2016-12-31,2.58
2017-12-31,2.68
2018-12-31,3.05
2019-12-31,3.54
2020-12-31,0.25
2021-12-31,0.27
2022-12-31,1.28
2023-12-31,1.81
2024-12-31,2.03
2025-12-31,1.76
2026-03-31,0.59
