fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2002-06-30,USD,0,388700000,310100000,310100000,11200000,57300000,0,0,None,None,None,8600000,None,None,None,None,-3200000,0,None,0,None,0,None,-4300000
2002-09-30,USD,0,385600000,304400000,304400000,13100000,57700000,0,0,None,None,None,10400000,None,None,None,None,0,0,None,0,None,0,None,0
2002-12-31,USD,334200000,442300000,340200000,340200000,26000000,66700000,43700000,0,None,None,None,9400000,None,None,None,None,10700000,1000000,None,0,None,0,None,10000000
2003-03-31,USD,74800000,419000000,344200000,344200000,12700000,62100000,0,62100000,None,None,None,-8300000,None,None,None,11300000,4600000,1600000,None,0,None,-3400000,7900000,3300000
2003-06-30,USD,75500000,428400000,352900000,352900000,15600000,59900000,0,59900000,None,None,None,-8000000,None,None,None,11000000,8300000,2800000,None,0,None,500000,11500000,5700000
2003-09-30,USD,72200000,407900000,335700000,335700000,5800000,66400000,0,66400000,None,None,None,-8300000,None,None,None,10300000,-2000000,-4200000,None,0,None,-9900000,400000,2600000
2003-12-31,USD,89800000,524300000,434500000,434500000,14700000,74700000,51200000,75100000,None,None,None,-8400000,None,None,None,11500000,6700000,1600000,None,0,None,-2000000,9500000,4800000
2004-03-31,USD,74200000,470800000,396600000,396600000,8300000,65900000,0,65900000,None,None,None,8000000,None,None,None,10700000,300000,100000,None,0,None,-2400000,8300000,500000
2004-06-30,USD,73000000,495700000,422700000,422700000,7200000,65800000,0,65800000,None,None,None,9000000,None,None,None,10600000,200000,-2200000,None,0,None,9300000,19900000,2500000
2004-09-30,USD,73900000,494500000,420600000,420600000,5200000,68700000,0,68700000,None,None,None,8000000,None,None,None,10400000,4900000,600000,None,0,None,17300000,27700000,4400000
2004-12-31,USD,87000000,595900000,508900000,508900000,14300000,74100000,50800000,72700000,None,None,None,8000000,None,None,None,10200000,8400000,600000,None,0,None,16300000,26500000,7700000
2005-03-31,USD,80500000,583900000,503400000,503400000,6100000,74400000,0,74400000,None,None,None,8000000,None,None,None,10800000,300000,100000,None,0,None,8400000,19200000,300000
2005-06-30,USD,91800000,618100000,526300000,526300000,17100000,74700000,0,74700000,None,None,None,8000000,None,None,None,10100000,9900000,2400000,None,0,None,17900000,28000000,7500000
2005-09-30,USD,82900000,563500000,480600000,480600000,12200000,70700000,0,70700000,None,None,None,9000000,None,None,None,9700000,4600000,100000,None,0,None,13600000,23300000,4500000
2005-12-31,USD,89600000,634400000,544800000,544800000,12100000,78700000,50000000,77500000,None,None,None,9000000,None,None,None,10500000,7700000,1900000,None,0,None,16700000,27200000,5800000
2006-03-31,USD,89300000,618800000,529500000,529500000,20500000,72900000,0,68800000,None,None,None,9000000,None,None,None,9700000,13700000,2800000,None,0,None,23200000,32900000,11400000
2006-06-30,USD,0,618800000,-518800000,-518800000,-17400000,72900000,0,0,None,None,None,9700000,None,None,None,None,-13700000,-2800000,None,0,None,0,None,-11400000
2010-03-31,USD,0,375400000,318400000,318400000,0,0,0,0,None,None,None,0,None,None,None,None,0,0,None,0,None,0,None,8000000
2010-06-30,USD,0,413500000,345600000,345600000,0,0,0,0,None,None,None,0,None,None,None,None,0,0,None,0,None,0,None,7300000
2010-09-30,USD,0,442900000,371200000,371200000,0,0,0,0,None,None,None,0,None,None,None,None,0,0,None,0,None,0,None,3800000
2010-12-31,USD,313700000,570100000,486900000,486900000,50300000,229500000,48600000,0,None,None,None,16600000,None,None,None,None,34100000,1800000,None,0,None,0,None,13300000
2011-03-31,USD,95800000,586600000,490800000,490800000,30400000,65400000,0,65400000,None,None,None,-2800000,None,None,None,8000000,27600000,5300000,None,0,None,24800000,32800000,22300000
2011-06-30,USD,97900000,648000000,550100000,550100000,27500000,70400000,0,70400000,None,None,None,-3600000,None,None,None,8100000,24600000,5500000,None,0,None,21100000,29200000,19200000
2011-09-30,USD,89000000,628800000,539800000,539800000,24100000,64900000,0,64900000,None,None,None,4100000,None,None,None,1400000,21600000,4100000,None,0,None,24300000,25700000,17500000
2011-12-31,USD,100800000,677400000,576600000,576600000,28000000,72800000,61300000,72800000,None,None,None,3900000,None,None,None,7700000,27700000,4000000,None,0,None,31600000,39300000,23600000
2012-03-31,USD,99000000,629500000,530500000,530500000,29800000,69200000,0,69200000,None,None,None,3800000,None,None,None,6900000,26900000,5700000,None,0,None,30700000,37600000,21200000
2012-06-30,USD,96900000,602000000,505100000,505100000,24600000,72300000,0,72300000,None,None,None,3400000,None,None,None,6900000,21500000,2000000,None,0,None,24900000,31800000,19500000
2012-09-30,USD,100000000,585600000,485600000,485600000,28300000,71700000,0,71700000,None,None,None,2500000,None,3300000,None,6700000,29100000,4200000,None,24900000,None,31600000,38300000,24900000
2012-12-31,USD,107300000,652000000,544700000,544700000,29000000,78400000,67500000,78300000,None,None,None,2700000,None,None,None,7500000,27600000,-4900000,None,0,None,30300000,37800000,32400000
2013-03-31,USD,109200000,644900000,535700000,535700000,32100000,77100000,0,77100000,None,None,None,2500000,None,1100000,None,7500000,30700000,6100000,None,24600000,None,33200000,40700000,24600000
2013-06-30,USD,114300000,659600000,545300000,545300000,35900000,78400000,0,78400000,None,None,None,2300000,None,900000,None,7400000,34500000,-1700000,None,36200000,None,36800000,44200000,36200000
2013-09-30,USD,111600000,643900000,532300000,532300000,31300000,80300000,0,80300000,None,None,None,2400000,None,1300000,None,7500000,30200000,6600000,None,23600000,None,32600000,40100000,23500000
2013-12-31,USD,125900000,717900000,592000000,592000000,35000000,90900000,69200000,90900000,None,None,None,1800000,None,-1200000,None,7800000,32000000,6200000,None,25800000,None,33800000,41600000,25700000
2014-03-31,USD,111700000,676000000,564300000,564300000,31600000,80100000,0,80100000,None,None,None,900000,None,900000,None,7500000,31600000,9500000,None,22100000,None,32500000,40000000,22100000
2014-06-30,USD,107300000,684700000,577400000,577400000,47700000,77300000,0,59600000,None,None,None,800000,None,1800000,None,7400000,48700000,15700000,None,33000000,None,49500000,56900000,32900000
