fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-03-31,USD,28965000,245202000,216237000,216237000,-6998000,35963000,0,23852000,None,None,None,7585000,None,None,None,6399000,-27085000,300000,None,0,None,17615000,24014000,-27380000
2006-06-30,USD,22738000,177487000,154749000,154749000,-1605000,22822000,0,22386000,None,None,None,2936000,None,None,None,-6251000,-1706000,8000,None,0,None,6603000,352000,-1714000
2006-09-30,USD,36105000,242366000,206261000,206261000,5127000,30978000,0,29995000,None,None,None,1096000,None,None,None,1911000,2747000,417000,None,0,None,6110000,8021000,-6457000
2006-12-31,USD,37082000,228968000,191886000,191886000,1504000,35578000,0,35578000,None,None,None,1565000,None,None,None,2837000,-97000,256000,None,0,None,2839000,5676000,-799000
2007-03-31,USD,35754000,216753000,180999000,180999000,330000,35424000,0,35424000,None,None,None,1521000,None,None,None,2831000,-1222000,-490000,None,0,None,224000,3055000,-740000
2007-06-30,USD,38309000,222631000,184322000,184322000,4287000,34113000,0,38400000,None,None,None,3963000,None,None,None,2776000,2726000,1693000,None,0,None,-91000,2685000,1207000
2007-09-30,USD,32910000,226781000,193871000,193871000,4772000,32864000,0,32922000,None,None,None,5835000,None,None,None,2691000,-1592000,-36000,None,0,None,-12000,2679000,-4079000
2007-12-31,USD,32993000,197973000,164980000,164980000,1159000,30557000,0,30540000,None,None,None,4249000,None,None,None,2951000,-1544000,-516000,None,0,None,2648000,5599000,-797000
2008-03-31,USD,30769000,196499000,165730000,165730000,1004000,27674000,0,27667000,None,None,None,1918000,None,None,None,3035000,423000,330000,None,0,None,3102000,6137000,39000
2008-06-30,USD,33898000,214485000,180587000,180587000,4923000,28052000,0,27937000,None,None,None,1356000,None,None,None,2162000,3784000,1758000,None,0,None,5961000,8123000,2038000
2008-09-30,USD,34220000,209330000,175110000,175110000,2728000,31083000,0,31108000,None,None,None,6529000,None,None,None,1480000,1294000,1349000,None,0,None,4104000,5584000,-596000
2008-12-31,USD,29660000,173370000,143710000,143710000,-1272000,28801000,0,28698000,None,None,None,985000,None,None,None,1986000,-104000,-29000,None,0,None,-1416000,570000,-90000
2009-03-31,USD,29788000,167305000,137517000,137517000,-1192000,29147000,0,29072000,None,None,None,1105000,None,None,None,2468000,-2117000,-926000,None,0,None,502000,2970000,-1234000
2009-06-30,USD,32327000,172185000,139858000,139858000,5232000,26671000,0,26450000,None,None,None,1325000,None,None,None,1539000,3353000,1896000,None,0,None,4833000,6372000,1557000
2009-09-30,USD,17753000,153137000,135384000,135384000,-10353000,24112000,0,24046000,None,None,None,1111000,None,None,None,2265000,-12576000,-446000,None,0,None,-19212000,-16947000,-12053000
2009-12-31,USD,19921000,120248000,100327000,100327000,21000,19267000,0,19202000,None,None,None,1068000,None,None,None,1376000,-871000,-56000,None,0,None,208000,1584000,-805000
2010-03-31,USD,13588000,107619000,94031000,94031000,-12199000,25709000,0,25722000,None,None,None,1017000,None,None,None,1419000,-13050000,180000,None,0,None,-12075000,-10656000,-13230000
2010-06-30,USD,15077000,121405000,106328000,106328000,-5908000,21098000,0,20985000,None,None,None,784000,None,None,None,1219000,-6655000,-98000,None,0,None,-5796000,-4577000,-6557000
2010-09-30,USD,7896000,111361000,103465000,103465000,-10940000,18845000,0,18836000,None,None,None,644000,None,None,None,1277000,-11613000,-59000,None,0,None,-10969000,-9692000,-11554000
2010-12-31,USD,11172000,113649000,102477000,102477000,-3671000,18021000,0,11292000,None,None,None,599000,None,None,None,1137000,-4230000,-578000,None,0,None,-3573000,-2436000,-3652000
2011-03-31,USD,5357000,118326000,112969000,112969000,-7889000,13333000,0,13246000,None,None,None,576000,None,None,None,1012000,-8433000,804000,None,0,None,-8901000,-7889000,-9237000
2011-06-30,USD,9538000,123189000,113651000,113651000,-9677000,17412000,0,17412000,None,None,None,571000,None,-8000,None,865000,-10256000,-91000,None,-10165000,None,-10542000,-9677000,-10165000
2011-09-30,USD,9956000,126444000,116488000,116488000,-14109000,20599000,0,14016000,None,None,None,531000,None,None,None,3342000,-14627000,11000,None,0,None,-14096000,-10754000,-14638000
2011-12-31,USD,10900000,113400000,102500000,102500000,-3083000,13375000,0,13300000,None,None,None,622000,None,150000,None,543000,-3500000,200000,None,-3723000,None,-2343000,-1800000,-3700000
2012-03-31,USD,12586000,112807000,100221000,100221000,-2813000,15222000,0,15222000,None,None,None,543000,None,None,None,506000,-3349000,82000,None,0,None,-2628000,-2122000,-3431000
2012-06-30,USD,12979000,119300000,106321000,106321000,-2687000,15525000,0,15525000,None,None,None,524000,None,10000,None,543000,-3201000,-25000,None,-3176000,None,-728000,-185000,-3176000
2012-09-30,USD,21577000,108714000,87137000,87137000,8192000,14488000,0,14488000,None,None,None,143000,None,-64000,None,763000,7487000,-187000,None,4244000,None,7630000,8393000,-1473000
2012-12-31,USD,17980000,127264000,109284000,109284000,3077000,14922000,0,14922000,None,None,None,607000,None,-1722000,None,539000,748000,115000,None,633000,None,1220000,1759000,510000
2013-03-31,USD,15996000,121995000,105999000,105999000,-589000,16606000,0,16606000,None,None,None,449000,None,151000,None,539000,-887000,53000,None,-940000,None,-610000,-71000,-1101000
2013-06-30,USD,15653000,121552000,105899000,105899000,-907000,16576000,0,16576000,None,None,None,372000,None,649000,None,878000,-630000,95000,None,-725000,None,-123000,755000,-1138000
