fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2005-12-31,USD,155300000,1633400000,1478100000,1478100000,-34000000,280800000,-324100000,189300000,None,None,None,23100000,None,None,None,34600000,-64000000,39800000,None,0,None,-15800000,18800000,-84000000
2006-03-31,USD,503200000,1886700000,1383500000,1383500000,169200000,270300000,42700000,313600000,None,None,None,19900000,None,None,None,42300000,153600000,46100000,None,0,None,181100000,223400000,155900000
2006-06-30,USD,576000000,2067900000,1491900000,1491900000,217200000,295500000,43700000,333800000,None,None,None,21500000,None,None,None,41900000,205900000,63500000,None,0,None,227600000,269500000,140900000
2006-09-30,USD,557900000,2001100000,1443200000,1443200000,214900000,291500000,41700000,348400000,None,None,None,19400000,None,None,None,42900000,197700000,57300000,None,0,None,224700000,267600000,143500000
2006-12-31,USD,606100000,2051300000,1445200000,1445200000,199700000,345400000,41300000,406400000,None,None,None,86200000,None,None,None,50700000,185600000,63700000,None,0,None,219400000,270100000,140800000
2007-03-31,USD,584200000,2070300000,1486100000,1486100000,217500000,320000000,40300000,366700000,None,None,None,23800000,None,None,None,44200000,198000000,61200000,None,0,None,223900000,268100000,140000000
2007-06-30,USD,642400000,2223100000,1580700000,1580700000,251200000,330900000,42800000,391200000,None,None,None,19100000,None,None,None,44600000,240200000,41000000,None,0,None,268700000,313300000,213700000
2007-09-30,USD,641100000,2181200000,1540100000,1540100000,259500000,327600000,46800000,381600000,None,None,None,25800000,None,None,None,45900000,241700000,73100000,None,0,None,266700000,312600000,230100000
2007-12-31,USD,700600000,2528700000,1828100000,1828100000,249000000,364200000,52400000,451600000,None,None,None,86200000,None,None,None,50700000,218600000,90200000,None,0,None,284000000,334700000,158300000
2008-03-31,USD,760900000,2806400000,2045500000,2045500000,284100000,420600000,52600000,476800000,None,None,None,40600000,None,None,None,71200000,248900000,78000000,None,0,None,287700000,358900000,171900000
2008-06-30,USD,867100000,3064100000,2197000000,2197000000,354800000,445800000,59200000,512300000,None,None,None,31400000,None,None,None,77400000,327600000,103300000,None,0,None,362100000,439500000,221000000
2008-09-30,USD,810700000,2879300000,2068600000,2068600000,328000000,417000000,60700000,482700000,None,None,None,29300000,None,None,None,67200000,303100000,98600000,None,0,None,333000000,400200000,216300000
2008-12-31,USD,816700000,2945000000,2128300000,2128300000,243200000,440100000,71800000,573500000,None,None,None,140800000,None,None,None,62500000,207900000,32400000,None,0,None,245500000,308000000,185500000
2009-03-31,USD,669100000,2557100000,1888000000,1888000000,222000000,384000000,52900000,447000000,None,None,None,26000000,None,None,None,66000000,196500000,10000000,None,0,None,223000000,289000000,184100000
2009-06-30,USD,778800000,2780000000,2001200000,2001200000,303000000,393900000,57300000,466000000,None,None,None,23000000,None,None,None,74000000,285600000,83000000,None,0,None,304000000,378000000,201400000
2009-09-30,USD,774400000,2697700000,1923300000,1923300000,89000000,386100000,63800000,671000000,None,None,None,25000000,None,13800000,None,74000000,77900000,11900000,None,66000000,None,100000000,174000000,59000000
2009-12-31,USD,838400000,2869700000,2031300000,2031300000,288000000,651500000,84100000,550400000,None,None,None,25800000,None,None,None,75800000,265200000,69600000,None,0,None,291000000,366800000,199200000
2010-03-31,USD,728000000,2636000000,1908000000,1908000000,245000000,383000000,63000000,473000000,None,None,None,25000000,None,3000000,None,68000000,223000000,77000000,None,146000000,None,244000000,312000000,146000000
2010-06-30,USD,781000000,2739000000,1958000000,1958000000,324000000,375000000,60000000,457000000,None,None,None,23000000,None,8000000,None,72000000,305000000,79000000,None,226000000,None,328000000,400000000,238000000
2010-09-30,USD,768000000,2643000000,1875000000,1875000000,-32000000,737000000,60000000,800000000,None,None,None,26000000,None,3000000,None,74000000,-48000000,-60000000,None,12000000,None,-22000000,52000000,145000000
2010-12-31,USD,908000000,3035000000,2127000000,2127000000,363000000,820000000,70000000,545000000,None,None,None,26000000,None,2000000,None,83000000,342000000,70000000,None,270000000,None,368000000,451000000,269000000
2011-03-31,USD,785000000,2760000000,1975000000,1975000000,-10000000,121000000,61000000,178000000,None,None,None,25000000,None,None,None,18000000,171000000,45000000,None,126000000,None,-10000000,8000000,124000000
2011-06-30,USD,840000000,3024000000,2184000000,2184000000,46600000,68500000,70000000,129400000,None,None,None,22000000,None,None,None,18000000,248000000,80000000,None,168000000,None,50400000,68400000,168000000
2011-09-30,USD,854000000,2981000000,2127000000,2127000000,-11300000,107100000,64000000,166500000,None,None,None,23000000,None,None,None,17300000,130000000,59000000,None,71000000,None,-10800000,6500000,78000000
