fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2007-03-31,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,27500000
2007-06-30,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,27500000
2007-09-30,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,27500000
2007-12-31,None,573900000,369800000,9500000,9500000,147200000,179200000,204100000,None,None,21200000,21200000,23800000,None,None,None,33900000,None,359700000,306200000,101300000,None,None,None,53500000,None,None,None,None,None,197200000,None,214200000,None,None,None,27550807
2008-03-31,None,597300000,392100000,11700000,11700000,168300000,176100000,205200000,None,None,21100000,21100000,24300000,None,None,None,36000000,None,370800000,314600000,103000000,None,None,None,56200000,None,None,None,None,None,211600000,None,226500000,None,None,226000000,27601614
2008-06-30,None,578300000,368200000,5700000,5700000,162700000,163100000,210100000,None,None,20400000,20400000,24200000,None,None,None,36700000,None,355400000,295300000,92300000,None,None,None,60100000,None,None,None,None,None,203000000,None,222900000,None,None,220200000,27500000
2008-09-30,None,586000000,366500000,31100000,31100000,141300000,162600000,219500000,None,None,19900000,19900000,27600000,None,None,None,31500000,None,564600000,341600000,78700000,None,None,None,223000000,None,None,None,None,140000000,262900000,None,21400000,None,12000000,300000,28100000
2008-12-31,None,591300000,357000000,43600000,43600000,123000000,159000000,234300000,None,None,18600000,18600000,26700000,None,None,None,31400000,None,600100000,264400000,67200000,None,None,None,335700000,None,None,None,None,185000000,191100000,None,-8800000,None,20200000,300000,28000000
2009-03-31,None,559200000,327800000,22400000,22400000,148900000,123800000,231400000,None,None,None,None,None,None,None,None,32700000,None,566100000,249700000,66700000,None,None,None,316400000,None,None,None,None,165000000,183000000,None,-6900000,None,22200000,300000,28200000
2009-06-30,None,560800000,316400000,17100000,17100000,140700000,131000000,244400000,None,None,21800000,21800000,27700000,None,None,None,27600000,None,547100000,244500000,67500000,None,None,None,302600000,None,None,None,None,149000000,93500000,None,13700000,None,29700000,300000,28500000
2009-09-30,None,551300000,316100000,12700000,12700000,143400000,121500000,235200000,None,None,None,None,None,None,None,None,38500000,None,505700000,240600000,64800000,None,None,None,265100000,None,None,None,None,145000000,175800000,None,45600000,None,36000000,300000,28700000
