fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2005-12-31,USD,24264000,63084000,38820000,38820000,1988000,23666000,1277000,22236000,None,None,None,1022000,None,None,None,2064000,1572000,549000,None,0,None,1988000,4052000,417000
2006-03-31,USD,28617000,75591000,46974000,46974000,5089000,22100000,1545000,23666000,None,None,None,983000,None,None,None,1930000,4220000,1455000,None,0,None,5089000,7019000,2651000
2006-06-30,USD,32720000,89567000,56847000,56847000,8726000,22500000,1496000,23994000,None,None,None,1227000,None,None,None,1825000,8173000,2529000,None,0,None,8726000,10551000,4970000
2006-09-30,USD,32220000,90586000,58366000,58366000,9255000,24100000,1429000,22965000,None,None,None,921000,None,None,None,1859000,8607000,2693000,None,0,None,7396000,9255000,5641000
2006-12-31,USD,33137000,85869000,52732000,52732000,8002000,24100000,1731000,25812000,None,None,None,2156000,None,None,None,2144000,6177000,2011000,None,0,None,8002000,10146000,3835000
2007-03-31,USD,32547000,88241000,55694000,55694000,7384000,23087000,1667000,25163000,None,None,None,895000,None,None,None,1757000,6929000,2190000,None,0,None,5627000,7384000,4299000
2007-06-30,USD,34143000,89107000,54964000,54964000,9563000,24000000,1493000,24968000,None,None,None,1944000,None,None,None,1891000,8728000,2705000,None,0,None,7284000,9175000,4914000
2007-09-30,USD,35338000,92695000,57357000,57357000,9904000,24000000,1430000,25434000,None,None,None,1747000,None,None,None,1827000,9485000,2376000,None,0,None,8077000,9904000,5781000
2007-12-31,USD,36752000,96453000,59701000,59701000,10137000,25000000,1367000,26396000,None,None,None,50000,None,None,None,1888000,10380000,2513000,None,0,None,10137000,12025000,7674000
2008-03-31,USD,34060000,85864000,51804000,51804000,6610000,25400000,1608000,26977000,None,None,None,595000,None,None,None,1858000,7502000,2288000,None,0,None,6610000,8468000,5113000
2008-06-30,USD,38563000,92406000,53843000,53843000,9865000,26900000,1497000,28421000,None,None,None,277000,None,None,None,1918000,10013000,2977000,None,0,None,10653000,12571000,6888000
2008-09-30,USD,34267000,83734000,49467000,49467000,9372000,24400000,1520000,25931000,None,None,None,670000,None,None,None,1841000,8773000,1892000,None,0,None,7714000,9555000,6858000
2008-12-31,USD,28913000,67154000,38241000,38241000,6880000,23600000,1562000,65471000,None,None,None,46988000,None,None,None,1913000,-40098000,1309000,None,0,None,-36558000,-34645000,-41417000
2009-03-31,USD,24640000,64957000,40317000,40317000,1172000,22200000,1470000,23675000,None,None,None,813000,None,None,None,1843000,-398000,2464000,None,0,None,415000,2258000,-2891000
2009-06-30,USD,20784000,50132000,29348000,29348000,-94000,19200000,1722000,20970000,None,None,None,507000,None,None,None,1876000,-1614000,-398000,None,0,None,-1107000,769000,-1193000
2009-09-30,USD,21940000,53716000,31776000,31776000,900000,19600000,1059000,20616000,None,None,None,473000,None,None,None,1876000,387000,530000,None,0,None,860000,2736000,-119000
2009-12-31,USD,23442000,56760000,33318000,33318000,1891000,20200000,1371000,21590000,None,None,None,378000,None,None,None,1853000,-633000,1096000,None,0,None,1891000,3744000,-1721000
2010-03-31,USD,26875000,61121000,34246000,34246000,4417000,21100000,1372000,22496000,None,None,None,358000,None,None,None,1658000,4361000,716000,None,0,None,4719000,6377000,3611000
2010-06-30,USD,31168000,69136000,37968000,37968000,7313000,22700000,1206000,23887000,None,None,None,339000,None,None,None,1697000,6995000,1717000,None,0,None,7334000,9031000,5220000
2010-09-30,USD,29302000,66516000,37214000,37214000,5565000,22500000,1326000,23791000,None,None,None,311000,None,None,None,1926000,6002000,1431000,None,0,None,6313000,8239000,4497000
2010-12-31,USD,31080000,73256000,42176000,42176000,6556000,22900000,1365000,24307000,None,None,None,307000,None,None,None,1947000,6490000,1334000,None,0,None,6797000,8744000,5179000
2011-03-31,USD,34093000,71680000,37587000,37587000,8407000,24500000,1312000,25785000,None,None,None,257000,None,None,None,1865000,8150000,2273000,None,None,None,8407000,10272000,5791000
2011-06-30,USD,37706000,82457000,44751000,44751000,10604000,25800000,1403000,27224000,None,None,None,299000,None,122000,None,1982000,10305000,2927000,None,7378000,None,10604000,12586000,7304000
2011-09-30,USD,36011000,84358000,48347000,48347000,10927000,26100000,1408000,27488000,None,None,None,254000,None,122000,None,2100000,10673000,774000,None,9899000,None,6545000,8645000,8648000
2011-12-31,USD,37403000,96965000,59562000,59562000,9271000,26143000,1594000,30162000,None,None,None,256000,None,94000,None,1989000,9015000,-1689000,None,7137000,None,9271000,11260000,11832000
2012-03-31,USD,38372000,84113000,45741000,45741000,10582000,25490000,1532000,27982000,None,None,None,209000,None,74000,None,2243000,10275000,3138000,None,6588000,None,10484000,12727000,7053000
2012-06-30,USD,36298000,82982000,46684000,46684000,9489000,26200000,1393000,26883000,None,None,None,196000,None,63000,None,2029000,9293000,2705000,None,7703000,None,9489000,11518000,6543000
2012-09-30,USD,37596000,86601000,49005000,49005000,9977000,26200000,1511000,27682000,None,None,None,219000,None,88000,None,2147000,9758000,2055000,None,9650000,None,9977000,12124000,8461000
2012-12-31,USD,33536000,78055000,44519000,44519000,6725000,25300000,1514000,26811000,None,None,None,209000,None,109000,None,1965000,6604000,-3046000,None,5349000,None,6813000,8778000,9566000
2013-03-31,USD,36026000,76204000,40178000,40178000,7372000,27000000,1704000,28654000,None,None,None,165000,None,142000,None,1953000,7316000,1967000,None,5844000,None,7481000,9434000,5284000
2013-06-30,USD,39940000,82165000,42225000,42225000,8425000,29400000,1852000,31297000,None,None,None,231000,None,155000,None,2475000,8336000,2492000,None,6501000,None,8567000,11042000,5760000
2013-09-30,USD,40121000,91315000,51194000,51194000,9912000,28600000,1558000,30164000,None,None,None,239000,None,217000,None,2302000,9828000,3327000,None,6016000,None,9957000,12259000,6447000
2013-12-31,USD,41617000,94815000,53198000,53198000,7594000,32600000,1603000,34183000,None,None,None,265000,None,222000,None,3045000,7546000,1530000,None,5185000,None,10336000,13381000,5928000
2014-03-31,USD,42180000,93367000,51187000,51187000,7621000,32500000,1749000,34231000,None,None,None,306000,None,82000,None,3045000,7537000,2352000,None,7998000,None,9549000,12594000,5053000
2014-06-30,USD,45082000,104835000,59753000,59753000,12036000,31600000,1392000,32980000,None,None,None,250000,None,42000,None,2829000,11868000,3870000,None,6737000,None,12602000,15431000,7858000
2014-09-30,USD,44112000,98719000,54607000,54607000,10151000,31900000,1555000,33427000,None,None,None,210000,None,None,None,2684000,9983000,3246000,None,None,None,10685000,13369000,6647000
2014-12-31,USD,46999000,105206000,58207000,58207000,12278000,33400000,1467000,34844000,None,None,None,200000,None,52000,None,2631000,12130000,2979000,None,9151000,None,12481000,15112000,9101000
2015-03-31,USD,44337000,92251000,47914000,47914000,10371000,32200000,1660000,33882000,None,None,None,231000,None,53000,None,2910000,10193000,3268000,None,6925000,None,10455000,13365000,6897000
2015-06-30,USD,45727000,98327000,52600000,52600000,12643000,31100000,1800000,32868000,None,None,None,231000,None,43000,None,2753000,12455000,3914000,None,8541000,None,12859000,15612000,8464000
